	LY364947	EGF	BIBF 1120	PD 0325901	NVP-BEZ235	Torin 1	PKC 412	Doramapimod	SP 600125	Phthalazinone Pyrazole	Necrostatin-5	CAY10657	Ruxolitinib	CHIR99021
TGFBR1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
EGFR	0	1	0	0	0	0	0	0	0	0	0	0	0	0
VGFR/PDGFR/FGFR	0	0	1	0	0	0	0	0	0	0	0	0	0	0
MEK/ERK	0	0	0	1	0	0	0	0	0	0	0	0	0	0
PI3K/mTOR	0	0	0	0	1	1	0	0	0	0	0	0	0	0
PKC	0	0	0	0	0	0	1	0	0	0	0	0	0	0
p38	0	0	0	0	0	0	0	1	0	0	0	0	0	0
JNK	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Aurora-A	0	0	0	0	0	0	0	0	0	1	0	0	0	0
RIPK1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
IKK2	0	0	0	0	0	0	0	0	0	0	0	1	0	0
JAK	0	0	0	0	0	0	0	0	0	0	0	0	1	0
GSK3B	0	0	0	0	0	0	0	0	0	0	0	0	0	1
DPD	0	0	0	0	0	0	0	0	0	0	0	0	0	0
