	TGFBR1	EGFR	VGFR/PDGFR/FGFR	MEK/ERK	PI3K/mTOR	PKC	p38	JNK	Aurora-A	RIPK1	IKK2	JAK	GSK3B	DPD
TGFBR1	0	1	1	1	1	0	1	0	0	0	0	0	1	0
EGFR	1	0	0	1	1	0	1	0	0	0	0	0	1	0
VGFR/PDGFR/FGFR	1	1	0	1	1	0	1	0	0	0	0	0	1	0
MEK/ERK	0	1	1	0	1	1	1	1	1	0	1	1	1	0
PI3K/mTOR	0	1	1	1	0	0	1	1	1	0	1	1	1	0
PKC	1	0	1	1	0	0	1	1	1	0	1	1	1	0
p38	1	0	1	1	1	1	0	1	1	0	1	1	1	0
JNK	1	0	1	1	1	1	1	0	1	1	1	1	1	0
Aurora-A	0	0	0	1	1	1	1	1	0	1	1	1	1	0
RIPK1	1	0	0	1	1	1	1	1	1	0	1	1	1	0
IKK2	1	0	0	1	1	1	1	1	1	1	0	1	1	0
JAK	1	0	1	1	1	1	1	1	1	1	1	0	1	0
GSK3B	1	0	0	1	1	1	1	1	1	1	1	1	0	0
DPD	1	0	0	1	1	1	1	1	1	1	1	1	1	0
