TGFBR1,EGFR,VGFR/PDGFR/FGFR,MEK/ERK,PI3K/mTOR,PKC,p38,JNK,Aurora-A,RIPK1,IKK2,JAK,GSK3B,DPD
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.999999999999999,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.000375715481171844,0.000375715481171844,0,0.200342914276222,0.854938653068757,0.112333946760469,0.0710278893444128,0,0,0,0.149481473013035,0.000375715481171844,0
0,0.4132951808162,0.00523079972734546,0.627908623765812,0,0,0.000363500014722074,0,0,0,0,0.00523079972734546,0.00523079972734546,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.76950449638956,0.0019272720467672,0.0687610003169921,0,0,0,0,0,0,0,0
0,0,0,0.999999999999999,0.999999999999999,0.999999999999999,0.999999999999999,0.999999999999999,0,0.999999999999999,0.999399131238955,0.999999999999999,0,0
0,0,0,1,1,1,1,1,1,0,1,1,0.4949973693336,0
0.000523548994039973,0,0,0.0497306594597928,0.0455066566779101,0.120900413959706,0.439521340277658,0.153835954936672,0.046901585631115,0.946340636139255,0,1,0.0928477364320323,0
0,0,0.545049277872481,0.789317739564766,0.623707662480938,0.903999772156197,0.999999999999999,0.368173637221128,0.742789919260516,0.999999999999999,0.999999999999999,0,0.49106364163978,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.927733237208354,0,0,0.209490163950467,1,0.0778478987611503,0.114219011855517,0.0973392277282185,0.0972930523350801,0.0036699305240976,0.0229505496533838,0.0572708338313642,0.0643229851492918,0
