TGFBR1,EGFR,VGFR/PDGFR/FGFR,MEK/ERK,PI3K/mTOR,PKC,p38,JNK,Aurora-A,RIPK1,IKK2,JAK,GSK3B,DPD
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,8.88178419700125e-16,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.019379739911801,0.019379739911801,0,0.400256956186313,0.352162679109721,0.315776869269561,0.256871423633869,0,0,0,0.356562424042254,0.019379739911801,0
0,0.492424892070155,0.0721348630105989,0.483362580229723,0,0,0.0190622108492528,0,0,0,0,0.0721348630105989,0.0721348630105989,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.421150004660823,0.0438583819722631,0.253047278492375,0,0,0,0,0,0,0,0
0,0,0,6.66133814775094e-16,6.66133814775094e-16,6.66133814775094e-16,6.66133814775094e-16,6.66133814775094e-16,0,6.66133814775094e-16,0.0245052589820222,6.66133814775094e-16,0,0
0,0,0,1.11022302462516e-16,1.11022302462516e-16,1.11022302462516e-16,1.11022302462516e-16,1.11022302462516e-16,1.11022302462516e-16,0,1.11022302462516e-16,1.11022302462516e-16,0.499974973060068,0
0.0228752025234928,0,0,0.21738795037786,0.208412573699163,0.326011508790836,0.496328854408233,0.360791427150638,0.211428065536253,0.225344262254012,0,1.11022302462516e-16,0.290218941958446,0
0,0,0.497966427144609,0.407793140664643,0.484454759749042,0.294591554695208,8.88178419700125e-16,0.482308832675178,0.437096162309248,8.88178419700125e-16,8.88178419700125e-16,0,0.499920135120859,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2589290979926,0,0,0.406944756887804,3.33066907387547e-16,0.267932087327412,0.318077080573666,0.296419133109677,0.296356397437956,0.0604686872194684,0.149745857785754,0.23235938849899,0.245327411291066,0
