,TGFBR1,EGFR,VGFR/PDGFR/FGFR,MEK/ERK,PI3K/mTOR,PKC,p38,JNK,Aurora-A,RIPK1,IKK2,JAK,GSK3B,DPD
TGFBR1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EGFR,-1.0952451585127825e-08,1.023141311911861,-0.00867416164051498,1.2116027892864178,0.15863018720378239,0.5080391465718386,0.0977904167855684,-0.0010671341759517564,0.012264412771186282,0.03453112617331598,-0.012699366711478203,0.05783540786214961,0.004484740448997448,0.0
VGFR/PDGFR/FGFR,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MEK/ERK,-1.251788888617137e-08,0.02644890679875384,-0.009913962253355097,1.3847775516357759,0.18130324904662304,0.580653339316942,0.1117676313781985,-0.0012196599946024077,0.014017369091347523,0.039466670744191065,-0.014514491133189733,0.06610184064067162,0.005125745791937518,0.0
PI3K/mTOR,-5.324552091778901e-09,0.156566916997261,-0.004027002703697839,0.6052589592986505,1.0786995726167898,0.2534939137703474,0.0483193715194896,-0.00020702977130892904,0.0059623641490397575,0.016787362963309134,-0.006173817712162926,0.02811677728203368,0.002287109596238934,-0.0
PKC,-7.56391290101924e-09,0.01598170659382947,-0.00599049469685026,0.836749461758746,0.10955217744226925,1.3508587849131029,0.06753539966566091,-0.0007369774609695981,0.00846997124455386,0.023847668142512917,-0.008770356386159106,0.03994192389384731,0.00309722310810824,0.0
p38,-1.5505778057402804e-25,8.454673100805985e-18,-2.5445314236079553e-17,-5.202875754342145e-17,5.463019542059252e-17,-2.081150301736858e-17,0.9999999999999999,-8.324601206947432e-17,7.414097949937556e-17,1.2031650181916209e-17,-1.3494958987824937e-17,6.893810374503342e-17,1.5649274729857233e-17,-0.0
JNK,-4.688006638808459e-09,0.009930871508707825,-0.0037127906962069785,0.5186083906123996,0.06807558231535656,0.20219855683234883,0.04185762643958112,0.999543286750509,0.005249568833564255,0.014780448695692503,-0.00543574331183662,0.024755441638666494,0.0019196340902145283,0.0
Aurora-A,2.2533584651411975e-07,-0.13335282440903237,0.21355898837260592,-0.25614592481834886,-0.9189477998908523,0.4620836881420097,0.8977330672071994,0.2609127429483412,1.276575642107277,0.05999719112299572,0.2612768954861146,-1.4342035522910845,-0.19866157545173438,0.0
RIPK1,5.261177746779286e-07,0.13480422460596364,0.1622711865477214,-0.7848664781158959,0.9296998150348289,-0.47771336293868577,-0.4793883825166935,-0.8808974067543567,0.9091712745396177,1.1456103313293748,0.6100335164352061,-1.087402542905696,-0.2560142934054609,0.0
IKK2,1.1780057786425236e-06,-0.02804151275125817,0.1659885055349628,0.06823404540577628,-0.19332466176923815,-0.29717500171980066,-0.8474183444726866,0.011669056397906084,0.14425597184575073,-0.07348722336074598,1.3658976033763701,-1.1141937802158801,-0.133661495699664,0.0
JAK,-2.0291457708410988e-07,0.10271353608361006,-0.15950193630406603,-0.45704809909707006,0.7082796972634899,0.22903384814139185,0.8800729880643997,-0.4595636526020516,0.2272211030843078,0.6397534660834269,-0.23527943542747443,1.0715087152515472,0.08048046639397367,0.0
GSK3B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
DPD,0.3252723230727229,-0.10990047730310738,0.0028252707755207565,-0.4956861109425069,-0.7571307462221206,-0.21558172248039928,-0.021395923228508723,0.014236913919400627,-0.0010303006379931811,-0.010138450305637823,0.0029412998634242332,-0.019692737313852064,-0.0019227617309651355,1.0
