,TGFBR1,EGFR,VGFR/PDGFR/FGFR,MEK/ERK,PI3K/mTOR,PKC,p38,JNK,Aurora-A,RIPK1,IKK2,JAK,GSK3B,DPD
TGFBR1,1.278553574889259,-0.1289016306149408,-0.2004659109622915,0.04514029136217022,0.04044994918747732,-0.10437371191021597,-2.049317559601265,0.10425729912918177,0.09557560717230584,0.1374804737090396,0.09008303372968017,-0.02550451955104566,0.3323102555971408,2.3677925014579097e-16
EGFR,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VGFR/PDGFR/FGFR,0.13717964672122518,0.604024765107588,0.9404468283324159,0.15694446647082697,-0.09499228972674986,0.027267226830427434,0.12350168302300404,-0.09728406963264885,-0.034147510148718724,0.16940106020023538,0.05452696085948001,0.004857787776060811,0.4815388184068894,-3.870044254603911e-17
MEK/ERK,-0.12266315013432166,0.00847391630512248,0.0171161054967057,1.3587092714502782,0.19601008274890436,0.46354837586777964,0.5769429375472489,-0.29722158148237443,-0.08426312456150631,0.18888723832295173,0.21407743000631058,-0.03219050583537509,0.38293785663921753,-4.656394315605234e-17
PI3K/mTOR,-0.13167407830597508,-0.01052552739875242,-0.013901233599660412,0.7469324742710969,1.3011371622467784,0.24078393386707259,0.6857554798347855,-0.24078660967633517,-0.07651615981796435,0.15642893815432388,0.1450385997813329,-0.04433764394440668,0.33193144526299645,8.78034171777544e-17
PKC,-0.2304984531600557,0.05628337725393201,0.08925612190536031,0.5718715030801551,0.1222279400164854,1.1790907081877333,0.9121895663923916,-0.22775793535772756,-0.12008295905596673,0.2696638046636686,0.4144070212367206,-0.014857399685897167,0.4771626237838266,-9.672525551822674e-17
p38,-0.3389664393330491,-0.09367487808258353,-0.14424662795070375,0.44151763497176505,1.0343989112359933,0.1690595541798501,2.0142516491187172,-0.35947539423410363,-0.1650125023848027,0.2866609855111662,0.09481718645068046,-0.006176965434726994,0.8027801304460694,-1.1589471665433353e-16
JNK,-0.4181820580186551,-0.06998804509655032,-0.10763138939179596,0.4635587424339979,-0.12534823926305866,0.2845495972865664,0.6503729486697275,0.952542277845976,-0.28193162204722333,0.4167030171174091,0.21809499448593098,-0.44674351249258976,0.7988513067630154,-1.2835819826440992e-16
Aurora-A,-0.07448316571600525,-0.005845680662573821,-0.008926098265586274,0.010816845725203453,0.5244096771660588,-0.1543823493477125,0.8894062661669101,-0.5133769771374939,0.7316674779005501,0.5077493860709883,0.49156890951268617,0.041898260363177765,1.188283056014677,-5.605654963404933e-17
RIPK1,-0.21514639020901924,0.0003081696227347586,0.002395051617518437,0.5577166106554925,1.2112205943548513,-0.03903316259795494,0.9491908431479916,-0.6653571890826134,-0.2946167022486257,1.144134692034559,-0.10175762473981273,0.23807865956378277,0.6942669367291636,1.1617041632374032e-18
IKK2,0.05861387118006429,0.08406462253332514,0.13391189123355565,1.0798309748418422,0.016498021445848884,0.15125562442296792,0.08911190814405806,-0.47705589626627165,-0.3734820422801562,0.5972474743969688,1.0058172670556733,-0.2091852407149803,0.8620061810481032,-8.020509132188967e-19
JAK,-0.38206643451197897,-0.08196539912195025,-0.1282077796757237,-0.2641012960212031,0.39474701275058444,0.24886251237444326,0.5018908767079803,-0.4328713491588649,-0.19468143013376504,-0.16363171911013782,-0.16070961045206617,1.1750743040290115,0.436232562712387,8.155517483499379e-18
GSK3B,-0.20817264099650282,-0.0097698786477674,-0.01196988352522727,1.0025603475584075,1.3987237275281883,0.24656212213156836,1.2365221292770836,-0.5323108878179718,-0.18711284968166023,0.6727696096464665,0.28507470029207765,-0.03137228566040653,1.8202783362138026,0.0
DPD,0.32602163089380504,-0.0649385623876832,-0.09439916649588954,2.0175828603414803,3.386348195223489,0.6438934521477135,1.3481660811667797,-1.3370662908715947,-0.3659773808575823,2.133009739783118,0.710598213593035,0.13214346091894857,2.530751187082094,1.0000000000000002
