,TGFBR1,EGFR,VGFR/PDGFR/FGFR,MEK/ERK,PI3K/mTOR,PKC,p38,JNK,Aurora-A,RIPK1,IKK2,JAK,GSK3B,DPD
TGFBR1,1.3919208318801541,0.8464376953777507,-0.49416118250431273,-0.07747720354793614,-0.4658575289957052,0.02487064589986738,0.5864655587185802,-0.031437548053399184,-0.00983759171266596,-0.031968135958561336,0.12846721589191187,0.016476605841712594,0.008653660165492176,0.0
EGFR,0.6236920911806378,1.3539110180771181,-0.43269491009715505,0.5914091386060387,-0.671334810712375,-0.0552767796269403,-0.3883007897000293,-0.28650789298299495,0.0518606118694976,-0.036677066915807424,0.11713863791313359,-0.18923432262522333,-0.10170271021680136,0.0
VGFR/PDGFR/FGFR,0.2545376904100348,0.1604367779037218,0.9738220193450762,-0.15367007449106532,0.1219894519594619,0.059113426817314844,-0.3205027420891669,-0.00628181743583908,-0.06995252201121209,0.013975844788402457,-0.1447912979521561,0.05358109771703447,0.4288813643796264,0.0
MEK/ERK,0.06543724157316447,-0.002226909967248508,-0.40462096409858384,1.0337672423519313,-0.2937318595839519,0.10761140769813672,0.21937976676859286,-0.24562465706136455,0.1407298230959662,-0.004760673249817429,0.1061295029748153,-0.23701076085801784,0.0764022427670322,0.0
PI3K/mTOR,0.01894933106005923,0.006467325211192212,0.04451890201448631,0.12376848625864027,1.1443785231873125,0.10418023829705887,-0.04228616961264489,0.21123137207476347,0.05669522054146672,0.0772787609331549,-0.2021179849394799,0.03527185623787654,0.1103031774238387,-0.0
PKC,0.41259561213187945,0.2428175149993603,-0.4080807426562394,0.1766420766384123,-0.21446875673615434,0.9785895008511759,-0.19492369692818282,-0.036521868495707724,-0.21774673945288509,-0.007549052471873818,-0.23510261808706098,0.1683111351206392,0.35530624330117583,0.0
p38,0.15836917854828306,0.08957361466734143,-0.13525640400357278,0.15738580514903752,0.38839903439410434,0.2125752568219721,1.0172498154330716,0.12551826610638186,0.050234547132380944,0.030617958836426384,-0.013021213410510147,0.0410710843765615,0.3184549702734982,0.0
JNK,0.11717253445602689,0.0668499419845096,0.3183739984976201,0.10219591815236274,0.415576776625402,-0.3499551105327412,0.0907948296901048,1.3349443739511915,-0.9540946175250713,-0.013746527934191517,-1.3217913166034614,0.44135254139479824,0.09810858467187582,0.0
Aurora-A,-0.2653599614961986,-0.17466480697527503,-0.9868964659502136,0.3430642342849595,-0.18754802899736897,1.2748219177121853,-0.31431303655999177,-0.3677429710136222,2.6563634503904843,0.31189851196394164,2.4424693443012013,-1.3319422587893541,0.040108513468209366,0.0
RIPK1,-0.36085231719305516,-0.22696998922956776,0.7752084848246721,0.20606340698323614,1.7834810707592599,-0.16670417040506771,-0.3978208003838672,0.3737139721805763,-0.30273231518433963,1.028401952520718,0.09895593166542394,1.0985373329138397,0.22203298553481582,0.0
IKK2,0.20059394816512707,0.12704774911674882,0.042418117184576595,-0.13621408860815282,-0.3859205101725034,0.11374405084059334,0.024072366626577985,-0.41898024048984817,0.6262390216828121,-0.12848065725548852,1.884335291657172,0.35567521082871734,-0.0361288163882146,-0.0
JAK,0.6006869063473654,0.3710445792215389,1.1102603729906084,-0.17569808066286452,0.5161331019313825,-0.6806240548997526,0.08746973722818469,0.8709969415436473,-1.7279296686558518,-0.02727289648564738,-1.3958237142012708,2.2316892571617495,0.2932208082996688,0.0
GSK3B,0.36473693642623245,0.21005030438657704,-0.25381453554880695,0.269764599980547,0.16149656967002357,0.3022539372617262,0.09820351289116859,-0.09289693885575974,-0.05711320760395617,0.033720852611235336,-0.2298992270785026,0.016820185707343963,1.1509802671808878,0.0
DPD,0.1880028357717214,0.12956020442896307,0.05127880755139555,-0.38657664319852125,-0.535949387057022,0.15777283949552665,-0.02137913056070011,-0.25045654227217024,0.505120876256,-0.12467003857926261,1.155849708914099,0.29316239704314473,0.023863081812633097,1.0
