,TGFBR1,EGFR,VGFR/PDGFR/FGFR,MEK/ERK,PI3K/mTOR,PKC,p38,JNK,Aurora-A,RIPK1,IKK2,JAK,GSK3B,DPD
TGFBR1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
EGFR,0,-1,0,0.87 ± 0.22,0,0,0,0,0,0,0,0,0,0
VGFR/PDGFR/FGFR,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
MEK/ERK,0,0.00 ± 0.01,-0.00 ± 0.01,-1,0.10 ± 0.25,0.40 ± 0.66,0.04 ± 0.26,0.02 ± 0.18,0,0,0,0.04 ± 0.35,0.00 ± 0.01,0
PI3K/mTOR,0,0.15 ± 0.31,0.00 ± 0.03,0.31 ± 0.52,-1,0,0.00 ± 0.01,0,0,0,0,-0.00 ± 0.02,0.00 ± 0.02,0
PKC,0,0,0,0.60 ± 0.65,0,-1,0,0,0,0,0,0,0,0
p38,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
JNK,0,0,0,0.38 ± 0.69,0.00 ± 0.01,-0.02 ± 0.15,0,-1,0,0,0,0,0,0
Aurora-A,0,0,0,-0.54 ± 0.84,-0.79 ± 0.84,1.00 ± 0.83,1.86 ± 0.83,0.33 ± 0.84,-1,0.59 ± 0.83,-0.24 ± 0.83,-0.98 ± 0.84,0,0
RIPK1,0,0,0,-0.38 ± 0.91,1.49 ± 0.90,-0.50 ± 0.92,-0.90 ± 0.91,-0.94 ± 0.90,0.63 ± 0.89,-1,0.36 ± 0.90,0.23 ± 0.90,-0.10 ± 0.47,0
IKK2,0.00 ± 0.01,0,0,0.00 ± 0.15,0.00 ± 0.14,0.01 ± 0.40,-0.08 ± 0.71,-0.02 ± 0.45,0.00 ± 0.23,0.33 ± 1.05,-1,-0.70 ± 1.05,0.01 ± 0.30,0
JAK,0,0,-0.15 ± 0.69,-0.34 ± 0.90,-0.02 ± 0.76,0.47 ± 0.98,0.97 ± 1.01,0.07 ± 0.54,-0.17 ± 0.86,0.54 ± 1.02,-0.38 ± 1.02,-1,0.14 ± 0.66,0
GSK3B,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
DPD,0.33 ± 1.05,0,0,-0.05 ± 0.47,-0.69 ± 1.04,-0.01 ± 0.30,0.01 ± 0.38,0.02 ± 0.35,0.00 ± 0.33,0.00 ± 0.02,-0.00 ± 0.09,0.00 ± 0.27,-0.00 ± 0.27,-1
