,TGFBR1,EGFR,VGFR/PDGFR/FGFR,MEK/ERK,PI3K/mTOR,PKC,p38,JNK,Aurora-A,RIPK1,IKK2,JAK,GSK3B,DPD
TGFBR1,-1,0,-0.44 ± 0.43,-0.27 ± 0.43,0.22 ± 0.43,0,-1.62 ± 0.43,0,0,0,0,0,1.03 ± 0.43,0
EGFR,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
VGFR/PDGFR/FGFR,0.17 ± 0.53,0.64 ± 0.52,-1,0.17 ± 0.52,-0.49 ± 0.52,0,0.23 ± 0.53,0,0,0,0,0,0.19 ± 0.53,0
MEK/ERK,-0.05 ± 0.54,-0.00 ± 0.54,-0.06 ± 0.54,-1,-0.13 ± 0.56,0.40 ± 0.60,0.04 ± 0.54,-0.14 ± 0.55,-0.04 ± 0.55,0,0.05 ± 0.54,-0.07 ± 0.55,0.22 ± 0.57,0
PI3K/mTOR,-0.02 ± 0.23,-0.00 ± 0.24,-0.01 ± 0.23,0.46 ± 0.67,-1,0,0.19 ± 0.42,-0.03 ± 0.23,-0.00 ± 0.22,0,0.03 ± 0.24,-0.03 ± 0.23,0.02 ± 0.22,0
PKC,-0.07 ± 0.58,0,0.10 ± 0.47,0.19 ± 0.51,0,-1,0.35 ± 0.67,0.10 ± 0.48,0.12 ± 0.49,0,0.34 ± 0.65,0.08 ± 0.47,-0.26 ± 0.61,0
p38,-0.17 ± 0.90,0,-0.20 ± 0.89,-0.20 ± 0.91,0.17 ± 0.90,0.06 ± 0.87,-1,-0.09 ± 0.90,-0.09 ± 0.89,0,-0.00 ± 0.08,-0.02 ± 0.89,0.63 ± 0.90,0
JNK,-0.37 ± 1.07,0,-0.33 ± 1.07,-0.10 ± 1.08,-0.77 ± 1.07,0.27 ± 1.06,-0.30 ± 1.06,-1,-0.25 ± 1.07,0,0.09 ± 1.00,-0.36 ± 1.06,1.02 ± 1.07,0
Aurora-A,0,0,0,-0.63 ± 1.06,-0.37 ± 1.04,-0.03 ± 0.46,0.51 ± 1.05,-0.11 ± 0.78,-1,-0.00 ± 0.05,0.56 ± 1.06,0.08 ± 0.76,0.40 ± 1.07,0
RIPK1,-0.14 ± 0.94,0,0,0.01 ± 0.94,0.13 ± 0.97,-0.22 ± 0.95,0.19 ± 1.00,-0.36 ± 0.97,-0.30 ± 0.97,-1,0.01 ± 0.11,0.10 ± 0.95,0.68 ± 1.01,0
IKK2,-0.06 ± 0.99,0,0,0.59 ± 0.99,-0.97 ± 0.99,0,-0.26 ± 0.99,-0.27 ± 0.99,-0.41 ± 0.98,0.27 ± 0.98,-1,-0.32 ± 0.99,1.01 ± 0.99,0
JAK,-0.39 ± 0.67,0,-0.32 ± 0.67,-0.49 ± 0.67,-0.42 ± 0.66,0.33 ± 0.66,-0.32 ± 0.68,-0.48 ± 0.67,-0.38 ± 0.66,-0.22 ± 0.66,-0.13 ± 0.66,-1,1.23 ± 0.67,0
GSK3B,0.01 ± 0.23,0,0,0.08 ± 0.96,0.58 ± 1.09,0.04 ± 0.56,0.21 ± 1.03,0.01 ± 0.37,0.06 ± 0.70,0.32 ± 1.05,0.14 ± 0.94,-0.04 ± 0.55,-1,0
DPD,0.69 ± 0.92,0,0,-0.22 ± 0.93,1.14 ± 0.94,0.44 ± 0.91,0.02 ± 0.94,0.05 ± 0.54,0.26 ± 0.87,1.15 ± 0.95,0.26 ± 0.88,0.00 ± 0.00,0.23 ± 0.95,-1
