,TGFBR1,EGFR,VGFR/PDGFR/FGFR,MEK/ERK,PI3K/mTOR,PKC,p38,JNK,Aurora-A,RIPK1,IKK2,JAK,GSK3B,DPD
TGFBR1,-1,0.61 ± 0.48,-0.33 ± 0.47,-0.55 ± 0.47,-0.44 ± 0.47,0,0.80 ± 0.47,0,0,0,0,0,0.04 ± 0.48,0
EGFR,0.49 ± 0.44,-1,0,0.70 ± 0.44,0.06 ± 0.44,0,-0.82 ± 0.44,0,0,0,0,0,0.08 ± 0.45,0
VGFR/PDGFR/FGFR,0.11 ± 0.48,0,-1,-0.23 ± 0.49,0.15 ± 0.49,0,-0.37 ± 0.48,0,0,0,0,0,0.47 ± 0.48,0
MEK/ERK,0.10 ± 0.90,-0.04 ± 0.76,-0.20 ± 0.99,-1,-0.21 ± 1.11,0.01 ± 0.86,0.07 ± 0.74,-0.14 ± 0.94,-0.02 ± 0.51,0,-0.09 ± 1.00,-0.08 ± 0.57,0.16 ± 0.87,0
PI3K/mTOR,-0.01 ± 1.10,0,0.07 ± 1.09,0.06 ± 0.70,-1,0,0.02 ± 0.58,0.07 ± 1.07,0.18 ± 1.09,0,-0.19 ± 1.10,0.14 ± 1.08,0.01 ± 0.60,0
PKC,0.23 ± 0.99,0,-0.31 ± 0.98,0.09 ± 1.00,0,-1,-0.50 ± 0.98,0,0.00 ± 0.05,0,-0.03 ± 1.00,0.10 ± 0.99,0.53 ± 0.98,0
p38,0.02 ± 0.98,0,-0.04 ± 0.82,0.02 ± 0.60,0.34 ± 1.09,0.09 ± 1.07,-1,0.10 ± 0.92,0.03 ± 0.47,0,0.09 ± 1.06,-0.01 ± 0.63,0.22 ± 0.92,0
JNK,0.01 ± 0.74,0,0.03 ± 1.03,0.13 ± 0.94,0.20 ± 1.14,0.00 ± 0.64,0.00 ± 0.27,-1,-0.21 ± 1.06,-0.00 ± 0.66,-0.32 ± 0.97,0.13 ± 1.04,0.01 ± 0.42,0
Aurora-A,0,0,0,0,-0.08 ± 0.76,0.72 ± 0.76,0,0.71 ± 0.76,-1,0.42 ± 0.76,1.00 ± 0.75,-1.15 ± 0.75,0.01 ± 0.77,0
RIPK1,-0.52 ± 1.15,0,0,0.17 ± 0.74,1.44 ± 1.14,-0.05 ± 0.86,-0.14 ± 0.77,0,-0.04 ± 0.83,-1,0.56 ± 1.19,0.38 ± 1.01,0.02 ± 0.50,0
IKK2,0,0,0,-0.01 ± 0.67,-0.02 ± 1.11,-0.19 ± 1.13,0.02 ± 0.60,-0.57 ± 1.13,0.41 ± 1.08,-0.24 ± 1.12,-1,0.65 ± 1.10,-0.06 ± 0.69,0
JAK,0.18 ± 0.93,0,0.45 ± 1.03,0,0.06 ± 1.32,0.09 ± 0.84,-0.00 ± 0.02,0.57 ± 1.07,-0.48 ± 1.09,0.16 ± 0.87,0.32 ± 1.20,-1,0,0
GSK3B,0.18 ± 1.13,0,0,0.20 ± 1.01,0.29 ± 0.97,0.25 ± 1.04,0.02 ± 0.94,-0.15 ± 0.91,0.00 ± 0.03,0,-0.15 ± 1.16,0.06 ± 0.61,-1,0
DPD,0,0,0,-0.29 ± 0.99,-0.27 ± 1.14,-0.01 ± 0.99,0.03 ± 0.52,-0.13 ± 0.96,0.21 ± 0.97,-0.11 ± 0.84,0.43 ± 1.07,0.24 ± 1.05,0.04 ± 0.63,-1
