TGFBR1,EGFR,VGFR/PDGFR/FGFR,MEK/ERK,PI3K/mTOR,PKC,p38,JNK,Aurora-A,RIPK1,IKK2,JAK,GSK3B,DPD
0,0.566245728904894,0.77810109844331,1,0.0128792609512179,0,0,0,0,0,0,0,0,0
0.115744905890924,0,0,1,0,0,0,0,0,0,0,0,0,0
0,1,0,0.00204057644266898,0.00222425321512726,0,0,0,0,0,0,0,0,0
0,0.999999999999999,0.999999999999999,0,0.999999999999999,0.999999999999999,0.999999999999999,0.999999999999999,0.999999999999999,0,0.999999999999999,0.999999999999999,0.999999999999999,0
0,0.999999999999999,0.999999999999999,0.999999999999999,0,0,0.999999999999999,0.999999999999999,0.999999999999999,0,0.999999999999999,0.999999999999999,0.999999999999999,0
0.0154557171747007,0,1,1,0,0,1,1,1,0,1,1,1,0
0.374288528727402,0,0.999594095164466,1,0.998549759326253,1,0,1,1,0,1,1,1,0
0.999191177758376,0,0.998156537592542,1,0.971120593022274,1,1,0,1,1,1,1,1,0
0,0,0,0.999999999999999,0.999999999999999,0.999999999999999,0.999999999999999,0.999999999999999,0,0.999999999999999,0.999999999999999,0.999999999999999,0.999999999999999,0
1,0,0,1,1,1,1,1,1,0,1,1,1,0
1,0,0,1,0.942642575127418,1,0.972628454743153,1,1,1,0,1,1,0
1,0,1,1,1,1,1,1,1,1,1,0,1,0
1,0,0,1,1,1,0.985608159547904,1,1,1,1,1,0,0
1,0,0,1,0.98277852564574,1,1,1,1,1,1,1,1,0
