TGFBR1,EGFR,VGFR/PDGFR/FGFR,MEK/ERK,PI3K/mTOR,PKC,p38,JNK,Aurora-A,RIPK1,IKK2,JAK,GSK3B,DPD
0,0,0.999999999999999,0,0.999999999999999,0,0.999999999999999,0,0,0,0,0,0,0
1,0,0,0.996440812711618,0,0,1,0,0,0,0,0,1,0
0,1,0,0.234167917863645,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.409799860875189,0.644622897251402,0,0,0,0,0,0.0516525738849081,0,0
0.999999999999999,0.999999999999999,0.999999999999999,0.999999999999999,0,0,0.999999999999999,0.996317172881751,0.999999999999999,0,0.999999999999999,0.999999999999999,0.999999999999999,0
0,0,0,0.999999999999999,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0.0410080018217325,0.0410080018217325,0.0410080018217325,0.0410080018217325,0.0410080018217325,0,0.106432564941332,0,0.0410080018217325,0.0410080018217325,0.234369211537642,0
0,0,0,1,1,1,1,1,0,1,1,1,1,0
0.999999999999999,0,0,0.999999999999999,0.999999999999999,0.999999999999999,0.999999999999999,0.999999999999999,0.999999999999999,0,0.999999999999999,0.999999999999999,0.999999999999999,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.999999999999999,0,0.999999999999999,0.999999999999999,0.999999999999999,0.999999999999999,0.999999999999999,0.999999999999999,0.999999999999999,0,0.999999999999999,0,0.999999999999999,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,1,1,1,1,1,0,1,1,1,0
