TGFBR1,EGFR,VGFR/PDGFR/FGFR,MEK/ERK,PI3K/mTOR,PKC,p38,JNK,Aurora-A,RIPK1,IKK2,JAK,GSK3B,DPD
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0.451006942472589,0,0,0.615235210957162,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.055198940617459,0,0.206620439473555,0.880743813325057,0,0,0,0,0.225949678696816,0,0,0,0,0
0.27401092228407,0,0,0,0,0,0,1,0.173076030408377,0,0,0,0,0
0,0,0,0,0,0,0.865135399550123,0,0,0.332273256658537,0,0,0.0177632602639634,0
0,0,0,0.00715421690233615,0.826670653468982,0.42020988023063,1,0.116109122225089,0,0,0,0.18768365822865,0.364584610102239,0
0.403954322453706,0,0,1,0.674564359528199,1,0.688971386882542,1,0,0,0,0.492961970573551,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.102928787855368,0,0.686657221601416,0.686195932780469,0.999999999999999,0.999999999999999,0.999999999999999,0.999999999999999,0.999999999999999,0.833157371072688,0,0,0.999999999999999,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.191231430907177,1,0,0,0,0,0,0,0,0
