TGFBR1,EGFR,VGFR/PDGFR/FGFR,MEK/ERK,PI3K/mTOR,PKC,p38,JNK,Aurora-A,RIPK1,IKK2,JAK,GSK3B,DPD
0,0.495592073586594,0.415523499990825,1.11022302462516e-15,0.11275365000109,0,0,0,0,0,0,0,0,0
0.319918775083966,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2.22044604925031e-16,0,0.0451266272886707,0.0471095097911479,0,0,0,0,0,0,0,0,0
0,9.9920072216264e-16,9.9920072216264e-16,0,9.9920072216264e-16,9.9920072216264e-16,9.9920072216264e-16,9.9920072216264e-16,9.9920072216264e-16,0,9.9920072216264e-16,9.9920072216264e-16,9.9920072216264e-16,0
0,6.66133814775094e-16,6.66133814775094e-16,6.66133814775094e-16,0,0,6.66133814775094e-16,6.66133814775094e-16,6.66133814775094e-16,0,6.66133814775094e-16,6.66133814775094e-16,6.66133814775094e-16,0
0.123356548189856,0,2.22044604925031e-16,2.22044604925031e-16,0,0,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,0,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,0
0.48393865932624,0,0.0201429907610103,3.33066907387547e-16,0.0380544015290616,3.33066907387547e-16,0,3.33066907387547e-16,3.33066907387547e-16,0,3.33066907387547e-16,3.33066907387547e-16,3.33066907387547e-16,0
0.0284282966110332,0,0.0428959678036309,1.11022302462516e-16,0.167467569488365,1.11022302462516e-16,1.11022302462516e-16,0,1.11022302462516e-16,1.11022302462516e-16,1.11022302462516e-16,1.11022302462516e-16,1.11022302462516e-16,0
0,0,0,1.11022302462516e-15,1.11022302462516e-15,1.11022302462516e-15,1.11022302462516e-15,1.11022302462516e-15,0,1.11022302462516e-15,1.11022302462516e-15,1.11022302462516e-15,1.11022302462516e-15,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.11022302462516e-16,0,0,1.11022302462516e-16,0.232524301277453,1.11022302462516e-16,0.163163549137359,1.11022302462516e-16,1.11022302462516e-16,1.11022302462516e-16,0,1.11022302462516e-16,1.11022302462516e-16,0
4.44089209850063e-16,0,4.44089209850063e-16,4.44089209850063e-16,4.44089209850063e-16,4.44089209850063e-16,4.44089209850063e-16,4.44089209850063e-16,4.44089209850063e-16,4.44089209850063e-16,4.44089209850063e-16,0,4.44089209850063e-16,0
4.44089209850063e-16,0,0,4.44089209850063e-16,4.44089209850063e-16,4.44089209850063e-16,0.119099602772208,4.44089209850063e-16,4.44089209850063e-16,4.44089209850063e-16,4.44089209850063e-16,4.44089209850063e-16,0,0
2.22044604925031e-16,0,0,2.22044604925031e-16,0.130095715438003,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,0
