TGFBR1,EGFR,VGFR/PDGFR/FGFR,MEK/ERK,PI3K/mTOR,PKC,p38,JNK,Aurora-A,RIPK1,IKK2,JAK,GSK3B,DPD
0,0,7.77156117237609e-16,0,7.77156117237609e-16,0,7.77156117237609e-16,0,0,0,0,0,0,0
6.66133814775094e-16,0,0,0.0595526613530347,0,0,6.66133814775094e-16,0,0,0,0,0,6.66133814775094e-16,0
0,4.44089209850063e-16,0,0.423477631176725,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.491796639783015,0.478627430879813,0,0,0,0,0,0.221324615657572,0,0
8.88178419700125e-16,8.88178419700125e-16,8.88178419700125e-16,8.88178419700125e-16,0,0,8.88178419700125e-16,0.0605744492559752,8.88178419700125e-16,0,8.88178419700125e-16,8.88178419700125e-16,8.88178419700125e-16,0
0,0,0,8.88178419700125e-16,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.198308712890587,0.198308712890587,0.198308712890587,0.198308712890587,0.198308712890587,0,0.308390457150251,0,0.198308712890587,0.198308712890587,0.423603923755276,0
0,0,0,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,0,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,0
5.55111512312578e-16,0,0,5.55111512312578e-16,5.55111512312578e-16,5.55111512312578e-16,5.55111512312578e-16,5.55111512312578e-16,5.55111512312578e-16,0,5.55111512312578e-16,5.55111512312578e-16,5.55111512312578e-16,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.99200722162641e-16,0,9.99200722162641e-16,9.99200722162641e-16,9.99200722162641e-16,9.99200722162641e-16,9.99200722162641e-16,9.99200722162641e-16,9.99200722162641e-16,0,9.99200722162641e-16,0,9.99200722162641e-16,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.88178419700126e-16,0,0,8.88178419700126e-16,8.88178419700126e-16,8.88178419700126e-16,8.88178419700126e-16,8.88178419700126e-16,8.88178419700126e-16,0,8.88178419700126e-16,8.88178419700126e-16,8.88178419700126e-16,0
