TGFBR1,EGFR,VGFR/PDGFR/FGFR,MEK/ERK,PI3K/mTOR,PKC,p38,JNK,Aurora-A,RIPK1,IKK2,JAK,GSK3B,DPD
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,6.66133814775094e-16,0,0,0,0,0,0,0,0,0,0
0,0,0.497593890953372,0,0,0.486539665552212,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.228368162343548,0,0.404880764503959,0.324089723093303,0,0,0,0,0.418206194829323,0,0,0,0,0
0.44601450285064,0,0,0,0,0,0,2.22044604925031e-16,0.378312989608413,0,0,0,0,0
0,0,0,0,0,0,0.341578892783751,0,0,0.47102838509804,0,0,0.132089843851668,0
0,0,0,0.084279499778122,0.378531747891968,0.493592480480801,0,0.320355730339272,0,0,0,0.39045934828425,0.481313486387861,0
0.490688524243917,0,0,2.22044604925031e-16,0.468537388457431,2.22044604925031e-16,0.462914479077603,2.22044604925031e-16,0,0,0,0.499950463687946,2.22044604925031e-16,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.303865846198602,0,0.46385243518175,0.464037794383185,6.66133814775094e-16,6.66133814775094e-16,6.66133814775094e-16,6.66133814775094e-16,6.66133814775094e-16,0.372835306938513,0,0,6.66133814775094e-16,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.393270861799308,4.44089209850063e-16,0,0,0,0,0,0,0,0
