,TGFBR1,EGFR,VGFR/PDGFR/FGFR,MEK/ERK,PI3K/mTOR,PKC,p38,JNK,Aurora-A,RIPK1,IKK2,JAK,GSK3B,DPD
TGFBR1,1.088006003353991,-0.00847968811382055,0.24395685349007712,-1.4115371410636781,-0.16381388694587617,-0.1287733915413809,0.08904748769335342,-0.022539765546654607,-0.014376704116832499,0.06722913965537394,-0.6248262840660109,0.11453756259508335,-0.10441746376173032,1.3057629972226892e-19
EGFR,-0.08059347112309864,1.7860096159757635,0.22079688660368255,2.281144374965001,0.25952618408444633,0.20594579219441858,-0.1410740467884055,0.03697264713704389,0.024822393989300206,-0.10723996525394028,1.0065833099967223,-0.18672577320405193,0.17175590746818234,4.496925068255759e-21
VGFR/PDGFR/FGFR,-0.05484975121371006,1.216331819607214,1.150296967091597,1.554227260957766,0.1761213688966561,0.14002659365458311,-0.09573637480209773,0.025264651633624922,0.017126917806330615,-0.07287651711953239,0.6853926500885538,-0.1274425264779946,0.11743001592249164,3.216525079951064e-20
MEK/ERK,-0.13947017244762264,0.9288708373569223,0.25090592965973085,2.7521788501498023,0.3132469818983655,0.24852603241969137,-0.1702758062278517,0.04459337993917464,0.02990798840743398,-0.1294194142580751,1.2145131910725766,-0.22524195136925676,0.20714608697470496,-0.0
PI3K/mTOR,-0.11416976191922414,-0.012437125727932543,0.19616904343462346,-0.4489565846116786,1.1916736817853826,0.4751023474154734,-0.648169956014863,-0.13773446674449227,-0.3839158243441148,-0.3146167399677836,0.5607052893599876,0.42444380641591467,-0.7519306749273267,-5.142149363356477e-17
PKC,-0.16330736651561176,0.4711144332225069,0.35333029026862944,0.9258241055149833,0.11808147802550883,1.915853588640522,-0.26991158275032257,0.31261119838447815,-0.27630180018556033,-0.28454289050757947,1.2931635769861212,0.8712313797535017,-0.13494735671229655,-1.2761582090156031e-16
p38,0.0746563105750392,0.22892411269835894,0.2999343432555833,0.032586470675192145,-0.06348356865448422,-0.2679482623231515,1.4078021232067204,0.8116791000105801,0.5649704476681281,0.23038675835075278,-0.45615115010749085,0.4778481274413549,0.21087271128976878,-0.0
JNK,0.1599249774421845,0.2265166896905178,0.2747154339557567,0.01683877147480895,0.1829883956570346,-0.1616869012980887,0.6225703639255357,1.7346115056231488,0.5061019642179965,0.1324238368206407,-0.6384593778723006,0.6358637879347528,-0.45954450597438323,0.0
Aurora-A,0.07120579966783037,-0.05419358041733113,-0.035594937396887454,-0.16409996529095583,0.3608788146299282,-1.1008695770702108,0.2945950609017557,-0.5271698639721749,2.488073130803435,0.9105268097796104,-2.3824344517398446,-0.35797436340806194,0.23068150871743168,1.0842862045282774e-16
RIPK1,-0.3910636820925582,1.2318804738553668,1.0392056063484858,2.1054566001794766,1.0659628403447108,3.1238555101363104,0.4300485283941461,2.7291721445464345,3.488811693095787,1.9246716870738194,-2.280987693316678,1.9223223549724198,-0.8061643883185818,-1.8582901024254903e-16
IKK2,-0.3927702962524595,0.13186295573051524,0.13501659741414446,0.4244851934172817,0.2881581369279948,0.8200727244605784,-0.18557176642690543,-0.09785197062842946,0.1720371888317548,-0.3270872953448678,1.9969555237440293,1.0833953548457778,-0.2440157352542222,-3.411053517256317e-17
JAK,-0.13718898352434522,0.13429592635636398,0.45003695456124815,-0.504820138757697,0.1755161354402523,1.2165040367691444,0.387501632980259,0.979589350997006,2.6353491657035453,0.7064354794191464,-0.8522737903475528,2.928893092641348,0.363822611205514,-8.755752761551534e-17
GSK3B,-0.004902125032042284,0.48640279568846784,0.1862608849664035,1.267022427626742,-0.21743507898797285,0.30716504065884614,0.26193740642197305,0.20642065760041856,1.039673785170212,0.4823870802836037,0.0032573231143526444,0.436666723988545,1.4388355683244793,5.5412485430062665e-17
DPD,0.7668917311305792,0.3512074688663013,0.09337293935483662,0.45715543103482953,-0.860947349378717,-2.19611979242084,1.8246054491057757,0.062214600225283585,0.5560538383226337,0.6798281298218206,-1.8443808506432748,-0.5681033910736275,1.4537903411165223,1.0000000000000002
