,TGFBR1,EGFR,VGFR/PDGFR/FGFR,MEK/ERK,PI3K/mTOR,PKC,p38,JNK,Aurora-A,RIPK1,IKK2,JAK,GSK3B,DPD
TGFBR1,1.615647749976807,0.3727270978163157,0.9848712624161726,0.3933425274124496,1.0256156461191859,0.4555148853362274,0.8494338092490725,-0.25187928842685936,-0.3991032540637305,0.06896310528095409,0.6775679503422939,0.395084197450546,0.037606800082506636,-0.0
EGFR,0.697879894145463,1.1603859329249684,0.4595747200506748,0.6055574216556576,0.5176081090689842,0.3597481638621428,-0.30030789266089725,-0.1266815587191897,-0.2031074350191933,0.03509597900280836,0.33861042804995906,0.1941550435369412,0.4557508897066391,0.0
VGFR/PDGFR/FGFR,0.5001389787944795,0.8549518012809718,1.3197998220363412,0.3120939335716899,0.3500776408829303,0.212216363164523,-0.22298719723454868,-0.08578409103073126,-0.13696496681441261,0.02366688151511898,0.22981576429115275,0.13256809776904996,0.3404873255102535,0.0
MEK/ERK,0.17173123259051212,0.03764460720997352,0.2145244927041273,1.4426717875669075,0.3488722009913103,0.5725142639000372,0.00857383628796871,-0.08427383015666177,-0.14118584146048374,0.024396228168223996,0.21972524344019126,0.11755410768622307,-0.0350811154893243,0.0
PI3K/mTOR,0.7528454284582898,0.13874479147613022,0.9059354234278182,0.48527648924300515,1.5315741984271958,0.6476542222330322,0.00017193185544438813,-0.3762464511735241,-0.595566178296694,0.10291094506859579,1.0126660659132245,0.591301386468426,-0.1319761146906903,-0.0
PKC,0.12067082971659047,0.026451833588211366,0.15074048056746966,1.0137259192072767,0.24514293249765223,1.4022900797208713,0.006024599737139246,-0.059216910372081225,-0.09920742066701295,0.017142560794602336,0.15439490554889654,0.0826020491270478,-0.02465053822547465,0.0
p38,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JNK,0.8078241178209496,0.18500728066029318,0.48820269369240976,0.1997786404086527,0.5076917644901683,0.22837964323153961,0.4351662146369115,0.907520560290076,-0.16609986722042566,0.02870125090096504,0.34013644790346215,0.1665471083286817,-0.04972932884351473,0.0
Aurora-A,0.420534003451787,0.23466118816611492,0.542282344748588,0.0726677747408671,0.4799025196891489,-0.3891437496331105,0.4715190473865297,0.8210082444559077,0.9062288904843203,-0.15659195395368225,0.13631689017558124,-0.25883316886711755,0.5059734463688509,0.0
RIPK1,2.3081764000927265,0.5202760472733002,0.6226584183560574,1.3177924874618538,-0.1717699269023685,0.7866300453337398,2.282763222236672,1.1362434803677048,-0.9989936232786891,1.1726212495530515,1.9427054271892463,0.08646881873386687,0.32176066140621773,-0.0
IKK2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
JAK,0.030581625807000225,-0.31412590975839294,-0.38303390560693795,-1.9527025461411547,0.08858782692415318,-0.23839440123044955,-0.4551680930402231,-0.09803370766961511,0.2601515600587931,-0.04495292694976158,0.642386392998474,0.9481376105850339,0.2600284985472948,-0.0
GSK3B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
DPD,1.0296202045405767,0.3297600775450077,0.9647945767680206,-0.6388288739429772,1.106627534134647,-0.4204682337152784,-0.34317366826452145,0.8714466142815427,-0.005660400331342783,0.0009780897048771542,0.36926793409275194,0.08334109066640556,0.7211469440113268,1.0
