,TGFBR1,EGFR,VGFR/PDGFR/FGFR,MEK/ERK,PI3K/mTOR,PKC,p38,JNK,Aurora-A,RIPK1,IKK2,JAK,GSK3B,DPD
TGFBR1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EGFR,0.00477573407826319,1.0,0.33856320753557756,1.3572173717661684,0.012481162161101162,0.41300368298709134,-0.024447557634379356,-0.015546193154930431,-0.028561355118636746,-0.0008645775654862001,0.0,-0.001206048539940502,0.0024755306493253085,0.0
VGFR/PDGFR/FGFR,0.005011390393749612,0.0,1.3552694471920608,1.4241886142816012,0.013097039142455892,0.4333831523252282,-0.025653910680915607,-0.016313312625716267,-0.02997070153580681,-0.0009072397322224173,0.0,-0.0012655604287020133,0.0025976845260139094,0.0
MEK/ERK,0.005840963229879982,0.0,0.4140798490448429,1.6599451798462674,0.015265089733738654,0.5051242985057313,-0.029900593890418853,-0.019013776959621635,-0.03493197533816034,-0.00105742189297537,0.0,-0.0014750580873641955,0.0030276986239586813,0.0
PI3K/mTOR,-2.4677570175959253e-17,-0.0,-0.0,1.9742056140767403e-16,1.0,-0.0,8.637149561585739e-17,8.637149561585739e-17,-2.4677570175959253e-17,-2.9304614583951613e-17,-0.0,-9.793910663583829e-17,-1.1413376206381155e-16,-0.0
PKC,0.01565725223439484,0.0,0.3802806434889263,1.1429826377647743,0.04091951120649796,1.3540332715959371,-0.08015135895832587,-0.050968220491852095,-0.0936384509522879,-0.0028345190073770076,0.0,-0.003954032173340765,0.008116031411145646,0.0
p38,0.14886358821705387,0.0,0.0013634376739103567,-0.00974365998687198,-0.02727985358671331,0.042530206471843586,1.4190379361538974,0.9014183757335567,0.05282428802798493,0.0420602462064904,0.0,0.00515646499478439,0.05344961565026347,0.0
JNK,0.06423466608005048,-0.0,0.0057922768215712475,-0.00599067820543367,-0.016903790792799817,0.08149336843625189,0.6543809971644725,1.4950965167027372,0.02236562186482708,0.06943284918472051,-0.0,0.0059163708813310175,0.09666878535291577,-0.0
Aurora-A,0.09202017468393582,0.0,-0.05515369482160352,-0.16769226542545546,-0.46741241377265735,-0.14634653927980903,0.9155471082929427,0.5821960786767781,1.0696064808953833,0.03237793737164944,0.0,0.045165830866095,-0.09270721277667525,0.0
RIPK1,-0.004758293825926427,0.0,0.11321554099849311,-0.03856540261816571,-0.11083266253530441,1.3728572790896993,0.8701654413316766,2.281100082382472,-0.011004983216823427,1.1147999887005404,0.0,0.08017403605414425,1.7210378077473152,0.0
IKK2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
JAK,-0.13720309570210074,-0.0,-0.6319533056598606,-1.720103546347633,0.7820907335560293,-1.616533341144006,-0.769298412811646,0.44906928489734504,0.6768826130485652,0.14995972767450094,-0.0,1.0379448122266275,1.1343352177335266,-0.0
GSK3B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
DPD,-0.012966131684377307,0.0,-0.31491917142814907,-0.9465302833698519,-0.11947067958158276,-1.1213061807852849,0.06637518891421365,0.0422079588884693,0.0775441608522696,0.0023473305635828465,0.0,0.003274425236068776,-0.006721072794643179,1.0
