TGFBR1,EGFR,VGFR/PDGFR/FGFR,MEK/ERK,PI3K/mTOR,PKC,p38,JNK,Aurora-A,RIPK1,IKK2,JAK,GSK3B,DPD
0,0,0.599647636338734,0,0.592440871495698,0,0.59949217826528,0,0,0,0,0,0,0
0.540775722528193,0,0,0.542163282635328,0,0,0.550287943483278,0,0,0,0,0,0.554390088135516,0
0,0.293006697608897,0,0.232510561706503,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.402263292610073,0.680889404545583,0,0,0,0,0,0.124283348388365,0,0
0.632418802959951,0.633332431458332,0.623341164289329,0.622921276020796,0,0,0.627725835579014,0.631102238937106,0.62987459433212,0,0.619956994368121,0.62339350256309,0.626864457561409,0
0,0,0,0.5478762728821,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.77060509796885,0,0.128898504066699,0.198555045367172,0.120708927565875,0.167831511276388,0.135191581052955,0,0.331531709932867,0,0.141807502583039,0.134012051609227,0.443415596865565,0
0,0,0,0.586967152703525,0.58402020405754,0.584855472255857,0.592680732010299,0.587968822667868,0,0.586870798411942,0.595627092900277,0.589602073250891,0.582832852515897,0
0.580980982666759,0,0,0.582609714422225,0.578436533068395,0.588761046638606,0.583799533289506,0.584535917773808,0.5784875403048,0,0.585115981751641,0.581627473039839,0.577644276784228,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.910948392823493,0,0.919213773598595,0.925284581459523,0.916374006513816,0.924960538041685,0.93243251972882,0.916745815521343,0.911805456060527,0,0.912980807756608,0,0.9205767840175,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.992934321424752,0,0,0.986329904891993,1.01695839102388,1.00798850529955,0.988974673054748,0.991945036692309,0.999451080736773,0,0.994623575517022,0.988291198807425,1.00972996607553,0
