,TGFBR1,EGFR,VGFR/PDGFR/FGFR,MEK/ERK,PI3K/mTOR,PKC,p38,JNK,Aurora-A,RIPK1,IKK2,JAK,GSK3B,DPD
TGFBR1,-1,0.21 ± 0.50,0.37 ± 0.59,-0.90 ± 0.59,-0.00 ± 0.03,0,0,0,0,0,0,0,0,0
EGFR,0.03 ± 0.11,-1,0,0.85 ± 0.23,0,0,0,0,0,0,0,0,0,0
VGFR/PDGFR/FGFR,0,0.68 ± 0.43,-1,0.00 ± 0.01,-0.00 ± 0.01,0,0,0,0,0,0,0,0,0
MEK/ERK,0,0.29 ± 0.65,0.09 ± 0.65,-1,0.09 ± 0.65,0.17 ± 0.66,-0.09 ± 0.64,0.28 ± 0.65,0.19 ± 0.64,0,0.44 ± 0.65,-0.36 ± 0.65,0.40 ± 0.65,0
PI3K/mTOR,0,0.01 ± 0.61,0.25 ± 0.61,-0.05 ± 0.62,-1,0,-0.38 ± 0.61,-0.01 ± 0.62,-0.12 ± 0.62,0,0.09 ± 0.62,0.24 ± 0.62,-0.51 ± 0.62,0
PKC,-0.00 ± 0.04,0,0.15 ± 1.06,0.37 ± 1.05,0,-1,-0.09 ± 1.04,-0.06 ± 1.04,-0.36 ± 1.03,0,0.05 ± 1.03,0.33 ± 1.03,-0.18 ± 1.04,0
p38,-0.01 ± 0.34,0,0.20 ± 0.79,-0.10 ± 0.80,-0.04 ± 0.79,-0.27 ± 0.77,-1,0.39 ± 0.80,-0.10 ± 0.79,0,-0.00 ± 0.81,0.12 ± 0.80,0.21 ± 0.80,0
JNK,0.10 ± 0.63,0,0.01 ± 0.64,0.50 ± 0.62,0.00 ± 0.63,-0.23 ± 0.64,0.43 ± 0.64,-1,-0.13 ± 0.64,0.02 ± 0.64,-0.30 ± 0.64,0.42 ± 0.64,-0.60 ± 0.63,0
Aurora-A,0,0,0,0.51 ± 0.57,0.27 ± 0.57,-1.04 ± 0.56,0.36 ± 0.56,-0.87 ± 0.57,-1,0.21 ± 0.56,-0.67 ± 0.57,0.47 ± 0.57,-0.31 ± 0.57,0
RIPK1,-0.55 ± 0.57,0,0,-0.36 ± 0.56,0.02 ± 0.57,3.08 ± 0.57,-0.25 ± 0.56,1.68 ± 0.56,1.66 ± 0.56,-1,-0.68 ± 0.56,-0.13 ± 0.55,-0.02 ± 0.56,0
IKK2,-0.24 ± 0.62,0,0,0.30 ± 0.63,0.10 ± 0.63,0.39 ± 0.63,0.09 ± 0.63,-0.13 ± 0.63,0.03 ± 0.63,-0.15 ± 0.63,-1,0.45 ± 0.63,-0.40 ± 0.64,0
JAK,-0.04 ± 0.61,0,0.08 ± 0.60,-0.90 ± 0.62,-0.09 ± 0.61,0.91 ± 0.61,-0.22 ± 0.60,0.74 ± 0.60,0.77 ± 0.61,-0.02 ± 0.61,0.60 ± 0.61,-1,0.65 ± 0.61,0
GSK3B,0.17 ± 0.61,0,0,0.48 ± 0.63,-0.40 ± 0.62,-0.41 ± 0.62,0.05 ± 0.62,-0.32 ± 0.62,-0.14 ± 0.61,0.19 ± 0.61,0.19 ± 0.62,0.21 ± 0.62,-1,0
DPD,0.43 ± 0.61,0,0,1.07 ± 0.60,-0.28 ± 0.61,-1.45 ± 0.61,1.26 ± 0.60,-0.94 ± 0.60,-0.65 ± 0.60,0.01 ± 0.61,-0.94 ± 0.60,0.62 ± 0.60,-0.09 ± 0.60,-1
