,TGFBR1,EGFR,VGFR/PDGFR/FGFR,MEK/ERK,PI3K/mTOR,PKC,p38,JNK,Aurora-A,RIPK1,IKK2,JAK,GSK3B,DPD
TGFBR1,-1,0,0.34 ± 0.60,0,0.59 ± 0.59,0,0.93 ± 0.60,0,0,0,0,0,0,0
EGFR,0.40 ± 0.54,-1,0,0.31 ± 0.54,0,0,-0.64 ± 0.55,0,0,0,0,0,0.45 ± 0.55,0
VGFR/PDGFR/FGFR,0,0.74 ± 0.29,-1,-0.09 ± 0.23,0,0,0,0,0,0,0,0,0,0
MEK/ERK,0,0,0,-1,0.18 ± 0.40,0.32 ± 0.68,0,0,0,0,0,-0.01 ± 0.12,0,0
PI3K/mTOR,0.39 ± 0.63,-0.35 ± 0.63,0.60 ± 0.62,0.56 ± 0.62,-1,0,-0.07 ± 0.63,0.16 ± 0.63,-0.42 ± 0.63,0,0.45 ± 0.62,0.23 ± 0.62,-0.01 ± 0.63,0
PKC,0,0,0,0.70 ± 0.55,0,-1,0,0,0,0,0,0,0,0
p38,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
JNK,0.50 ± 0.77,0,-0.02 ± 0.13,-0.03 ± 0.20,-0.01 ± 0.12,0.03 ± 0.17,-0.02 ± 0.14,-1,0.03 ± 0.33,0,0.02 ± 0.14,-0.02 ± 0.13,-0.08 ± 0.44,0
Aurora-A,0,0,0,-0.32 ± 0.59,0.09 ± 0.58,-0.34 ± 0.58,0.21 ± 0.59,1.06 ± 0.59,-1,-0.17 ± 0.59,0.42 ± 0.60,-0.43 ± 0.59,0.72 ± 0.58,0
RIPK1,1.35 ± 0.58,0,0,0.54 ± 0.58,-1.45 ± 0.58,-0.05 ± 0.59,0.65 ± 0.58,1.92 ± 0.58,-0.97 ± 0.58,-1,2.01 ± 0.59,-0.23 ± 0.58,0.74 ± 0.58,0
IKK2,0,0,0,0,0,0,0,0,0,0,-1,0,0,0
JAK,0.24 ± 0.91,0,-0.47 ± 0.92,-1.76 ± 0.93,0.34 ± 0.92,0.51 ± 0.92,-0.74 ± 0.93,-0.32 ± 0.92,0.27 ± 0.91,0,0.62 ± 0.91,-1,0.25 ± 0.92,0
GSK3B,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
DPD,0.00 ± 0.99,0,0,-0.80 ± 0.99,0.59 ± 1.02,-0.28 ± 1.01,-0.92 ± 0.99,0.72 ± 0.99,0.41 ± 1.00,0,-0.20 ± 0.99,-0.17 ± 0.99,0.64 ± 1.01,-1
