,TGFBR1,EGFR,VGFR/PDGFR/FGFR,MEK/ERK,PI3K/mTOR,PKC,p38,JNK,Aurora-A,RIPK1,IKK2,JAK,GSK3B,DPD
TGFBR1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
EGFR,0,-1,0,0.82 ± 0.22,0,0,0,0,0,0,0,0,0,0
VGFR/PDGFR/FGFR,0,0,-1,0.86 ± 0.15,0,0,0,0,0,0,0,0,0,0
MEK/ERK,0,0,0.22 ± 0.40,-1,0,0.30 ± 0.51,0,0,0,0,0,0,0,0
PI3K/mTOR,0,0,0,0,-1,0,0,0,0,0,0,0,0,0
PKC,0.02 ± 0.15,0,0.09 ± 0.32,0.60 ± 0.58,0,-1,0,0,-0.07 ± 0.29,0,0,0,0,0
p38,0.11 ± 0.62,0,0,0,0,0,-1,0.59 ± 0.78,0.04 ± 0.31,0,0,0,0,0
JNK,0,0,0,0,0,0,0.43 ± 0.75,-1,0,0.05 ± 0.47,0,0,-0.01 ± 0.08,0
Aurora-A,0,0,0,-0.00 ± 0.03,-0.48 ± 1.02,-0.08 ± 0.60,0.68 ± 1.03,-0.03 ± 0.38,-1,0,0,0.04 ± 0.47,-0.17 ± 0.68,0
RIPK1,-0.11 ± 0.63,0,0,-0.86 ± 1.05,-0.18 ± 0.86,1.33 ± 1.05,-0.00 ± 0.87,1.54 ± 1.04,0,-1,0,0.07 ± 0.70,1.48 ± 1.04,0
IKK2,0,0,0,0,0,0,0,0,0,0,-1,0,0,0
JAK,-0.01 ± 0.18,0,-0.10 ± 0.85,-0.07 ± 0.85,1.09 ± 1.05,-1.20 ± 1.06,-1.37 ± 1.03,0.67 ± 1.03,0.58 ± 1.05,0.12 ± 0.94,0,-1,0.99 ± 1.05,0
GSK3B,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
DPD,0,0,0,0,-0.09 ± 0.34,-0.83 ± 0.53,0,0,0,0,0,0,0,-1
