TGFBR1,EGFR,VGFR/PDGFR/FGFR,MEK/ERK,PI3K/mTOR,PKC,p38,JNK,Aurora-A,RIPK1,IKK2,JAK,GSK3B,DPD
0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,0,0,0.974983979353267,1,0,0,0,0,0,0,0,1,0
0.0138540424670041,0.0125333846034763,0,1,0.0125333846034763,0,0,0,0,0,0,0,0.037884775906185,0
0,0.0286539889151633,0.999999999999999,0,0.0133524340953812,0.00970234639049807,0.412039869396187,0.00499950284509325,0.0528891846719402,0,0.0449145493873827,0.0347230528376297,0.0556029399624975,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.222546508682626,0,0.0457198527575079,0.881829820138491,0,0,0,0,0.0851267472589097,0,0,0.0137751599221932,0,0
0.75435739993288,0,1,1,1,1,1,0,1,1,1,0,1,0
0,0,0,1,0.856156168163661,0.699450466553633,0.843420520132085,0.733106364874263,0,0.881928183306386,1,0.0181490378189623,0.305794779108361,0
0.795436572418368,0,0,1,1,1,1,1,1,0,1,0.00125963989808587,0.229229896421805,0
0.879186332082095,0,0,0.999999999999999,0.983444666619173,0.964327688586525,0.964327688586525,0.964327688586525,0.999999999999999,0.999999999999999,0,0.654768914143215,0.654768914143215,0
1,0,1,1,1,1,1,1,1,1,1,0,0.999187551616263,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.606067719028588,0,0,1,1,1,1,1,1,1,1,0.0262736239432223,1,0
