TGFBR1,EGFR,VGFR/PDGFR/FGFR,MEK/ERK,PI3K/mTOR,PKC,p38,JNK,Aurora-A,RIPK1,IKK2,JAK,GSK3B,DPD
0,0,0.999999999999999,0.999999999999999,0.999999999999999,0,0.999999999999999,0,0,0,0,0,0.999999999999999,0
1,0,0,1,1,0,1,0,0,0,0,0,1,0
1,0.939523780689373,0,1,1,0,1,0,0,0,0,0,1,0
0.999999999999999,0.999999999999999,0,0,0.999999999999999,0.999090958836764,0.999999999999999,0.999999999999999,0.999999999999999,0,0.999999999999999,0,0.870685996128534,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,0,0,1,1,1,0,1,0,1,0
1,0,1,1,1,0.994252173102419,0,1,1,0,1,0.275284713789316,0.706866043997895,0
1,0,1,0.879809228838308,1,0.120190771161692,0,0,1,1,1,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,1,1,1,1,1,0,1,0,1,0
1,0,0,1,1,1,1,1,1,1,0,1,1,0
0.999999999999999,0,0.999999999999999,0.992559381590508,0.999999999999999,0.00744061840949176,0.999999999999999,0,0.999999999999999,0.999999999999999,0.999999999999999,0,0.999999999999999,0
1,0,0,1,1,1,1,0.750783809378663,1,1,1,0.248843145105056,0,0
1,0,0,1,1,1,1,1,1,1,1,0,1,0
