TGFBR1,EGFR,VGFR/PDGFR/FGFR,MEK/ERK,PI3K/mTOR,PKC,p38,JNK,Aurora-A,RIPK1,IKK2,JAK,GSK3B,DPD
0,1,0,1,1,0,0.891482114064559,0,0,0,0,0,1,0
1,0,0,1,1,0,0.873331274355663,0,0,0,0,0,1,0
0.953325222500357,0,0,1,1,0,1,0,0,0,0,0,1,0
0.999999999999999,0.999999999999999,0.290421219219677,0,0.999999999999999,0.999999999999999,0.999999999999999,0.999999999999999,0.999999999999999,0,0.999999999999999,0.709578780780322,0.999999999999999,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,1,1,1,0,1,1,0,1,1,1,0
1,0,0.985772305725592,1,1,1,1,0,1,1,1,0.0142276942744082,1,0
0,0,0,0.999999999999999,0.999999999999999,0.999999999999999,0.999999999999999,0.999999999999999,0,0.999999999999999,0.999999999999999,0.999999999999999,0.999999999999999,0
1,0,0,1,1,1,1,1,1,0,1,1,1,0
1,0,0,1,1,1,1,1,1,1,0,1,1,0
1,0,1,1,1,1,0,1,1,1,1,0,1,0
1,0,0,1,1,1,1,1,1,1,1,1,0,0
1,0,0,1,1,1,1,1,1,1,1,1,1,0
