TGFBR1,EGFR,VGFR/PDGFR/FGFR,MEK/ERK,PI3K/mTOR,PKC,p38,JNK,Aurora-A,RIPK1,IKK2,JAK,GSK3B,DPD
0,0,8.88178419700125e-16,8.88178419700125e-16,8.88178419700125e-16,0,8.88178419700125e-16,0,0,0,0,0,8.88178419700125e-16,0
1.33226762955019e-15,0,0,1.33226762955019e-15,1.33226762955019e-15,0,1.33226762955019e-15,0,0,0,0,0,1.33226762955019e-15,0
8.88178419700126e-16,0.238367040944257,0,8.88178419700126e-16,8.88178419700126e-16,0,8.88178419700126e-16,0,0,0,0,0,8.88178419700126e-16,0
5.55111512312579e-16,5.55111512312579e-16,0,0,5.55111512312579e-16,0.0301366024528131,5.55111512312579e-16,5.55111512312579e-16,5.55111512312579e-16,0,5.55111512312579e-16,0,0.335547153577848,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.22044604925031e-16,0,2.22044604925031e-16,2.22044604925031e-16,0,0,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,0,2.22044604925031e-16,0,2.22044604925031e-16,0
4.44089209850063e-16,0,4.44089209850063e-16,4.44089209850063e-16,4.44089209850063e-16,0.0755962259873903,0,4.44089209850063e-16,4.44089209850063e-16,0,4.44089209850063e-16,0.446657631909777,0.455199340773536,0
2.22044604925031e-16,0,2.22044604925031e-16,0.325184485622007,2.22044604925031e-16,0.325184485622007,0,0,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.66133814775094e-16,0,0,6.66133814775094e-16,6.66133814775094e-16,6.66133814775094e-16,6.66133814775094e-16,6.66133814775094e-16,6.66133814775094e-16,0,6.66133814775094e-16,0,6.66133814775094e-16,0
4.44089209850063e-16,0,0,4.44089209850063e-16,4.44089209850063e-16,4.44089209850063e-16,4.44089209850063e-16,4.44089209850063e-16,4.44089209850063e-16,4.44089209850063e-16,0,4.44089209850063e-16,4.44089209850063e-16,0
5.55111512312578e-16,0,5.55111512312578e-16,0.0859375098962967,5.55111512312578e-16,0.0859375098962967,5.55111512312578e-16,0,5.55111512312578e-16,5.55111512312578e-16,5.55111512312578e-16,0,5.55111512312578e-16,0
0,0,0,0,0,0,0,0.432559222481184,0,0,0,0.432342727751121,0,0
2.22044604925031e-16,0,0,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,2.22044604925031e-16,0,2.22044604925031e-16,0
