TGFBR1,EGFR,VGFR/PDGFR/FGFR,MEK/ERK,PI3K/mTOR,PKC,p38,JNK,Aurora-A,RIPK1,IKK2,JAK,GSK3B,DPD
0,2.22044604925031e-16,0,2.22044604925031e-16,2.22044604925031e-16,0,0.311033365360605,0,0,0,0,0,2.22044604925031e-16,0
4.44089209850063e-16,0,0,4.44089209850063e-16,4.44089209850063e-16,0,0.332601502684485,0,0,0,0,0,4.44089209850063e-16,0
0.210941325123842,0,0,8.88178419700126e-16,8.88178419700126e-16,0,8.88178419700126e-16,0,0,0,0,0,8.88178419700126e-16,0
6.66133814775094e-16,6.66133814775094e-16,0.453956754159065,0,6.66133814775094e-16,6.66133814775094e-16,6.66133814775094e-16,6.66133814775094e-16,6.66133814775094e-16,0,6.66133814775094e-16,0.453956754159065,6.66133814775094e-16,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.55431223447522e-15,0,1.55431223447522e-15,1.55431223447522e-15,1.55431223447522e-15,1.55431223447522e-15,0,1.55431223447522e-15,1.55431223447522e-15,0,1.55431223447522e-15,1.55431223447522e-15,1.55431223447522e-15,0
3.33066907387547e-16,0,0.118428320050747,3.33066907387547e-16,3.33066907387547e-16,3.33066907387547e-16,3.33066907387547e-16,0,3.33066907387547e-16,3.33066907387547e-16,3.33066907387547e-16,0.118428320050747,3.33066907387547e-16,0
0,0,0,6.66133814775094e-16,6.66133814775094e-16,6.66133814775094e-16,6.66133814775094e-16,6.66133814775094e-16,0,6.66133814775094e-16,6.66133814775094e-16,6.66133814775094e-16,6.66133814775094e-16,0
1.11022302462516e-15,0,0,1.11022302462516e-15,1.11022302462516e-15,1.11022302462516e-15,1.11022302462516e-15,1.11022302462516e-15,1.11022302462516e-15,0,1.11022302462516e-15,1.11022302462516e-15,1.11022302462516e-15,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.88178419700126e-16,0,0,8.88178419700126e-16,8.88178419700126e-16,8.88178419700126e-16,8.88178419700126e-16,8.88178419700126e-16,8.88178419700126e-16,8.88178419700126e-16,8.88178419700126e-16,8.88178419700126e-16,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
