,TGFBR1,EGFR,VGFR/PDGFR/FGFR,MEK/ERK,PI3K/mTOR,PKC,p38,JNK,Aurora-A,RIPK1,IKK2,JAK,GSK3B,DPD
TGFBR1,1.0287857624201482,0.0011988758765248595,0.864604837974262,1.9793183392284686,0.01387579655157897,-0.007125830479357708,0.34756425439453226,-0.00779271247991142,0.045002035374969454,-0.002779779126295647,0.012364715225924475,-0.003883324899325828,-0.014783539956924954,-1.9511823141722855e-16
EGFR,0.5160870585112676,1.0009048086409322,0.6525295434741887,1.4938196451837225,0.5877583019635686,-0.0053779654072536685,0.262311676140265,-0.005881270718836278,0.03396367485918725,-0.002097938762973675,0.009331826086544556,-0.002930800421677105,-0.5633845231991438,-1.472584987709326e-16
VGFR/PDGFR/FGFR,0.04083680157678345,-0.002930537223200921,2.11560283932807,2.5539218174524403,0.021223693253110496,-0.00919448558021903,0.4484634506093597,-0.010054965906766371,0.058066293681036156,-0.0035867593492376944,0.015954238060757873,-0.005010668566083423,-0.03521679092548845,-2.5176177996382146e-16
MEK/ERK,0.03425453867684772,0.0014266406941653954,1.0288641805036631,2.3553531643629224,0.016511947910590845,-0.008479609891762647,0.41359520102597697,-0.009273187457902479,0.05355161134136878,-0.003307887079903777,0.014713788356641899,-0.004621086668373784,-0.017592146209084177,-2.3218718014435513e-16
PI3K/mTOR,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PKC,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p38,0.07730141346174654,0.0007222413604183975,0.5272783493458412,1.2036139198729796,0.01640258240937802,-0.005802119723639829,1.2163495862844822,-0.0015461754231872338,0.0643120968735429,0.0005025318676101554,0.03612490732803605,-0.00047109333153821784,-0.00980439336933383,-1.3749837011189047e-16
JNK,0.007606382503777802,-0.003390672264280602,0.841158808199705,0.1466209252578648,-0.742665153061045,-0.10100203913814754,0.18841605669955053,1.2334261570553169,0.5986384521920296,-1.1784582247167013,-1.0549194500419796,-0.022509340883283973,0.6730462857502075,-1.7991449275505515e-17
Aurora-A,0.010764217467740821,0.00011967175321155357,0.5121209861846925,0.9418822568725235,0.4316120291193257,-0.08102201922460091,0.44340122083006095,0.14139556566220401,1.8685839404018352,0.13282560476457342,1.5856073953983516,0.0359319453061089,-0.09087651397967242,-9.577952774580987e-17
RIPK1,0.22411575561829136,0.0017703134096920838,0.8249966460463569,2.1331687109413826,-0.10163235558104985,-0.13740372728591407,0.4408120542085921,-0.20021309669353357,-0.9180754934332297,2.3607540946120897,2.9332228285050976,0.0587404352999029,-0.36066129960901483,-2.266557138715427e-16
IKK2,0.0067972393574103375,-0.0017794076026755939,0.12692061241000693,-0.4728120757479968,0.35512508530167347,0.18056872399941348,-0.25988307103133396,0.5062412160026272,1.0102934917454436,0.44934325382676105,2.529103828338493,0.05774750759755508,0.010096414230683156,4.025205166242087e-17
JAK,-0.8271727872203005,-0.0033855734391689523,-0.8335525544111884,-2.7787058069044233,-0.4506432641397477,0.07748873411635566,-0.9486584604269198,0.2569448714360792,-0.008048807023090947,-0.40039522230026386,-2.461183909498734,0.9514935154844669,0.7236332452761488,2.9462045908763026e-16
GSK3B,0.0,0.0,-8.194555235418145e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
DPD,0.07704738644455288,2.909095613502853e-05,0.8006077290940768,1.4107817529661288,-1.1475753015003083,-0.4967780575305213,-0.8656723548358906,0.28183505241637563,-0.33543415168605145,0.7998887568616739,0.5479068164641263,0.0016662228751736083,-1.9113696105120135,0.9999999999999998
