,TGFBR1,EGFR,VGFR/PDGFR/FGFR,MEK/ERK,PI3K/mTOR,PKC,p38,JNK,Aurora-A,RIPK1,IKK2,JAK,GSK3B,DPD
TGFBR1,1.595960303992678,0.030628525890975675,0.027044880014363882,1.5540689944244817,-1.6075016962040618,0.2701133070433242,1.1511433391104458,0.177410900465909,-0.09110238702366343,0.040644420389132276,0.7710077813599839,-0.16793060352580422,0.6828665756068502,-4.8427816549511236e-17
EGFR,0.10918388820957797,1.024506815640035,0.08177294401662209,0.9845447167381978,-0.3311672463184638,0.04056672767382863,0.41056853618671785,0.1149611662173621,-0.09485035482200353,0.07029043778297693,0.3740217340635107,-0.08426845756105787,0.08690574541933946,-1.965487423979231e-17
VGFR/PDGFR/FGFR,0.576446103840445,0.14171703023259494,1.3386471118165935,1.9656764574223777,-1.6958700861491738,0.04232048902215787,1.9299548872194048,0.3558484401576942,0.22709032434345025,0.1660821251876539,0.6109523327043347,-0.16950058472115032,0.06264556565613998,-2.708406508929628e-17
MEK/ERK,0.7453821523371408,0.04014154929190339,0.04699170807249873,1.9870362255322676,-0.8019163829607571,0.15843859839168004,0.5854789906059702,0.1856870162716965,-0.32225332486368496,0.11126015399235582,0.8583477273420754,-0.18025799903239006,0.38115837688749105,-4.9745524910647925e-17
PI3K/mTOR,2.7528423836163755e-16,1.097577243467736e-17,3.539933812265311e-17,3.5972846952573185e-16,1.0,1.1391071932205694e-16,2.1832887870060912e-16,4.1925473083812616e-17,9.176141278721252e-17,-3.935457143244675e-17,1.8985119887009488e-16,1.2814955923731404e-16,3.164186647834915e-17,2.1153435201934004e-17
PKC,-0.31585810168351275,0.0025923106590173195,0.02876687737811659,0.017527777604649176,-0.14342427341990463,1.4473442856161602,0.30341974610786954,0.11429606030469139,-0.32232433662195137,0.006687453070395165,0.6459299016686857,-0.12872807041278847,0.6519816175422535,-5.717360925265856e-17
p38,0.35848399455476304,0.030867088716088554,0.24274023559546498,0.6383742109148118,-0.5300707195479376,0.06479537310260883,1.4874583892973738,0.19128401587471866,0.3494573219346268,0.04418932615148481,0.18089752506022175,-0.06846746866616595,0.1503552695434617,6.199449726200213e-18
JNK,0.13859288787024102,0.04711529579692494,0.46625698027569884,0.5621874739249426,-1.0110894573989182,-0.465159272078413,-0.0498854901410008,1.1222821932199194,1.0878396131674772,-0.10030291483743048,-0.9577937878941788,0.07519730548877346,0.37392670392936694,9.584773501018887e-17
Aurora-A,0.0,6.076067884456132e-18,-1.2152135768912265e-17,-9.721708615129812e-17,-4.860854307564906e-17,-4.860854307564906e-17,-2.430427153782453e-17,0.0,1.0,0.0,7.291281461347359e-17,-3.645640730673679e-17,-1.2152135768912265e-17,-1.387778780781444e-17
RIPK1,1.2098938968089232,0.03118812609184975,0.09222966880701933,1.303928073723077,-0.5468410568147751,0.12578895845435914,0.10905847374677471,0.5663226707757731,-1.4540279016607338,1.0868284929252396,0.21250548652122803,-0.09266665701336209,0.14001604698333617,4.6037105746132805e-17
IKK2,-0.35876924772002344,0.024605349605439673,0.14678813524251524,0.7099869474314129,-0.42619073121385054,1.1110245589219296,1.3255309035493688,0.0736369076365117,-0.16362999187713728,0.37516463895792235,2.293041730369147,-0.4443543641169928,0.3294294860346905,-1.6426497851989312e-16
JAK,2.9705793659811843,-0.011556930561911554,-0.26673063459111873,0.5181176660005918,0.0767075135306767,-1.8273552900204661,-0.8510628357412459,-0.2655294651729179,0.8832957455932393,-1.3902430085559854,-2.960560276531419,1.580181131133835,-0.2925843533945298,2.300598963773657e-16
GSK3B,-0.12604658985697806,0.007798816914730727,0.016426794757072757,0.35462846031169004,-0.23773465309117783,0.4699605426434156,0.4313601530849682,-0.05385920934196584,-0.19849783219952782,-0.13865713271668262,0.6038782175774489,-0.10213466887432683,1.2428583674848785,-6.363717451001661e-17
DPD,0.9844229435152033,0.07802274313045632,0.3322873163900323,2.8247396108208402,-2.3465535323862747,1.2328969320960572,1.7915488579015408,0.7890926995184712,-1.3269845964863822,1.0423970841924977,2.606620218397406,-0.5744909775969204,0.416422258405192,0.9999999999999999
