,TGFBR1,EGFR,VGFR/PDGFR/FGFR,MEK/ERK,PI3K/mTOR,PKC,p38,JNK,Aurora-A,RIPK1,IKK2,JAK,GSK3B,DPD
TGFBR1,-1,0,0,0.84 ± 0.35,0,0,0,0,0,0,0,0,0,0
EGFR,0.49 ± 0.57,-1,0,0.22 ± 0.57,0.58 ± 0.57,0,0,0,0,0,0,0,-0.55 ± 0.57,0
VGFR/PDGFR/FGFR,0.01 ± 0.06,-0.00 ± 0.05,-1,1.08 ± 0.38,0.01 ± 0.06,0,0,0,0,0,0,0,-0.02 ± 0.10,0
MEK/ERK,0,0.00 ± 0.10,0.44 ± 0.83,-1,-0.00 ± 0.06,0.00 ± 0.04,0.17 ± 0.64,-0.00 ± 0.02,0.02 ± 0.17,0,-0.01 ± 0.16,-0.00 ± 0.14,0.00 ± 0.25,0
PI3K/mTOR,0,0,0,0,-1,0,0,0,0,0,0,0,0,0
PKC,0,0,0,0,0,-1,0,0,0,0,0,0,0,0
p38,0.06 ± 0.25,0,-0.00 ± 0.09,0.45 ± 0.73,0,0,-1,0,0.02 ± 0.13,0,0,0.00 ± 0.03,0,0
JNK,0.09 ± 0.75,0,0.63 ± 0.92,-0.24 ± 0.93,-0.86 ± 0.90,-0.23 ± 0.91,0.29 ± 0.92,-1,-0.13 ± 0.92,-0.55 ± 0.93,0.29 ± 0.92,0,0.48 ± 0.94,0
Aurora-A,0,0,0,0.51 ± 0.88,-0.04 ± 0.88,-0.26 ± 0.80,0.46 ± 0.87,-0.22 ± 0.81,-1,-0.20 ± 0.87,0.76 ± 0.90,0.00 ± 0.05,-0.01 ± 0.37,0
RIPK1,0.12 ± 0.87,0,0,1.25 ± 1.01,-0.69 ± 1.00,-0.58 ± 1.00,0.80 ± 1.01,-0.68 ± 1.01,-1.22 ± 1.02,-1,1.62 ± 1.01,0.00 ± 0.01,-0.00 ± 0.27,0
IKK2,-0.01 ± 0.71,0,0,-0.54 ± 0.80,0.44 ± 0.78,0.31 ± 0.79,-0.42 ± 0.78,0.39 ± 0.78,0.62 ± 0.78,0.35 ± 0.82,-1,0.02 ± 0.50,-0.10 ± 0.50,0
JAK,-0.80 ± 0.60,0,0.24 ± 0.61,-1.59 ± 0.60,0.60 ± 0.61,0.70 ± 0.61,-1.34 ± 0.61,0.98 ± 0.61,1.18 ± 0.60,0.64 ± 0.60,-2.01 ± 0.61,-1,0.37 ± 0.61,0
GSK3B,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
DPD,0.01 ± 0.57,0,0,0.41 ± 0.88,-0.61 ± 0.88,-0.22 ± 0.88,-1.43 ± 0.89,0.54 ± 0.87,0.33 ± 0.89,0.69 ± 0.88,-0.56 ± 0.88,-0.01 ± 0.07,-1.99 ± 0.88,-1
