,TGFBR1,EGFR,VGFR/PDGFR/FGFR,MEK/ERK,PI3K/mTOR,PKC,p38,JNK,Aurora-A,RIPK1,IKK2,JAK,GSK3B,DPD
TGFBR1,-1,0,-0.11 ± 0.46,0.66 ± 0.46,-0.90 ± 0.46,0,0.58 ± 0.46,0,0,0,0,0,0.28 ± 0.45,0
EGFR,-0.29 ± 0.47,-1,0,0.64 ± 0.46,-0.15 ± 0.47,0,0.24 ± 0.47,0,0,0,0,0,0.00 ± 0.47,0
VGFR/PDGFR/FGFR,-0.33 ± 0.47,0.08 ± 0.47,-1,0.84 ± 0.47,-0.91 ± 0.48,0,1.26 ± 0.47,0,0,0,0,0,-0.18 ± 0.47,0
MEK/ERK,0.55 ± 1.06,0.02 ± 1.06,0,-1,0.18 ± 1.07,-0.18 ± 1.08,-0.27 ± 1.06,0.12 ± 1.07,-0.31 ± 1.06,0,0.31 ± 1.07,0,0.01 ± 1.04,0
PI3K/mTOR,0,0,0,0,-1,0,0,0,0,0,0,0,0,0
PKC,-0.01 ± 0.95,0,-0.06 ± 0.97,-0.15 ± 0.95,0,-1,-0.06 ± 0.95,0.16 ± 0.98,-0.37 ± 0.97,0,0.30 ± 0.97,0,0.45 ± 0.96,0
p38,0.18 ± 1.03,0,0.15 ± 1.02,0.03 ± 1.01,0.10 ± 1.03,0.04 ± 1.03,-1,0.08 ± 1.02,0.26 ± 1.02,0,-0.01 ± 1.03,-0.01 ± 0.42,-0.04 ± 0.90,0
JNK,-0.15 ± 1.06,0,0.40 ± 1.06,0.20 ± 1.04,-0.61 ± 1.07,0.01 ± 0.20,0,-1,1.17 ± 1.05,0.05 ± 1.07,-0.80 ± 1.07,-0.09 ± 1.07,0.49 ± 1.09,0
Aurora-A,0,0,0,0,0,0,0,0,-1,0,0,0,0,0
RIPK1,0.76 ± 0.86,0,0,0.19 ± 0.85,0.87 ± 0.87,0.21 ± 0.86,-0.51 ± 0.87,0.39 ± 0.88,-1.60 ± 0.86,-1,0.05 ± 0.86,0,-0.54 ± 0.86,0
IKK2,-0.09 ± 0.60,0,0,0.32 ± 0.61,-0.09 ± 0.60,0.45 ± 0.61,0.66 ± 0.60,-0.19 ± 0.61,0.23 ± 0.61,0.02 ± 0.60,-1,-0.18 ± 0.61,-0.09 ± 0.60,0
JAK,2.19 ± 0.82,0,0.12 ± 0.82,-0.07 ± 0.82,2.05 ± 0.81,-0.00 ± 0.04,-0.59 ± 0.82,0,-0.46 ± 0.82,-0.87 ± 0.82,-1.70 ± 0.82,-1,-0.81 ± 0.81,0
GSK3B,-0.01 ± 1.01,0,0,0.25 ± 1.00,-0.07 ± 1.02,0.22 ± 1.04,0.06 ± 1.02,-0.03 ± 0.95,-0.30 ± 1.02,-0.19 ± 1.04,0.12 ± 1.03,0.01 ± 0.37,-1,0
DPD,0.09 ± 0.97,0,0,0.65 ± 0.98,-0.80 ± 0.97,0.18 ± 0.98,0.08 ± 0.97,0.20 ± 0.99,-0.45 ± 0.99,0.53 ± 0.99,0.94 ± 1.00,0,-0.39 ± 0.98,-1
