,TGFBR1,EGFR,VGFR/PDGFR/FGFR,MEK/ERK,PI3K/mTOR,PKC,p38,JNK,Aurora-A,RIPK1,IKK2,JAK,GSK3B,DPD
TGFBR1,-1,-0.03 ± 0.66,0,0.51 ± 0.65,0.05 ± 0.64,0,-0.19 ± 0.64,0,0,0,0,0,0.63 ± 0.65,0
EGFR,-0.36 ± 0.44,-1,0,0.66 ± 0.44,0.51 ± 0.45,0,0.14 ± 0.44,0,0,0,0,0,-0.43 ± 0.45,0
VGFR/PDGFR/FGFR,0.21 ± 0.44,0,-1,0.70 ± 0.43,-0.71 ± 0.44,0,0.60 ± 0.43,0,0,0,0,0,-0.60 ± 0.43,0
MEK/ERK,0.55 ± 1.02,0.42 ± 1.01,0.02 ± 0.42,-1,-0.02 ± 1.04,-0.19 ± 1.00,0.34 ± 1.03,-0.31 ± 1.03,-0.16 ± 1.03,0,-0.03 ± 1.04,0.09 ± 0.92,0.31 ± 1.02,0
PI3K/mTOR,0,0,0,0,-1,0,0,0,0,0,0,0,0,0
PKC,0,0,0,0,0,-1,0,0,0,0,0,0,0,0
p38,-0.16 ± 0.64,0,-0.09 ± 0.64,0.71 ± 0.63,0.47 ± 0.63,-0.11 ± 0.64,-1,0.33 ± 0.64,-0.36 ± 0.64,0,0.21 ± 0.63,0.07 ± 0.64,-0.25 ± 0.63,0
JNK,0.30 ± 1.08,0,0.28 ± 1.08,0.25 ± 1.09,-0.77 ± 1.10,-1.22 ± 1.09,0.41 ± 1.09,-1,0.40 ± 1.10,-0.60 ± 1.08,-0.32 ± 1.10,-0.00 ± 0.05,1.17 ± 1.09,0
Aurora-A,0,0,0,0.16 ± 0.61,0.02 ± 0.61,0.52 ± 0.62,-0.44 ± 0.62,0.30 ± 0.61,-1,0.02 ± 0.61,0.29 ± 0.62,-0.01 ± 0.61,-0.36 ± 0.61,0
RIPK1,-0.22 ± 0.60,0,0,1.40 ± 0.60,-0.22 ± 0.60,-0.12 ± 0.60,-0.07 ± 0.60,0.21 ± 0.60,-0.41 ± 0.61,-1,0.27 ± 0.61,0.25 ± 0.61,-0.26 ± 0.60,0
IKK2,0.23 ± 0.57,0,0,-0.52 ± 0.59,-0.84 ± 0.59,0.24 ± 0.59,-0.31 ± 0.59,0.32 ± 0.59,0.64 ± 0.57,0.03 ± 0.59,-1,-0.26 ± 0.57,0.72 ± 0.58,0
JAK,1.62 ± 0.77,0,-0.26 ± 0.77,-2.73 ± 0.79,-2.40 ± 0.78,1.33 ± 0.78,0,-0.63 ± 0.78,0.94 ± 0.77,1.79 ± 0.79,-0.14 ± 0.78,-1,0.16 ± 0.76,0
GSK3B,-0.14 ± 0.62,0,0,0.29 ± 0.63,0.12 ± 0.63,0.27 ± 0.63,0.15 ± 0.63,-0.02 ± 0.63,0.36 ± 0.63,-0.09 ± 0.63,-0.17 ± 0.63,-0.02 ± 0.63,-1,0
DPD,-0.39 ± 0.58,0,0,-1.44 ± 0.58,0.03 ± 0.58,0.81 ± 0.58,-0.47 ± 0.59,0.37 ± 0.59,0.63 ± 0.59,2.80 ± 0.58,0.25 ± 0.59,0.14 ± 0.58,-2.42 ± 0.59,-1
