TGFBR1,EGFR,VGFR/PDGFR/FGFR,MEK/ERK,PI3K/mTOR,PKC,p38,JNK,Aurora-A,RIPK1,IKK2,JAK,GSK3B,DPD
0,0.999999999999999,0.999999999999999,0.999999999999999,0.999999999999999,0,0.940422537340739,0,0,0,0,0,0.182831656039167,0
0,0,0,1,0.21243818520123,0,0.21243818520123,0,0,0,0,0,0,0
1,1,0,1,1,0,0.936126405046234,0,0,0,0,0,0.791929651995754,0
0,1,1,0,1,1,1,1,1,0,0.987187223252018,1,1,0
0,1,0.988035590458611,1,0,0,0.999188890186451,1,1,0,0.186389663321887,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.999999999999999,0,0.999999999999999,0.999999999999999,0.999999999999999,0.999999999999999,0,0.999999999999999,0.999999999999999,0,0.998183648532249,0.999999999999999,0.999999999999999,0
1,0,1,1,1,1,1,0,1,1,0.995585583922451,1,1,0
0,0,0,0.999999999999999,0.999999999999999,0.999999999999999,0.999999999999999,0.999999999999999,0,0.999999999999999,0,0.999999999999999,0.999999999999999,0
1,0,0,1,0.999800544320616,1,1,1,1,0,0.0877513688582009,1,1,0
1,0,0,1,1,1,1,1,1,1,0,1,1,0
1,0,1,1,1,1,1,1,1,1,1,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.901136410347335,0,0,0.999999999999999,0.999999999999999,0.999999999999999,0.999999999999999,0.999999999999999,0.999999999999999,0.788381273873878,0,0.999999999999999,0.999999999999999,0
