TGFBR1,EGFR,VGFR/PDGFR/FGFR,MEK/ERK,PI3K/mTOR,PKC,p38,JNK,Aurora-A,RIPK1,IKK2,JAK,GSK3B,DPD
0,0,0,0.0173965196548745,0.876783088086305,0,0.999999999999999,0,0,0,0,0,0.999999999999999,0
0.0568160804656166,0,0,0.147033342075653,0.0131741860783241,0,1,0,0,0,0,0,1,0
0,0,0,0,0,0,0.184564306822551,0,0,0,0,0,0.184564306822551,0
0.0532989987026991,0.906095163664116,0.0400683198609386,0,0.0108193028231091,0.0562147023178114,0.278846266328621,0.0583455366052348,0.00131147999053967,0,0.00410656398113817,0.000326820171790505,0.266787361545399,0
0.997793719365689,0.998790196195479,1,0.998792555517471,0,0,1,1,0.784881513676348,0,1,0,1,0
0.73070996112666,0,0.0272526834245414,0.00177503717458234,0,0,0.371668885941792,0.0127798043017012,0.00140909021498669,0,0.00930932564053382,0,0.370779911447835,0
0.0105104457818863,0,0,0,0,0,0,0.11369731793346,0,0,0,0,1,0
0.999999999999999,0,0.999999999999999,0.999999999999999,0.999999999999999,0.999999999999999,0.999999999999999,0,0,0.999999999999999,0.999999999999999,0.999999999999999,0.999999999999999,0
0,0,0,0.788721934591554,0.784952774618935,0.783766941149761,1,0.85868794429538,0,1,0.00237250086051756,0.783766941149761,1,0
1,0,0,1,1,1,1,1,0,0,0.533735623348982,1,1,0
1,0,0,1,1,1,1,1,0,1,0,1,1,0
1,0,1,1,1,1,1,1,0,1,1,0,1,0
0.0242256714529417,0,0,0,0,0,0.999999999999999,0.134316488959806,0,0,0,0,0,0
0.999999999999999,0,0,0.999999999999999,0.999999999999999,0.999999999999999,0.999999999999999,0.999999999999999,0.999999999999999,0.999999999999999,0.999999999999999,0.999999999999999,0.999999999999999,0
