TGFBR1,EGFR,VGFR/PDGFR/FGFR,MEK/ERK,PI3K/mTOR,PKC,p38,JNK,Aurora-A,RIPK1,IKK2,JAK,GSK3B,DPD
0,0,0,0.0100377975615251,0,0,0.999999999999999,0,0,0,0,0,0.0100377975615251,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.819713427717795,0.87386843478944,0.00694323237992124,0,0.948020647065063,0.819513592594201,0.838366388748501,0.833666731425923,0.819713427717795,0,0.819713427717795,0.625090777544149,0.847719018685936,0
0.274147720336723,0.350511178682924,0,0.551311612149229,0,0,0.41356371125458,0.352621631729845,0.274147720336723,0,0.996500341565387,0.394632899149333,0.41356371125458,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.149832113877348,0,0.00017975447515116,0.517330911122013,0.0101863446236309,0.000179756909106028,0,0.0485934193303551,0,0,0.00289298410055655,0,1,0
0.410963334552414,0,0.0840859423895945,0.167050225217886,0.127133133779505,0.212133078223831,0.582079439265787,0,0.126948035348357,0.0838990969686209,0.127133133779505,0.0838990969686209,0.167050225217886,0
0,0,0,0.999999999999999,0.999999999999999,0.999999999999999,0.999999999999999,0.995985407457759,0,0.999999999999999,0.999999999999999,0,0.999999999999999,0
1,0,0,1,1,1,1,0.584275234658386,1,0,1,0,1,0
1,0,0,1,1,1,1,1,1,0,0,1,1,0
0.999999999999999,0,0.999999999999999,0.999999999999999,0.999999999999999,0.999999999999999,0.999999999999999,0.999999999999999,0.908711697649159,0.999999999999999,0.999999999999999,0,0.999999999999999,0
0,0,0,0.378032578657528,0,0,1,0.068879188989798,0,0,0,0,0,0
0.771663722524454,0,0,0.859985565247683,0.999999999999998,0.999999999999998,0.877398726599984,0.783336186455365,0,0.628173052454721,0.797590455132965,0.859786326451723,0.916593929682837,0
