TGFBR1,EGFR,VGFR/PDGFR/FGFR,MEK/ERK,PI3K/mTOR,PKC,p38,JNK,Aurora-A,RIPK1,IKK2,JAK,GSK3B,DPD
0,1.4432899320127e-15,1.4432899320127e-15,1.4432899320127e-15,1.4432899320127e-15,0,0.236702320652638,0,0,0,0,0,0.386528448615549,0
0,0,0,2.22044604925031e-16,0.409033253745509,0,0.409033253745509,0,0,0,0,0,0,0
0,0,0,0,0,0,0.244527623841251,0,0,0,0,0,0.405927429826611,0
0,0,0,0,0,0,0,0,0,0,0.112466037095597,0,0,0
0,0,0.10872562920358,0,0,0,0.0284684371615267,0,0,0,0.38942079647682,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.88178419700125e-16,0,8.88178419700125e-16,8.88178419700125e-16,8.88178419700125e-16,8.88178419700125e-16,0,8.88178419700125e-16,8.88178419700125e-16,0,0.0425799522674207,8.88178419700125e-16,8.88178419700125e-16,0
0,0,0,0,0,0,0,0,0,0,0.066294260748897,0,0,0
0,0,0,1.33226762955019e-15,1.33226762955019e-15,1.33226762955019e-15,1.33226762955019e-15,1.33226762955019e-15,0,1.33226762955019e-15,0,1.33226762955019e-15,1.33226762955019e-15,0
4.44089209850063e-16,0,0,4.44089209850063e-16,0.0141214693575609,4.44089209850063e-16,4.44089209850063e-16,4.44089209850063e-16,4.44089209850063e-16,0,0.282932971075682,4.44089209850063e-16,4.44089209850063e-16,0
4.44089209850063e-16,0,0,4.44089209850063e-16,4.44089209850063e-16,4.44089209850063e-16,4.44089209850063e-16,4.44089209850063e-16,4.44089209850063e-16,4.44089209850063e-16,0,4.44089209850063e-16,4.44089209850063e-16,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.298478776956845,0,0,5.55111512312578e-16,5.55111512312578e-16,5.55111512312578e-16,5.55111512312578e-16,5.55111512312578e-16,5.55111512312578e-16,0.40845592281038,0,5.55111512312578e-16,5.55111512312578e-16,0
