,TGFBR1,EGFR,VGFR/PDGFR/FGFR,MEK/ERK,PI3K/mTOR,PKC,p38,JNK,Aurora-A,RIPK1,IKK2,JAK,GSK3B,DPD
TGFBR1,1.5836470412498231,-0.4905236010825767,1.1155887008291363,0.4593712379432562,0.08376533393894567,0.005335144445763824,-0.09405859133252592,-0.15996290641715188,0.10968656184397445,0.12083029261810543,0.03417267801144743,0.04927083708862154,-0.12826431606610192,-0.0
EGFR,0.4022653699279848,1.436647150457758,0.6025522561146172,1.93844842740324,0.14778909659333525,0.3144681047485331,0.29294914593583604,-0.603629031124031,0.3350807471793722,0.40488142638323615,0.054655748037464695,0.11473208482101599,0.17145662998941533,0.0
VGFR/PDGFR/FGFR,0.8551941079230012,0.14536618085627007,1.9077219055464885,0.5844138300099109,-0.5588867159288633,-0.06732554799418616,0.019655476309234865,-0.06459064677478765,0.005751693640286493,0.027237401611620304,0.02537198810914936,0.22536374594937333,-0.0466809778863885,0.0
MEK/ERK,0.4534798908806979,0.485261963603465,0.7099101207337215,2.199302648365169,0.08935754596916065,0.34723324286299745,0.3470629943573285,-0.668584162143766,0.3646534322528748,0.4446531900106585,0.06010138303466217,0.14969597070326598,0.2183346641252326,-0.0
PI3K/mTOR,0.09580964061054834,0.18094021702229032,-0.40927330887266744,0.18803209499482043,1.2724212721175068,0.31295724667183183,0.05742029698061646,-0.3083225242171964,0.24637901393744738,0.2486075635644004,0.001575032453357524,-0.36128526842350556,-0.33717823780386125,0.0
PKC,-1.3789397810112466e-16,-5.2787538491836785e-17,4.309186815660146e-17,-3.4473494525281166e-17,-5.171024178792175e-17,0.9999999999999999,-6.894698905056233e-17,-4.309186815660146e-18,-1.0772967039150364e-16,-9.48021099445232e-17,4.309186815660146e-17,2.154593407830073e-17,-1.7236747262640583e-17,-0.0
p38,0.1529985736988067,0.013843103316966216,0.2038343905770051,0.6609648056185856,-0.384594669219716,0.47086285843944586,1.0374621851460226,-0.07779259774651272,-0.0863049064065117,-0.03087439874695029,-0.10306853822313783,-0.042299060690546925,0.28301809408587025,0.0
JNK,0.4408266217149072,-0.17760555971662909,0.712775650683432,-0.2995272176614868,-0.34055765113413045,0.5192112805709849,0.11252587693368417,1.583611849018981,0.13914413121258848,-0.1281734081034391,-0.1454535264086444,0.12095832796750393,0.30845954320105906,0.0
Aurora-A,1.5936427577453314,-1.1130014649366755,0.5919275326515854,-1.5412882731066306,0.18331699328725662,2.7755662464872737,0.535803166498741,1.8694322200531241,1.593485177688804,1.0771306576669346,-0.3700577229350639,-1.1117341518354378,1.2089095508272978,0.0
RIPK1,1.3843583471442962,0.3002888294962689,1.1528832584842452,2.5822115646435133,0.7051140654476286,-0.15018901574433463,0.17277062211375288,-1.1052350262662427,1.0183473823379305,2.0876312739860556,0.10439506862565111,0.08295343128368958,-0.1795261340953605,0.0
IKK2,2.087304377346406,-0.32560010724070443,2.4497343119355617,-0.03163198333506354,0.3903025531883328,0.5854394676545495,-0.017120570287768023,1.944174997357726,-0.04535428767054238,-0.6005212039155156,1.0848108233226939,2.166862035120442,-0.2963007250031869,0.0
JAK,0.08659815090026937,1.2795184496089742,1.3856351619737028,3.317440307762577,0.23610075160262836,0.2069103149124932,0.3171638469431571,-0.17586976781015856,0.41942209535973096,0.4723037279406288,0.20679286987894424,1.701448252535244,1.4539518628229855,0.0
GSK3B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
DPD,0.35610223259001444,-0.1309620058422198,0.7504038371368229,0.4609853109241477,-1.0129566111413535,-0.1708305344131806,-0.1294044985253353,0.38711873109985356,-0.2923044384955813,-0.40554790190955603,-0.01987810912029662,0.07596435288316881,-0.0952799754039367,1.0
