,TGFBR1,EGFR,VGFR/PDGFR/FGFR,MEK/ERK,PI3K/mTOR,PKC,p38,JNK,Aurora-A,RIPK1,IKK2,JAK,GSK3B,DPD
TGFBR1,1.221375658001443,0.2708167906830782,-0.18320734287841045,0.3470368593843,0.3982740993033946,0.16150482772406752,3.2270979351827958,0.3546606240305456,-0.0009317523530568107,0.1707518028445383,-0.08095007531403862,0.11624926265523976,3.170570122943532,0.0
EGFR,0.037605733996815174,1.0424564468821254,-0.025477614680344728,0.0981316854812811,0.0004852394094559263,0.012559807029636669,1.3472297305796097,0.07603385355910389,-8.20305168058635e-06,0.03630222307686141,0.0008118185057794042,0.0083962125663417,0.8875898785017652,0.0
VGFR/PDGFR/FGFR,0.002696588963461327,0.0024794097371196944,0.9969268676162236,0.006440733519121166,-0.0009775508678777226,0.001287225568637068,0.21821187820984594,0.009612611100951015,1.7417343593082425e-06,0.004585792848455894,0.0003256495811793654,0.0008585260889751247,0.07653037379373706,0.0
MEK/ERK,0.029968793108005744,0.45626540824447914,-0.01478039329718712,1.05720798285182,0.0015037461356968388,0.01397308525983317,0.7955142060242089,0.053437013414918015,-7.709844129490058e-05,0.025518523305059517,0.00020863095179282577,0.00624464323702245,0.542481991158213,-0.0
PI3K/mTOR,0.3293267548857307,0.46355369797815654,-0.2342213965300458,0.41998634877653107,0.9282969420863316,0.2843585288610074,-1.0322555659571346,0.2530186198497037,-0.0021425993051249702,0.124125871067897,-0.1956266505488567,0.20836438558698886,-1.0216864089053173,0.0
PKC,0.38539666705551895,0.093442544506886,-0.07400519111043663,0.13347625998687723,0.11796038932433685,1.0543731806996852,1.6145005168779427,0.15059392644811861,-0.00030152352076023923,0.07228360119579313,-0.022782530787765577,0.03880055884990439,1.5263241253366884,0.0
p38,0.07262545171441852,0.06385781230031756,-0.07862715864791285,0.16466191884525314,-0.02344742825468842,0.03322440996206005,4.171147865885488,0.2451940270478908,4.101630751520509e-05,0.11697761132570186,0.007988141660679874,0.02218852435276926,3.32306557495098,-0.0
JNK,0.3580420466041371,0.3726602554989058,-0.4696720804604064,0.9862315788441031,-0.1726809560724307,0.19240656304137987,3.2049167551626097,1.4802484758825725,0.00031899823996230184,0.7060880166868285,0.05488727611613381,0.12789213045990924,2.953222198961195,-0.0
Aurora-A,0.6950010885059084,0.6191590822892216,-0.9810017850050446,1.1532706705332518,0.4007066711311628,0.1532749281535553,8.191941454045585,1.4321357393489922,0.9990069732287291,1.5493464994462642,-0.22124435803799208,0.928224463715331,7.413780204091664,0.0
RIPK1,1.2426570819923952,0.7180927430269489,-1.1098081420234425,1.0114503648851965,0.9267638277285588,0.09813603034217996,4.503960151286769,1.239596165161569,-0.002175827298756119,2.4152013872769382,-0.32082843127407584,1.1833548263460685,3.0575264687450536,0.0
IKK2,-0.24266508738286607,0.1275513397026578,0.019396646401981965,0.01278256915894743,0.40105408562214384,-1.2531775689593818,5.608270910322507,2.1460592196183796,-0.0008819391325905444,0.9899675841104513,1.333528490393879,-0.9635334518355936,2.162009745610283,-0.0
JAK,0.016944049108809072,0.31834516002204627,-0.8161016198104927,1.5305114200514083,-1.1223319662009703,1.1355728560686984,0.02491503114185815,-1.4292849375688266,0.0024145789478263687,1.3282034874875528,-0.3609490724638144,1.9766098739709925,-1.1633736985549314,-0.0
GSK3B,0.08068636805575395,0.06981853434921492,-0.08575565809303412,0.17953908980476344,-0.02493762884142171,0.036354610379637164,3.975376491807949,0.2671197689289786,4.329323035748876e-05,0.12744015878198262,0.008572640633232062,0.02429076564599463,4.179225059322828,0.0
DPD,0.7941627194938693,0.43043340764381516,-0.26482136700146913,0.7713206543439466,0.3216705081872607,-0.37667255542355743,6.84879441000259,1.4084990634390522,-0.31319595221438784,0.7802502757685468,0.28289410688252564,-0.19378182890720858,5.844272114172197,1.0
