,TGFBR1,EGFR,VGFR/PDGFR/FGFR,MEK/ERK,PI3K/mTOR,PKC,p38,JNK,Aurora-A,RIPK1,IKK2,JAK,GSK3B,DPD
TGFBR1,1.054522542932426,0.03419201944886179,-0.005208691128658069,0.13589685721716704,0.032481582792103524,-0.018835529346305824,1.0462355807909876,0.033195924265348425,0.007465982270430717,0.0031971870485744064,0.022972405473627357,-0.004822691207575567,0.8944032917108184,0.0
EGFR,-0.020593552662624085,1.003181248764433,-0.0009633274203662348,0.012438127022854972,0.0036106504952848734,-0.0007623156295106563,-0.7180127322797886,-0.010876521080276,0.0007528850503904364,3.1765974201861906e-05,0.0030898099159846868,-0.0006072217196351718,-1.2380539731134101,0.0
VGFR/PDGFR/FGFR,-0.0,-0.0,0.9999999999999999,1.3256464563801877e-16,-2.3751165676811697e-16,3.0379397958712636e-17,-3.3141161409504693e-17,-1.6570580704752347e-17,6.352055936821733e-17,-1.1599406493326643e-16,-3.3141161409504693e-17,-1.1116097889438032e-16,-5.633997439615798e-16,-0.0
MEK/ERK,0.2118266387514475,0.33567818569245467,-0.05690909206342257,1.3308642274753457,0.32830964056137707,-0.17723237779187975,-0.3546440122588216,0.21449508752253332,0.07380730162584068,0.02826745265704489,0.2356081926440927,-0.05009713275049164,-0.6470568044400825,-0.0
PI3K/mTOR,0.14027237297145875,0.24276814786476827,-0.3582353203269793,0.5669718959397166,1.3685211477911254,-0.01036776409455737,-0.8240245559654441,0.15203865861303145,0.04737020864914593,-0.16050839755864144,0.4596952733823679,-0.2881037190342211,-0.8095055350258172,-0.0
PKC,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p38,0.10379499063705108,0.06402136273716666,-0.009722645690504376,0.25447242179007434,0.06076654125228255,-0.035302424079655656,2.0154765848168568,0.06266470984028763,0.013976935843048766,0.006002620660480244,0.04296287381931899,-0.009014599958164716,1.7155551407953877,0.0
JNK,0.19958171733141572,0.027641433684082704,0.00257296385614353,0.10060880913695107,0.052717927704584965,-0.0929440739495269,0.5347730422982119,1.077705436032241,0.0023381180343668958,0.007599896054005185,-0.01599518083884431,-0.014205046752104315,0.5574035889682246,0.0
Aurora-A,-0.4477174947678626,0.5761391432019656,-0.11137069667415907,2.7409877430493714,-0.742702381987429,1.8332878814902367,2.2230821866456414,0.43033131560484605,1.4557443429986918,1.1241680087645565,0.9574016547241051,-0.09840898944750621,5.060315869797359,0.0
RIPK1,-1.019747775668119,0.5293197469652452,-0.5066455072713043,1.9008673868616541,1.083133603507601,0.8009618977597641,-0.3191588546448782,-0.04555705844746786,0.48218979164692977,1.1094748556393128,1.1228168124555775,-0.40489017710286374,0.5113541203232623,-0.0
IKK2,0.42433488750616605,0.3061752791643863,-0.8295930545702881,0.8366223435641701,1.3783191515861808,-0.5525669696548683,-2.482304707745762,-0.7285606535255927,0.12507523438049659,-0.3631268758456572,1.608199564569351,-0.6504363589630116,-1.8380550326987946,0.0
JAK,0.11485447104081443,0.15451759768503456,1.0757623408154222,0.43008952190352456,0.6730885679719417,-1.4962229394180988,0.2568981428165909,-1.0308605076252797,0.18403550800086654,0.7439035675518576,0.2693331526449235,0.8712369734216695,1.8775747368884137,0.0
GSK3B,0.03429697348781178,-0.005298124433377444,0.0016043475129158664,-0.020714741148822012,-0.006013259894456718,0.0012695778801742723,1.1957948221146482,0.018114006905029043,-0.0012538719780718188,-5.2903779783130765e-05,-0.0051458400843694746,0.0010112809363558,2.0618833956423384,0.0
DPD,0.11225041533924404,-0.22798020355933474,0.38362778474165926,-0.7711471456575976,-0.6025273613091281,-0.9575716127666949,-0.1444804884632587,-0.3935828556889741,-0.05040700249420214,0.08265775768185168,-0.26929450101820496,0.31219081050144815,-0.18608827477094586,1.0
