,TGFBR1,EGFR,VGFR/PDGFR/FGFR,MEK/ERK,PI3K/mTOR,PKC,p38,JNK,Aurora-A,RIPK1,IKK2,JAK,GSK3B,DPD
TGFBR1,-1,-0.66 ± 0.58,0.65 ± 0.59,0.64 ± 0.58,0.34 ± 0.59,0,-0.15 ± 0.59,0,0,0,0,0,0.03 ± 0.17,0
EGFR,0,-1,0,0.88 ± 0.28,0.05 ± 0.20,0,-0.02 ± 0.17,0,0,0,0,0,0,0
VGFR/PDGFR/FGFR,0.51 ± 0.48,0.39 ± 0.49,-1,-0.15 ± 0.48,-0.50 ± 0.50,0,0.03 ± 0.48,0,0,0,0,0,-0.19 ± 0.46,0
MEK/ERK,0,0.22 ± 0.66,0.28 ± 0.66,-1,0.01 ± 0.66,-0.07 ± 0.66,0.17 ± 0.65,-0.53 ± 0.67,0.19 ± 0.66,0,0.01 ± 0.65,0.19 ± 0.66,-0.18 ± 0.65,0
PI3K/mTOR,0,0.28 ± 0.77,-0.25 ± 0.77,0.22 ± 0.76,-1,0,-0.08 ± 0.76,-0.16 ± 0.76,0.10 ± 0.76,0,0.02 ± 0.20,-0.16 ± 0.77,-0.25 ± 0.78,0
PKC,0,0,0,0,0,-1,0,0,0,0,0,0,0,0
p38,0.25 ± 0.65,0,-0.13 ± 0.65,0.38 ± 0.65,-0.24 ± 0.64,0.66 ± 0.63,-1,0.36 ± 0.64,-0.13 ± 0.65,0,-0.10 ± 0.64,-0.08 ± 0.65,0.28 ± 0.65,0
JNK,0.30 ± 0.65,0,0.25 ± 0.64,-0.38 ± 0.65,-0.07 ± 0.65,0.02 ± 0.65,0.09 ± 0.65,-1,0.21 ± 0.66,-0.19 ± 0.65,-0.09 ± 0.65,0.31 ± 0.65,-0.37 ± 0.65,0
Aurora-A,0,0,0,-0.83 ± 0.66,0.42 ± 0.65,2.11 ± 0.65,0.65 ± 0.67,1.49 ± 0.66,-1,0.88 ± 0.66,0,-0.62 ± 0.65,1.95 ± 0.65,0
RIPK1,0.45 ± 0.79,0,0,0.94 ± 0.79,0.11 ± 0.80,-1.06 ± 0.79,-0.30 ± 0.80,-0.62 ± 0.79,0.35 ± 0.79,-1,-0.01 ± 0.12,0.25 ± 0.79,-0.81 ± 0.80,0
IKK2,1.97 ± 0.56,0,0,-2.53 ± 0.56,0.42 ± 0.56,0.22 ± 0.56,0.45 ± 0.55,0.25 ± 0.57,0.13 ± 0.56,-0.33 ± 0.56,-1,1.63 ± 0.57,-2.14 ± 0.57,0
JAK,-0.74 ± 0.61,0,0.33 ± 0.60,1.49 ± 0.61,0.32 ± 0.61,-0.11 ± 0.61,-0.27 ± 0.61,0.65 ± 0.60,-0.20 ± 0.59,0.08 ± 0.60,0.11 ± 0.60,-1,1.31 ± 0.61,0
GSK3B,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
DPD,0.17 ± 0.91,0,0,0.86 ± 0.93,-0.61 ± 0.94,0.14 ± 0.93,-0.20 ± 0.93,0.65 ± 0.93,-0.22 ± 0.94,-0.08 ± 0.80,0,-0.35 ± 0.92,0.15 ± 0.94,-1
