,TGFBR1,EGFR,VGFR/PDGFR/FGFR,MEK/ERK,PI3K/mTOR,PKC,p38,JNK,Aurora-A,RIPK1,IKK2,JAK,GSK3B,DPD
TGFBR1,-1,0,0,-0.00 ± 0.04,0.45 ± 0.60,0,0.24 ± 0.60,0,0,0,0,0,0.68 ± 0.59,0
EGFR,0.01 ± 0.08,-1,0,0.04 ± 0.18,0.00 ± 0.03,0,0.48 ± 0.59,0,0,0,0,0,-0.19 ± 0.59,0
VGFR/PDGFR/FGFR,0,0,-1,0,0,0,0.14 ± 0.34,0,0,0,0,0,-0.10 ± 0.26,0
MEK/ERK,0.01 ± 0.19,0.43 ± 0.98,0.00 ± 0.17,-1,0.00 ± 0.07,0.00 ± 0.19,0.06 ± 0.53,0.01 ± 0.20,-0.00 ± 0.02,0,-0.00 ± 0.03,0.00 ± 0.00,-0.02 ± 0.51,0
PI3K/mTOR,0.14 ± 1.01,0.30 ± 0.98,-0.04 ± 1.00,0.01 ± 1.02,-1,0,0.13 ± 1.01,0.46 ± 1.02,-0.00 ± 0.88,0,-0.15 ± 1.00,0,-0.76 ± 1.00,0
PKC,0.31 ± 0.50,0,-0.00 ± 0.08,-0.00 ± 0.01,0,-1,0.10 ± 0.42,0.00 ± 0.04,-0.00 ± 0.01,0,0.00 ± 0.04,0,0.06 ± 0.42,0
p38,0.00 ± 0.02,0,0,0,0,0,-1,0.03 ± 0.21,0,0,0,0,0.78 ± 0.67,0
JNK,-0.03 ± 0.94,0,-0.27 ± 0.93,0.94 ± 0.96,-0.67 ± 0.95,0.42 ± 0.93,-0.43 ± 0.93,-1,0,0.35 ± 0.95,0.01 ± 0.95,-0.07 ± 0.95,0.36 ± 0.94,0
Aurora-A,0,0,0,-0.49 ± 0.77,0.64 ± 0.79,-0.43 ± 0.77,0.51 ± 0.90,0.61 ± 0.81,-1,0.25 ± 0.87,0.00 ± 0.01,0.20 ± 0.73,1.19 ± 0.88,0
RIPK1,0.69 ± 0.89,0,0,-1.11 ± 0.88,1.43 ± 0.88,-0.89 ± 0.89,0.98 ± 0.91,0.72 ± 0.89,0,-1,0.07 ± 0.49,0.41 ± 0.89,-0.18 ± 0.91,0
IKK2,-0.96 ± 0.69,0,0,1.03 ± 0.71,-1.22 ± 0.71,0.13 ± 0.70,2.75 ± 0.71,0.14 ± 0.71,0,0.98 ± 0.71,-1,-0.91 ± 0.70,-2.48 ± 0.71,0
JAK,-0.75 ± 0.73,0,-0.63 ± 0.72,2.39 ± 0.73,-2.24 ± 0.72,1.50 ± 0.72,0.04 ± 0.72,-0.91 ± 0.73,0,1.10 ± 0.73,-0.31 ± 0.72,-1,-1.14 ± 0.73,0
GSK3B,0.00 ± 0.04,0,0,0,0,0,0.93 ± 0.63,0.03 ± 0.22,0,0,0,0,-1,0
DPD,0.45 ± 0.63,0,0,0.31 ± 0.64,-0.10 ± 0.64,-0.15 ± 0.65,0.24 ± 0.64,0.35 ± 0.65,-0.31 ± 0.65,0.31 ± 0.65,0.20 ± 0.65,-0.09 ± 0.64,0.81 ± 0.64,-1
