,TGFBR1,EGFR,VGFR/PDGFR/FGFR,MEK/ERK,PI3K/mTOR,PKC,p38,JNK,Aurora-A,RIPK1,IKK2,JAK,GSK3B,DPD
TGFBR1,-1,0,0,0.00 ± 0.04,0,0,0.52 ± 0.40,0,0,0,0,0,0.00 ± 0.05,0
EGFR,0,-1,0,0,0,0,0,0,0,0,0,0,-0.60 ± 0.28,0
VGFR/PDGFR/FGFR,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
MEK/ERK,0.11 ± 0.92,0.23 ± 0.92,0.00 ± 0.04,-1,0.13 ± 0.93,-0.07 ± 0.93,0.12 ± 0.93,0.27 ± 0.92,0.03 ± 0.92,0,0.08 ± 0.93,0.05 ± 0.80,-0.40 ± 0.94,0
PI3K/mTOR,-0.03 ± 0.38,0.08 ± 0.49,0,0.29 ± 0.66,-1,0,-0.09 ± 0.55,0.15 ± 0.50,0.01 ± 0.37,0,0.26 ± 0.67,-0.12 ± 0.54,0.11 ± 0.55,0
PKC,0,0,0,0,0,-1,0,0,0,0,0,0,0,0
p38,0.03 ± 0.36,0,0.00 ± 0.00,0.20 ± 0.79,-0.00 ± 0.04,0.00 ± 0.00,-1,0.00 ± 0.14,0,0,-0.00 ± 0.01,0,0.88 ± 0.81,0
JNK,0.19 ± 0.45,0,0.02 ± 0.16,0.04 ± 0.31,0.06 ± 0.31,-0.14 ± 0.45,0.06 ± 0.64,-1,-0.00 ± 0.28,0.01 ± 0.15,-0.04 ± 0.29,-0.02 ± 0.16,0.15 ± 0.45,0
Aurora-A,0,0,0,1.57 ± 0.73,-1.94 ± 0.74,1.69 ± 0.72,-0.52 ± 0.74,0.64 ± 0.73,-1,0.82 ± 0.75,0.38 ± 0.74,0,2.58 ± 0.74,0
RIPK1,-1.21 ± 0.89,0,0,0.44 ± 0.88,0.49 ± 0.91,0.58 ± 0.90,0.85 ± 0.90,-0.09 ± 0.54,0.26 ± 0.89,-1,0.33 ± 0.91,0,0.08 ± 0.91,0
IKK2,0.57 ± 0.78,0,0,0.32 ± 0.78,1.24 ± 0.77,-1.29 ± 0.78,-1.22 ± 0.78,-1.24 ± 0.76,0.08 ± 0.79,0,-1,-0.34 ± 0.78,0.90 ± 0.78,0
JAK,1.18 ± 0.57,0,1.26 ± 0.58,-0.28 ± 0.58,0.39 ± 0.57,-2.30 ± 0.57,-1.15 ± 0.58,-1.13 ± 0.57,-0.07 ± 0.55,0.70 ± 0.58,-0.34 ± 0.57,-1,1.41 ± 0.58,0
GSK3B,0,0,0,-0.13 ± 0.68,0,0,0.57 ± 0.79,0.01 ± 0.22,0,0,0,0,-1,0
DPD,0.14 ± 0.83,0,0,-0.36 ± 0.91,-0.41 ± 0.95,-0.66 ± 0.95,-0.10 ± 0.91,-0.03 ± 0.84,0,-0.09 ± 0.74,0.03 ± 0.85,0.19 ± 0.91,-0.45 ± 0.95,-1
