	ABT-869	AG-1296	AG-370	CHIR99021	Doramapimod	Gefitinib	LY364947	Necrostatin-5	PD 0325901	PD 173074	Ruxolitinib	SB-431542	SP 600125	Uninhibited_TNF	Uninhibited_Untreated	Valproic Acid	Y-27632 2HCl
AL669831.5	0.0480564517178686	0.0361845528238561	0.00527376092986953	0.0451187088212792	0	0.00790995309397815	0.0289692889454099	0.032720284421545	0	0.0494347375841452	0.0161348615278435	0.038711212976952	0.059757117928807	0.0272463121437756	0.0308475627800261	0.0327007562841491	0.0377796991516819
FAM41C	0.028315177046859	0.0124030344496458	0.0131684641620248	0.0360215515425362	0.0620424370269264	0.0299545213407104	0.0241018034442416	0.00845555843044542	0	0.0323891884888824	0.0108352240774429	0.032559557159084	0.0218612836295158	0.0250665810917061	0.0194799287263861	0.00985847905520573	0.0225665774447743
AL645608.3	0.010933801300029	0.00826596571277423	0	0	0	0.0114236103178048	0.0150427062928587	0.00455658711624993	0	0.0218250070931273	0.00564862119697153	0.014131528506444	0.00507305194805195	0.0124358223202745	0.0077290034237671	0.0061696518527156	0.00238282630363831
AL645608.1	0.0357337013085921	0.0351659899550382	0.0116493770495623	0.00715869477624686	0.0360984766442856	0.0115830817546855	0.0419481352359372	0.0149603036744397	0	0	0.0171971164954343	0.0269739686212794	0.00793298216665609	0.0401705257321042	0.034886472033983	0.0232754992407326	0.0184442574867696
SAMD11	0.680710873126553	0.661943882009455	0.24987955912387	0.117931890693651	0.162164964816108	0.26788487437228	0.269094567283156	0.195420216707391	0	0.321249238921673	0.273582538979974	0.324237514147824	0.37397092038485	0.305458954145573	0.402568811458923	0.244321531154566	0.349285932580913
NOC2L	0.453776395371535	0.467079690144354	0.457793479726299	0.780614941037432	0.598955094705195	0.462264570807799	0.556707394109047	0.625359373883629	0	0.543703952429747	0.583937218081784	0.585513539408504	0.610020199532191	0.598067422959334	0.609483985685785	0.566931411204372	0.553069273576978
KLHL17	0.0252051683004817	0.00572035910126294	0.00743049698879109	0.0171742059429274	0	0.0321263428060402	0.0315181033583998	0.0312799799911002	0	0.0432546729003299	0.0244617321271434	0.0319707764767598	0.0280875355052294	0.014025349796287	0.0294100227591042	0.0272972017270613	0.0268665876215178
PLEKHN1	0.049732294069167	0.0559788136728201	0.00529417058876471	0.0427338747086964	0	0.00722418077789979	0.0616505075851943	0.0632056834737641	0.13650945327964	0.0234086159885	0.0667866723140413	0.0544492056450991	0.032086686349816	0.0333399520755061	0.0423919449590003	0.0336547092453298	0.0444867668013474
AL645608.8	0.0476475573483946	0.0535986179067088	0.0119281211419983	0.0119661484104381	0	0	0.017342915778413	0	0	0.0194948874657621	0.00697116045396463	0.011510470303789	0.026951843282155	0.0101206543472823	0.0179135449037379	0.00856094019669616	0.0146267095893935
HES4	0.808105789579924	0.515644296299355	0.602797457191832	0.412831962659462	0.149260628143389	0.559728201556639	0.478589907289399	0.592238477112988	0.369441367281177	0.55560573180294	0.496917302473799	0.51245252971976	0.5063389659786	0.619828778742106	0.415865038865346	0.516022688972594	0.498902906488881
ISG15	0.105083184477818	0.1244487957691	0.656093419750769	0.186979064309932	0.153341535461029	0.183530562966142	0.424345742659613	0.167682297820475	2.0646593117716	0.155118569992497	0.141527726681693	0.179742583670903	0.158750413095352	0.144187405003588	0.113619458129639	0.162934568003599	0.173643882496345
AGRN	0.259114683994804	0.37037892382128	0.373794284353827	0.194893068617091	0.138274551356038	0.226439094631345	0.251381618287323	0.287613682140863	0.232931914001537	0.256333462261608	0.296584014414737	0.331753602555773	0.341955652059959	0.236639686983937	0.308917443992811	0.239061390683162	0.32898872304543
C1orf159	0.086332881318058	0.0498520651221333	0.0542407442915477	0.0552174064084674	0	0.0442556992179494	0.0584476006486466	0.0618991826139313	0	0.0942972498008972	0.0826448376476907	0.0699766474783464	0.0998886800365688	0.0688525468664894	0.0625073242592068	0.0874862912610374	0.044987561301367
SDF4	0.844979934984102	0.8130535705771	0.84202146951806	0.846059742660874	0.811257525768244	0.715165457286148	0.916411827289622	0.747876017207332	1.00924112611854	0.56056240532453	0.818651369937217	0.878104336464905	0.740256929201686	0.758784535435222	0.793782629230637	0.729462387252739	0.889111578406339
B3GALT6	0.152905803283285	0.229570700037491	0.151451511035167	0.228004494203202	0.268715908068083	0.182068760700662	0.259704524485349	0.219663033625626	0.497067302912814	0.162381260905323	0.189059506341381	0.208829400827095	0.176992372664119	0.248859430757301	0.182800406371345	0.172147326417233	0.19639851460007
C1QTNF12	0	0.0196794030679908	0	0	0	0	0.00406471844711496	0	0	0	0.00356630201228591	0.00488818325125673	0	0.0136791871223254	0.00480277890088937	0	0.00650952546057344
UBE2J2	0.31153251453345	0.217895619887018	0.250169635564992	0.339902170482888	0.117749056293628	0.345330893711416	0.382290972675299	0.291395587314869	0.168802012119984	0.362992733086214	0.360620341028589	0.350138649313457	0.349474888339337	0.314778925071949	0.374853413420341	0.301815793778013	0.384830741771702
