,norm_vec,s_vec
RLIM,-0.0006817225874023428,-6.545190790420159e-05
IKZF4,0.00010296924280838302,8.552953630802108e-05
ATP5PB,-0.001462486380833508,-0.0032006934014435955
CDC26,-0.0006555913882637975,-0.0007189253040479938
DNAJC27-AS1,4.7610394310604946e-05,-5.2838097379671124e-05
FLOT1,-0.002144391611628295,-0.0010518799258220112
PDGFRL,5.2799645215608664e-05,4.917529000176787e-05
CAMTA2,0.000751248845980869,0.0005356409089361282
PRKAA1,0.0008554723174950269,0.0001657431051582924
TMEM87B,0.0001130992393420871,0.00024426609050298795
GREB1,-0.0023282256509518733,-0.0014028587872776188
LRRK1,-0.0010130282012582137,-0.0005119609891101393
TMEM131,0.0012506662523001752,-4.387376523240507e-06
HES1,0.0005804301600462533,0.0008010194018677181
POC1B,-0.00030691338394859,5.6845460091032623e-05
LINC01006,8.57722156082627e-05,0.0004580946689526516
HSBP1L1,-0.0012468017240644476,-0.00046983024234080147
SLC27A4,-8.824460967452794e-05,0.00010784448544765704
ZNF106,0.00012387249003595644,0.00047881943186498346
HIST4H4,0.0003262379591964096,0.00018002146291381198
PANK4,-0.00017079100067127846,-9.836460978817686e-05
DESI2,0.0016718427303756692,-0.0005510749182961696
XRRA1,0.0007091922329117405,2.36873072162783e-05
PEA15,0.0020418352130317113,0.002841048617328449
TMEM116,-0.00028465714112146776,-0.0002696745605536781
PAF1,-0.0014829971331756424,-0.0004731855609062638
DEGS2,-0.0003762547085898715,-0.00043066884336864336
SCRIB,-0.00023812308061349832,-0.00036587324835193284
RELT,0.00017810563224172625,0.0002023354786416797
HIGD1A,0.0011084740098116573,0.001659217419311859
NUP62CL,-5.7351640728501004e-05,-0.00015899662453621038
MXI1,0.00011165903972675434,-4.481028974880812e-05
TRIQK,0.0002755530271429343,7.817139950242572e-05
FGD4,0.00010069679876051286,0.00033215124201692347
GDI1,0.0018246742861274346,0.0007883026965158662
NQO2,-0.0017256392062618313,-0.0020860139769746876
ZSCAN20,0.00014042264065438346,3.359828798381175e-05
PEX13,-0.0006900494267447904,-0.00011276838201359234
AP001107.9,-0.00010651639949786561,-0.0001554679772927986
WDR73,-0.0007121266879746476,-0.00019790473982756786
ZGPAT,2.8348850395179026e-05,-3.440223832902889e-05
CHDH,-0.0004252750374154083,-0.00025909004982935127
AL158152.1,-0.0002161643985779117,-0.00014354559659108336
ATG2A,-0.00014078553084886342,0.00020982183158470066
MPDZ,0.0002275864445773087,-5.120810965717277e-05
MIR34AHG,0.0006089590882044547,0.0002467972100843464
MAP10,-6.039706531395394e-06,4.870917291616032e-05
NOP9,0.00013292287787112565,0.0001944262591383383
DNPH1,-0.001255484377783586,-0.0004733955721259569
PILRB,-0.0003720708413906883,-0.000651217321660169
GINS3,2.7711813289906462e-05,-0.00040752807715258943
PMM2,-0.0004886875435973181,-0.00021385882560232607
TMEM231,0.00010329997810690493,-2.353452913262293e-05
TMEM140,4.8568957799096125e-05,-1.87996451975638e-05
CDKL5,0.0002744596255178237,-2.8965121964548952e-05
SLC25A1,-0.0026283141565332916,-0.001868940717278525
UNK,0.00028908211372885285,0.00020168822921567682
RPL36AL,0.00037979006526756253,0.0025630986343973604
TMEM135,-8.970306156420705e-05,-0.0001247709845090794
NEU3,-0.00027424002355273043,-0.00018772675662885125
FUNDC1,-0.000466924866093064,-0.0003221618254679052
ZNF784,0.00014802655321287736,0.00012762890980319377
C8orf37,4.6785081754466315e-05,-0.00014101086178363914
PGRMC2,0.005780677627241205,0.002557584333306747
IFT172,0.00042791981138697987,0.00032877298064406645
RHOF,-0.0062004821467213575,-0.001262015523285407
NABP2,-0.0011090786022802807,-0.00029865186621950914
EML4,-3.889890696386824e-06,-0.001210536211439441
AC245060.5,0.00012991548042486035,2.879992810138694e-05
ULK4,8.341001027424908e-05,0.0001111785443689517
FOXP1,0.004796194891097836,0.005291062480952487
ENDOG,-0.0032398871229548194,-0.0008940061510554546
TSHZ1,0.00028018397054277016,-0.00017178735976009003
PTPN2,-0.0013060993984645344,-0.0006059336689380006
NUDT19,2.4221064186216557e-05,0.0003926498509720321
FAM149B1,0.0003202335413743083,9.377941889691139e-05
FAM161A,0.0003355945141475503,0.00032478298380333347
AL118516.1,0.00045973619799317484,0.0004478478386434424
INO80D,-0.00012437518639655563,-4.4979770773272875e-05
TRANK1,0.00028874687821804076,0.0001365155197793927
SEMA4G,-0.000521215631248947,-0.00020110284818369273
FTO,0.00047031211140427824,-0.00017730944928343436
OSGIN1,-0.001712825280340398,-0.00488609968824791
ACTB,0.06214404211979856,0.04291701154500253
SEMA3B,-0.0002043125552222831,-0.0001943544268741407
PDP1,-0.00030638682289333525,0.00021408049766167203
ARHGAP39,-0.00022772175867218875,0.0001960455641702054
SLC1A1,-1.026881490158081e-05,-0.00011647940776584795
SCCPDH,-4.0215607133212635e-05,-0.0008660077474599784
AC010331.1,1.062757888868887e-06,0.00018404156798686882
NAGPA,-0.0001529330938888846,0.00010229608609212781
CYSRT1,0.00023154807831787068,0.0001541409608483408
NLE1,-0.0007673696863766789,-0.00023794272197794788
TNRC6A,-0.0006208431794076176,0.00031760387092715804
PSMA6,-0.0008090766776505112,0.0007612583828272235
USP28,0.0004749575939035648,-0.0006205281305618131
GOLGA8B,0.00025257798875590097,-0.00010463414525784455
NUDT14,-0.0004341261370577754,8.75899528989436e-05
SMAD6,-0.00010178614148116384,-8.499760894585609e-05
NARS,-0.0008174910038006304,-0.00014759421346154268
RIMKLB,0.0002883767616800979,0.0003407919252405821
RPGRIP1L,-1.2474094195661914e-05,-4.1208836991430085e-05
POC1B-AS1,9.422026030246612e-05,-0.00011242335419520376
C1QBP,-0.014754205665622624,-0.010910308817542224
ARID1B,0.002969766158889305,0.000893785937847559
SEMA4B,-0.0015285193952055275,-0.00012960383285715412
TMSB10,-0.006194683068205876,0.12519272630009037
FAM104A,-0.0008548571541435535,-0.000739639839103473
RHBDD2,0.0007837759786397762,0.0010025648057760907
ZFP90,0.0005584721417265622,0.00020266052983676007
CCDC66,0.0002792169128226461,-3.270781951398438e-05
SLC39A11,6.211775711752483e-05,3.788877333701105e-05
VDR,0.0008589616201231091,0.0012667172234760032
NR3C1,-0.0015659215039534188,-0.0025386788527667257
AFF1,0.0006598460599648909,0.0007086086270982924
HAUS5,-5.029235533373342e-05,-0.0004339467424570934
