,norm_vec,s_vec
APPL1,0.00035970086510827854,0.0002197500091667747
SNX33,0.00020290445137079781,0.0001483414946649875
MTFMT,-0.00039764446767784464,-0.00029591271190268476
HIF1AN,-0.0003124550892361624,0.00042835827192740946
DISP1,0.00025779755802700133,0.00011854525275746598
ARHGEF4,-0.00037857894282400205,-0.0001272086240698917
PI4KA,7.428432737922251e-05,0.00024165751117782405
CAPN7,0.00022891497031973297,-0.0002733162048931925
SLC26A6,0.0005130354483982558,0.00011080594846291184
AC144652.1,0.0004149036809938026,3.2563886252040396e-05
HSPA14.1,-0.001022478212580918,-0.0010434053192182517
STK17A,-0.007097281044618341,0.001048457281273425
WDR82,-0.00023768880358331564,-0.0004246418461975387
ERICH1,0.00025637907816503954,-9.273580443380074e-05
PITPNM1,0.0005344021301514615,0.00017625907736359232
MAPRE3,0.0002591911047751642,0.0008705006294351679
TTC21B,0.000564515646967268,0.0003143969277821064
LAMTOR5,-0.0008905714879018661,0.0005817182135756598
ZRANB1,0.00022841453942263107,7.906961596956147e-05
IL6ST,0.00292031986771489,0.001815317592085308
SH3BP5L,0.0009786502652251756,0.0003735065501131569
DDB1,-0.0010952699405670687,-0.0003228754146117362
DDRGK1,-0.0009933102695527769,0.0017940509642232043
GTPBP1,-0.0003202289027960587,-9.987357889309424e-05
GUK1,0.006571564022134514,0.004916274520746391
TBC1D14,-0.00017176337615592424,-0.00022194922208363966
SETD2,0.001495884092131087,-0.0004940246102347161
AL355472.1,2.43699907686454e-05,-9.496708876469277e-05
FANCM,-0.00026384106552812124,-0.00034795472496264616
AC106886.5,0.00012822171699984364,7.592313316702404e-05
MAGT1,-0.00034064531583813927,-0.00013504252638852797
DDX23,0.00042771732423381686,-0.0004766199549078934
SLC29A3,6.837409928187514e-05,-0.0002314071080224929
TMEM63A,-1.67006392737153e-05,-0.0002959880182321521
PTCD3,-0.00029356304078767185,-0.0009445061015234063
CTXN1,0.00020384046511282537,0.0006467528269348652
C11orf71,-0.0005785149908513651,-0.0002058967938244679
TMEM170A,-0.0006231027698504771,7.338714517500195e-05
XRCC1,0.0006734916939987796,-0.00015811425511485583
ZNF575,0.00017802627614790843,-3.18235809004856e-05
