condition	name	pvalue	X	combinedScore	enrichedSubstrates	zscore
A549_EGF_ABT-869	MAPK14	1.94461478412464e-11	0	0	['JUN', 'POU5F1', 'SP1', 'HSP90AA1', 'RELA', 'TCF3', 'RB1', 'MYC', 'FOSL2', 'NCOR2', 'NCOR1', 'CEBPA', 'SKP2', 'SMAD4', 'SMAD3']	0
A549_EGF_ABT-869	CDK4	4.19020677007537e-11	1	0	['RB1', 'MYC', 'SKP2', 'JUN', 'SMAD3', 'SP1', 'TCF3', 'HSP90AA1', 'CEBPA']	0
A549_EGF_ABT-869	CSNK2A1	4.76795694930415e-11	2	0	['JUN', 'SIRT1', 'POU5F1', 'HSP90AA1', 'RELA', 'VDR', 'TCF3', 'RB1', 'MYC', 'FOSL2', 'NCOR2', 'NCOR1', 'HDAC2', 'HDAC3', 'SOX2', 'SMAD4', 'SMAD3']	0
A549_EGF_ABT-869	ERK2	1.19716828725976e-10	3	0	['RB1', 'MYC', 'JUN', 'SMAD4', 'SMAD3', 'SP1', 'TCF3', 'NCOR2', 'RELA']	0
A549_EGF_ABT-869	MAPK1	1.79571307803182e-10	4	0	['RB1', 'MYC', 'JUN', 'FOSL2', 'POU5F1', 'NCOR2', 'SP1', 'CEBPA', 'SKP2', 'RELA', 'SMAD4', 'SMAD3', 'TCF3']	0
A549_EGF_ABT-869	CK2ALPHA	1.81903381391028e-10	5	0	['RB1', 'MYC', 'JUN', 'NCOR2', 'RELA', 'VDR', 'SP1', 'HSP90AA1', 'HDAC2', 'HDAC3']	0
A549_EGF_ABT-869	CDK1	2.27515675458424e-10	6	0	['JUN', 'SIRT1', 'SP1', 'HSP90AA1', 'RELA', 'TCF3', 'RB1', 'MYC', 'FOSL2', 'NCOR2', 'NCOR1', 'CEBPA', 'HDAC2', 'SOX2', 'SKP2', 'SMAD4', 'SMAD3']	0
A549_EGF_ABT-869	AKT1	2.78375954093681e-09	7	0	['SOX2', 'MYC', 'JUN', 'FOSL2', 'POU5F1', 'NCOR1', 'SMAD4', 'SMAD3', 'SP1', 'TCF3']	0
A549_EGF_ABT-869	ERK1	5.83338524794114e-09	8	0	['MYC', 'JUN', 'SMAD4', 'SMAD3', 'SP1', 'TCF3', 'NCOR2', 'RELA']	0
A549_EGF_ABT-869	DNAPK	1.02268135652605e-08	9	0	['SOX2', 'JUN', 'SMAD4', 'SP1', 'TCF3', 'HSP90AA1', 'RELA']	0
