,LY364947,EGF,BIBF 1120,PD 0325901,NVP-BEZ235,Torin 1,PKC 412,Doramapimod,SP 600125,Phthalazinone Pyrazole,Necrostatin-5,CAY10657,Ruxolitinib,CHIR99021
TGFBR1,-0.620478737898826,0.6666666666666666,-0.39362013811619917,-0.10106623854773959,0.36641793713785153,0.9949214438887451,-0.04583514375972464,0.0017991240358739558,-0.21974964290479945,0.2559898107329594,-0.19456281119692317,-0.020842703380985466,-0.23257365909670072,-0.26466845190604
EGFR,-0.708942441695638,-0.7777777777777778,-0.4930399724889831,-0.6791432178713572,-0.09536152217282551,-0.33357767091315665,-0.6713925853066305,-0.020063055995497854,-0.2772463071827475,-0.2903597300445683,-0.11578922797279678,-0.37530932347893226,-0.3475929624636201,-0.3878717354159076
VGFR/PDGFR/FGFR,-0.4042253629232064,-0.14285714285714285,-0.4737399358183402,0.04235805986669994,0.24554111973710172,0.07265526245112862,-0.0457587204974595,0.1772271894635096,0.024385883822105634,-0.3013602042179631,0.5701518738999339,-0.1306660191919669,-0.0660041829062012,-0.4534922755053712
MEK/ERK,-0.21441520351654972,0.0,-0.020898163494870486,-0.9660622274226803,-0.38269504375148666,-0.11481518406747875,-0.41794244076542403,-0.11619745009864,-0.21272640123281147,-0.29152485641643416,-0.15755723774258812,-0.34020342925121216,-0.1762981864600622,-0.3435395440825635
PI3K/mTOR,-0.3232111217234353,-0.08196721311475409,-0.1352881192711153,-0.4289910803941299,-0.9248034725172442,-0.198796468448117,-0.20062828218190623,-0.028117916357414813,-0.34668268794785223,-0.08638136476538141,0.026564732292779978,-0.39294036883380373,-0.050923961864136974,-0.21758240467338166
PKC,-0.3861158770546023,-0.17391304347826086,-0.04526280510171634,-0.4694149752798737,-0.4432005828507675,-0.1325928813339512,-1.0111017183123179,0.09517706328497909,-0.1270461000536679,-0.26230095038035695,0.014289283831955607,-0.3713793385265393,0.05906572575787638,-0.3262561396844816
p38,-0.17497560915555063,0.0,-0.07379767888959714,-0.17996829390034716,-0.07930419090573244,0.04951813692132317,-0.002309058719320208,-0.5809501768407752,-0.1839650459434255,-0.14901187097530727,0.144082831811629,-0.344024337210261,-0.20929204742137417,-0.3070597851455854
JNK,-0.5011598834475027,-0.06666666666666667,0.28675545637692873,-0.4228743698468051,-0.25644211656449484,-0.12049633999512617,0.15098781107784853,-0.19518800020699512,-0.8175403755822405,-0.287072355804061,-0.39173380299821275,-0.17630388573510272,-0.1696031437624713,-0.22311235344920338
Aurora-A,0.030211938622901002,0.0,0.7614524687366256,-0.09322861068881243,0.34210425145383966,0.7586649620284955,-0.48806280666224716,-0.5178072950531365,-0.07608260090389513,-0.7380580766466843,0.6156418136784982,0.06706096138237373,0.31483038962746174,-0.2432977976007041
RIPK1,0.562248751478632,0.0,0.07468108302629828,0.5310512433547714,-0.6038072228664908,0.5560868516876908,-0.1178246178744558,0.5023773228006893,0.7285529838552102,0.07734493195333117,-0.7092176365774843,-0.1924185755233664,0.7163806744015078,0.6780316661829529
IKK2,0.3015448522228004,0.45454545454545453,0.3860874028968464,-0.09072072449956209,0.23474221492495204,0.11434653988311373,-0.0749742264162885,0.5112424351347971,0.4293415153018618,0.47120645476382245,0.36443140654480827,-0.8283470339348412,0.49636391225195386,0.28943580068086855
JAK,-0.12848699372857922,-0.2,-0.1709013286585865,0.3838756411321733,-0.6905209168244859,-0.05805010030120059,-0.28505046225957453,-0.41114804698941476,0.08929616630529309,-0.36115401544031783,-0.6665608894861123,-0.3311246475189804,-0.40251774913358707,-0.17469972728849684
GSK3B,-0.10357873544862377,0.3424657534246575,-0.03649884386648254,-0.04498297438849942,0.01570128938769608,0.29944844633690076,-0.06877797830137598,-0.1051983664618225,0.02324300625946629,-0.43550515128419026,0.08474533331920378,-0.20669843308526503,-0.0102502352353897,-0.8105732967568364
DPD,-0.54146849653008,0.18879864350661932,-0.24907625569303865,1.8545497791359464,1.2134679377929896,1.174597373234032,0.012024954460034203,-0.17710145933137364,-0.3642611314972968,-0.4706888375814563,0.16135647877086806,1.6043058575446099,-0.3147516593109108,-0.4632382016646866
