,LY364947,Erlotinib,Gefitinib,BIBF 1120,PD 0325901,NVP-BEZ235,Torin 1,PKC 412,Doramapimod,SP 600125,Phthalazinone Pyrazole,Necrostatin-5,CAY10657,Ruxolitinib,CHIR99021
TGFBR1,-1.0207374626898924,0.4660513148155985,0.2879855662457745,-0.2589743850061539,-0.21925936189788073,,0.48822207520190136,0.09182688083606284,0.4911421817018009,0.255748034076511,-0.006170734950380989,-0.20451578584156027,-0.052864227130252184,0.697647260616484,-0.5962347909872584
EGFR,-0.054465749463416646,-0.749760608218989,-0.21143475051592234,-0.2496873308141252,0.5794147888027203,,-0.24528246301101028,-0.008050118707500449,0.2719193886291446,0.015128198215859891,0.2928508133001452,-0.19888005491798777,-0.3688945596277329,0.1611531542813264,0.13455240177463354
VGFR/PDGFR/FGFR,-0.4471357936380593,-0.6194142050091636,-0.17531092866446715,-0.7621637893734328,0.27624154341188206,,-0.05601562330747177,-0.18009523959224585,0.020951188515253665,0.21669055585047792,0.0785402297955466,-0.48314800348750947,-0.06096408267029141,0.04444722670344687,-0.17992827834082295
MEK/ERK,-0.2496973401997985,-0.23348965736981786,-0.18198798005589736,-0.13204518533989162,-0.8989672928165588,,-0.2292107216488979,-0.40339875721782836,-0.1580168346790702,0.0014578212872713343,-0.18968667352220803,0.0038203949668373927,-0.2910419811815204,-0.08413012961552684,-0.21801184345161304
PI3K/mTOR,-0.14086921945451353,-0.12327235925118586,-0.08857162801328676,-0.21086969234145964,-0.5063167338290415,,-0.20950176734827278,-0.29998056145829965,-0.35217847576918687,-0.16362699548304566,-0.2322867890867314,-0.04142820677612412,-0.3959462715255414,-0.0752960077050839,-0.0069359744955430095
PKC,-0.14583447528529903,-0.32660925896506754,-0.3909562582238824,-0.1795828421665497,-0.30958034018859487,,-0.418782745746967,-0.9116767011804913,-0.21368521803845617,-0.12342642709421749,-0.09629953255063,-0.049857691519953985,-0.577312236101126,-0.06871140799877606,-0.2207005862991695
p38,-0.14914552774563866,-0.09807636241965485,-0.12782133878638846,-0.11574104311191603,-0.33747899594022535,,-0.41354137215266623,-0.3209547239808787,-0.6731666480499833,-0.3627183030324875,-0.3311816702560719,-0.015414113147870794,-0.1337338947071765,-0.3038202301209483,-0.2579074872132595
JNK,-0.09228647109403981,-0.33207392365329896,-0.1819499994509142,0.14046412867327718,-0.3209361107238184,,-0.09105698701493138,-0.38276513726946354,-0.015192676863175639,-0.6696611435023233,-0.01994492671890263,-0.31972179758229835,-0.21093383205709587,-0.2042185246289657,-0.4448713651562471
Aurora-A,-0.3677666539871652,0.01618074784958648,-0.20636955340981267,-0.2934113230227718,-0.01839367020635611,,-0.4923085660672876,0.10761904843148053,-0.18692957401115548,0.0266544688610633,-1.0761553368713945,-0.4787848127164764,-0.7019854943809308,-0.22256873342441233,-0.7278160486586663
RIPK1,-0.4540478328846148,-0.1469290592949826,-0.15817661907432973,-0.5529280091687581,-0.37581079552651686,,-0.19718529383265715,-0.18131993320609285,-0.18038122223015368,-0.1437908374081092,-0.15080534713204385,-0.7214171458370731,0.21986790626273056,-0.6308947363347405,0.06187876933051928
IKK2,-0.8481894249498464,-0.4867620514760204,-0.19286100499459913,-0.3970434012211835,-0.6463804545146278,,-0.18072236087634,-0.24016740279224147,0.16467168393241438,0.10323075505185969,0.10756853620943446,-0.2966029446718698,-1.2055380444485237,-0.030763301852753132,-0.4222067281355331
JAK,0.4822367973322799,0.05101649385536296,-0.0901886975152856,-0.11836446935466775,0.18513392771348391,,-0.31315199194504023,-0.15821984106146797,-0.06613796875015834,-0.1633156443949082,0.11856554472804022,0.39013481055789573,0.12584458983420416,-0.6157103025563921,-0.2922750172500917
GSK3B,-0.6067499322346372,-0.34499449221036704,-0.1509427046577612,-0.5114939513262137,-0.6428628485421649,,-0.4205458623010543,-0.46760228592077135,-0.32715317889077766,-0.3010704846033082,-0.5278754294151724,-0.38940619217068156,-0.4425516492937441,-0.2502632966307699,-0.9278345815755377
DPD,-1.7435087784925347,0.2598333327074281,-0.006960648971768724,-1.8464447581333538,-0.04887420927991602,,0.796209935273427,0.6733725757338549,0.2379661483252403,-0.33593845995704086,-0.6656608956004209,-1.0078101734727252,-0.7963910675765874,-0.037991359522220734,-1.006725915339348
