,LY364947,Erlotinib,Gefitinib,BIBF 1120,PD 0325901,NVP-BEZ235,Torin 1,PKC 412,Doramapimod,SP 600125,Phthalazinone Pyrazole,Necrostatin-5,CAY10657,Ruxolitinib,CHIR99021
TGFBR1,-0.7659009920647386,,0.37049577325291433,,0.19774580902798822,,,,-0.5742950354697794,-0.3985435847507746,,-0.38019432025456257,,-0.34541660298750165,0.026583962600430538
EGFR,-0.12532815940220937,,-0.032861227839903945,,-0.5131742320129038,,,,0.455482269720393,0.16321514124381786,,-0.3206395096823953,,-0.36191742646892044,0.23664105926273724
VGFR/PDGFR/FGFR,-0.24025989990941563,,-0.12987609568557265,,0.08089921618599763,,,,0.2881088604467501,0.19297377818733968,,-0.3910212176430547,,-0.07358382659881603,-0.21027533780993274
MEK/ERK,0.06753350763600867,,0.29666858529461754,,-0.9370047497369888,,,,-0.19317239738701178,0.11752259061258023,,0.1021898929824727,,0.016014323572768125,-0.1851999157427413
PI3K/mTOR,-0.05361995387055693,,-0.07581635133355741,,-0.28938228005637556,,,,0.020045734703310603,-0.15338869676977887,,-0.10063793567423684,,0.05346202888972137,-0.10787775822350132
PKC,-0.2850818835686103,,0.06895858605628825,,-0.19324938104936076,,,,0.1639251485482399,-0.126784794078724,,-0.05006478121137318,,-0.25388037678299885,-0.304727929236067
p38,-0.1351342473120113,,0.06916214141006426,,-0.24554814404931102,,,,-1.0128981837832622,-0.2383518898286886,,-0.10660394329206035,,0.015585028596159851,-0.398246175079945
JNK,-0.03381630902281821,,-0.4311161375818324,,-0.4201674881243166,,,,-0.41646274795891486,-0.9090583528679103,,0.010209172616003508,,-0.2977248982472132,-0.1815598261879075
Aurora-A,0.31998727544767647,,0.8198274881835355,,0.002832492777655108,,,,1.0457651272860522,-0.002945585330327701,,-0.22865411287967716,,0.5120737829950103,0.0024894010091849697
RIPK1,-0.4294414496675936,,-0.668032857421452,,-0.6176438549124457,,,,0.2106201413372279,-0.031124135343045423,,-0.7448093874193737,,0.16990627975023126,-0.0322849499687006
IKK2,-0.349256606300913,,0.30006360693069883,,0.46109534277916775,,,,0.095127149016814,0.11669930916976017,,-0.18020175284492318,,0.04115477994005415,0.1160652206526188
JAK,-0.7950083109441448,,-0.8207142362230794,,-0.1078030724547349,,,,-0.7037936202645364,-0.6152945968037937,,-0.3931807287428387,,-0.7043228992624321,-0.23265621505900347
GSK3B,-0.2533480122327466,,0.024288061014188837,,-0.38832342449139623,,,,-0.1421676845463267,0.02813573613313064,,-0.25629978479331866,,-0.1735809563225676,-0.9000988019046637
DPD,-0.6239846711541639,,1.266261831665182,,1.3622628674417419,,,,-0.5455238592609751,1.0422790605718593,,-0.629297112935397,,-0.05049906180766009,-0.4201191793863628
