,LY364947,EGF,BIBF 1120,PD 0325901,NVP-BEZ235,Torin 1,PKC 412,Doramapimod,SP 600125,Phthalazinone Pyrazole,Necrostatin-5,CAY10657,Ruxolitinib,CHIR99021
TGFBR1,-0.779445165957986,0.3333333333333333,-0.09695680815682513,0.5563870586083192,0.5913748189189665,0.5280917781839244,-0.21274877808840686,-0.05993661395188473,-0.1204032811914602,-0.0812823844659953,-0.38688693073269054,,0.2822553004584903,-0.1578003171161588
EGFR,-0.413969564639637,-0.5,-0.470858596176577,-0.7018728431240332,-0.21043906182667035,-0.5304847832861509,-0.758938765262844,-0.06189189592899264,-0.2678139389789037,-0.14072649059144807,-0.5218833629757493,,-0.18972059448168532,-0.2809629293435377
VGFR/PDGFR/FGFR,-0.2995319174439395,-0.45454545454545453,-0.836294919256681,-0.7736505309286962,0.028983275028604125,-0.16723287570264855,-0.3348069751446145,-0.2249892055263056,-0.16338006709065872,-0.22947902212829802,-0.5358280172045057,,-0.13699705082542277,-0.23635606153911856
MEK/ERK,-0.27196542535267904,-0.3770491803278688,-0.3214583796642365,-1.0759154584500592,-0.4179696924001585,-0.3098918378092806,-0.5611263801652029,-0.07411452222054779,-0.14590090390622065,-0.10030166588293793,-0.015101811063042385,,-0.15207142248555447,-0.17627627661318968
PI3K/mTOR,0.12762642914391753,0.37142857142857144,0.00022432441451204646,0.16359111629771383,-0.9219743913647278,-0.3395381471833065,-0.29832371404346,0.1836035422738112,0.26775555009705276,0.23130604718381548,-0.09887886073610895,,-0.09106334766010356,0.3400859106392533
PKC,-0.26643035766384526,-0.2857142857142857,-0.11230601784969546,-0.30820846253220574,-0.4515491590760988,-0.6143779076909608,-1.0987098443984609,-0.10982391464006716,-0.08898310105835253,0.026602208658766533,-0.4321866934888786,,-0.28287589964612997,-0.1565242894780013
p38,-0.41671312649374265,-0.23809523809523808,-0.30781341785428157,-0.023417551142316043,0.13717743262356888,0.016536996762621606,0.3245133817012148,-0.8309158936549591,-0.42185619880171754,-0.2844930369695933,-0.267697365693832,,-0.2543288732999549,-0.2429291957823317
JNK,-0.5573593828223912,0.0,-0.3707661829373235,0.021331644745658556,0.06022057251843948,-0.2580646988386672,0.25907912605986255,-0.45337922449223933,-0.8056594581334039,-0.12160610188016767,-0.2203163854883447,,-0.15491130486511895,0.044968948342881336
Aurora-A,-0.2447677203590015,0.0,-0.44310615161163946,0.14920648811492598,-0.10079422820357917,0.4716885279720023,0.7116749989916895,-0.11134570493516684,0.5031441204683959,-0.8260331466077871,0.22176302792427277,,0.45063778183606773,-0.10240207167457183
RIPK1,-1.303240273868495,-1.0,-1.815644572165834,-0.39046395777945775,-1.4166530364996066,-1.2014115846441347,-1.5127207011346437,-0.9007490367387138,-0.9901682319763375,-1.2598775197313705,-0.979816850372201,,0.05974977134921478,-0.10760192355951279
IKK2,0.02948169855786631,0.0,0.20247527325573328,-0.2103203473762839,-0.5111381662292369,-0.5365467306553441,-0.4260997313116702,-0.16288144022617557,0.24949449333181048,-0.2916067204674827,-0.044639856469716396,,-0.525272320809012,0.11689981560920078
JAK,-0.8319549249426232,-0.2,-0.5610659828489502,0.35721915588888536,-0.29031176688368165,-0.5853514006812421,-0.22322517113792725,-0.5571066807766968,-0.012448788553378321,-1.253100066605411,-0.4491020072712383,,-0.790263427641596,-0.6711206024460818
GSK3B,-0.41007127742223326,-0.4482758620689655,-0.3149990025558361,-0.4915893980533856,-0.02258997046753507,0.020025910182820114,-0.31250693525216494,-0.2192697171489792,-0.23825223866193432,-0.7049893279848931,-0.22210552664347025,,-0.18847140110948607,-0.9028130657000991
DPD,-0.3868237722082049,-0.2098574861941009,-0.59802140609222,1.0207260337059123,1.1381034448758511,1.1297939127171073,1.3625716236706362,0.5824698898835904,0.5036601680155671,-0.7322818215331673,-0.2924317137988633,,-0.13530914822514797,-0.5274154964054195
