,LY364947,Erlotinib,Gefitinib,BIBF 1120,PD 0325901,NVP-BEZ235,Torin 1,PKC 412,Doramapimod,SP 600125,Phthalazinone Pyrazole,Necrostatin-5,CAY10657,Ruxolitinib,CHIR99021
TGFBR1,-0.5511356401822308,-0.39956185208974976,-0.24093784692216602,-0.6388399668196081,-0.36602295362718684,-0.3588631155847208,-0.4300801092848541,-0.3070233433123507,-0.7166413342345557,-0.6502274862979045,-0.20979402308818507,-1.054178351942977,-0.20039213414000445,-0.8911227683070072,0.05602824941442049
EGFR,-0.20922717977959707,-0.6166868979586383,-0.7684708488122164,-0.6614354962547675,-0.8056906456306892,-0.018552788826027677,-0.3391397925781014,-0.5626749211015106,0.11186405423871204,-0.4161660623205606,-0.4129714960895803,-0.19589898472058664,-0.6168545730495633,-0.12695656906299965,-0.25469113165223195
VGFR/PDGFR/FGFR,-0.24688763257771013,-0.5734009967874141,-0.49767550135429617,-0.8601661527791759,-0.4238701274183857,0.027596447678180994,-0.025380564481908417,-0.4174715213718535,-0.18091516131846352,-0.4831117504674904,-0.43779042615573066,-0.31529266277658163,-0.4918839622648746,0.33025131872006697,-0.5237660021602105
MEK/ERK,0.10291308542156756,-0.41653527889748265,-0.4997233364204796,-0.22331690092785514,-0.9363710090631197,-0.2682404596246913,-0.3042682395202155,-0.23182760092443003,0.028662556112055062,0.037126236903254325,0.20305428795392075,0.1277023150046501,-0.34749135006777165,-0.10390973337283971,-0.07748654732081668
PI3K/mTOR,-0.07060322076021104,-0.4366959871944967,-0.3515684978153152,-0.36501720908961893,-0.20557141082236602,-0.8803687250891643,-0.7066135170058578,-0.5945434276513447,-0.10310070681718975,-0.03877929909363702,0.14633547205285719,-0.1637450164032642,-0.5280728257773412,-0.25477913858415996,0.09436097464311101
PKC,0.028229442491669084,-0.52225023480002,-0.48808686983529304,-0.27560766051441865,-0.42917784968627826,-0.42019667446534087,-0.37905605258191805,-0.9521423277461006,0.22623423926548142,0.031508675924989904,0.21223045826261777,0.05709598440163402,-0.29039396392950495,-0.009124595664584996,-0.12704869453984866
p38,-0.12841066464003928,0.08028115309950974,-0.014888902308375735,0.17368846809127061,0.2962374196047825,0.01902413698299728,-0.0334995453552789,0.20242304552118048,-0.719893939452745,-0.16672455808381045,-0.18212972634703023,-0.2915893719454505,-0.030808824883936214,-0.1556574622966304,-0.08690453662022637
JNK,-0.5865486534222114,-0.1345181556770476,-0.06489334474100222,-0.20805936388357252,-0.057539606305240465,-0.04303439787180024,-0.17731734069148755,-0.281822064802736,-0.44041269561668744,-0.7297877107931043,0.13033166253538844,-0.7476246049209649,-0.32549511420250044,-0.1804428276886592,0.2686748900230365
Aurora-A,-0.623259642503839,-0.06919527794720401,0.06941376143726408,-0.35851380915176967,-0.20254743733011973,-0.08992034972289066,0.41628274217567585,0.2277869858927327,-0.8052676183732057,-0.6013593881148698,-0.6968799697184788,-0.9765381877230591,-0.7221805284625221,0.0757910822754638,-0.5113533233472647
RIPK1,-1.7052352996417477,-1.3488659092896984,-1.9010769179161338,0.4703324345278837,-0.24541649607904448,0.8387323032314736,-1.643087413685936,0.5006126356587072,-1.196339139022489,-1.9681255265805782,-0.6413752800860048,-0.10244026960376054,-1.2133491372702454,-1.5010460809943302,0.6605147178021524
IKK2,0.20140660768277913,0.005947754367369731,-0.037118809161968636,0.28587349645982807,0.08545355056196444,-0.036567446032058026,-0.46660089824265644,-0.011018791250092558,-0.1701282177307534,0.044517139949736675,-0.11400237105136163,0.09788927789881419,-0.7154861050393116,0.10281937559964541,0.13906818411213717
JAK,0.11136583513163649,0.6116454831999439,0.5838434774870358,0.46337406717374846,1.2574676436913754,-0.29507157830567976,-0.1336086490714483,-0.19291334591353732,0.3960614166866119,0.1251300104784205,-0.48053725234317834,-0.2440425805709215,-0.05186121212280683,-0.301871046644108,0.09018568356136378
GSK3B,-0.15309731428597517,-0.10051721571439831,-0.023122582874691638,-0.11394987819885459,-0.389407649742761,-0.014163705541739437,-0.15370157052739056,0.010924815308741082,-0.1271723976900958,-0.04617645535778983,-0.5197916363493642,-0.15216264203827023,-0.10872155808904814,-0.24141769064133065,-0.8800874410233216
DPD,-1.6961021893140524,0.261305607012476,0.5769299644195354,-1.4135288272274769,0.5348241700705344,0.7951863274396282,0.8146447793967001,0.7905589685124291,0.29273888360961337,0.18976559885417021,-1.5845749439078665,-1.3781642421421139,0.7612603447873595,-0.1698747427836813,-0.8456632750260945
