,LY364947,Erlotinib,Gefitinib,BIBF 1120,PD 0325901,NVP-BEZ235,Torin 1,PKC 412,Doramapimod,SP 600125,Phthalazinone Pyrazole,Necrostatin-5,CAY10657,Ruxolitinib,CHIR99021
TGFBR1,-0.6232656893388008,-0.21553558235706474,-0.10763852954596931,-0.20132418041412484,0.5774103046029375,-0.043841678590230436,-0.16607442973686873,0.0794166278356192,-0.029715206047381593,0.02271438333787908,-0.5923745908101766,0.18198160625634072,0.07251697106857402,-0.026172994502351443,-0.24403022241715192
EGFR,-0.20917810937704606,-0.8833080914602777,-0.2612524217707211,-0.24572132449981596,-0.6481380363442123,-0.3930131283405591,-0.4943822615968543,-0.7773543630097554,0.38220388940113587,-0.12153599966176014,0.2509185112007833,-0.12020654356709026,-0.08487548526829969,0.3981449011420448,-0.027075133169433125
VGFR/PDGFR/FGFR,-0.3018560738697981,-0.6139852322096307,-0.6121940482812878,-0.7829770895383604,-0.561732012326201,-0.3240732645640222,-0.39640640527227294,-0.5529641803337824,0.036865373239868986,-0.2256953221298814,0.028553010650957025,-0.22593152960280022,-0.2323786492009801,0.07947023667900693,0.007076654897424797
MEK/ERK,-0.17526933564662364,-0.38966658054369196,-0.26366420107330524,-0.22855198833480292,-0.9089999670856638,-0.3403502316944309,-0.48820668516647014,-0.42750113045206417,-0.03932733973597082,-0.17078396515559446,-0.05089444579193824,0.024817174293397297,-0.15349500215508435,-0.11217648710641642,-0.058955091888705145
PI3K/mTOR,0.18188541604375358,-0.344024860284906,-0.04552378475718376,-0.04301520606012899,-0.08666496250958498,-0.9425748708309983,-0.4299881505007357,-0.2891470631785457,-0.012755209302324369,0.08262715546781799,0.1809702252074959,0.08299311268693724,-0.08659553093026262,-0.17744326743971658,-0.0031111508409704986
PKC,0.02666656487078053,-0.6695043870427598,-0.35192672718022927,-0.1341201205013648,-0.3947927406378265,-0.6813463913267631,-0.4886029589085967,-1.023820593608832,0.004229945457207193,0.0662336289949969,0.12253138612579617,-0.017870261026381107,-0.1166544464760407,-0.23915657564367832,-0.016892324553241373
p38,-0.39442206238952504,0.039383486560797994,-0.20490149719311856,-0.43496987975533064,0.29403294306781724,-0.030964288890733476,-0.002505739973936819,0.19613547163823838,-0.851866108194491,-0.47947763037609775,-0.15590874043452532,-0.3619030083712704,-0.13156588967112684,-0.28561314712357744,-0.2801864282770103
JNK,-0.016504994351766625,0.11642906239214956,-0.45718938055059494,-0.40975345152685244,0.22697040969220897,0.04827003393772503,0.021928987938742015,-0.24529499045490313,-0.3590259402118057,-0.7474073057017016,-0.05039921702962803,-0.3571052310917461,-0.32844087568795544,-0.3680553511033523,-0.1282738188044469
Aurora-A,-0.9319028480387443,0.7210068980261288,-0.041602760429443233,-0.36572730696628186,0.5145925885230058,0.28091500747624787,0.24075694632553005,0.29649898340492387,-0.208806537349933,-0.2620483453631583,-0.9281966355932829,-0.4707624231740453,-0.16238901312303722,0.010642356266230307,0.0936476245136748
RIPK1,0.2786952002292671,-0.3806793395645354,0.06572993262099049,-1.4627054486827253,0.45848135073901125,-0.2047850974477307,0.2795579147539235,-1.9548523617857874,-0.685803242405953,-1.2691293083204298,-0.8155670851158132,-0.7691849515882205,-0.8587642838541637,-0.7392119347677459,-1.628790736877271
IKK2,0.24770991649429405,-0.015459220235280742,0.04401699916469565,0.030007550489495216,-0.14473898874876132,-0.25933118658862764,0.16129595481316733,0.41154012108632937,-0.3605731525230907,0.05814025837028482,-0.14146921737023432,0.49007643032361176,-0.9853779388194949,-0.03059401939842,0.0058191914427591016
JAK,0.25420187742659295,0.7505100329184474,0.46042948217786506,0.2802277496316633,0.5282798757011424,0.08976452326081227,0.5169241797564885,0.5591842443732981,0.6791138386172587,-0.14045256653162724,-1.1639679523906992,-0.4561242773511758,-0.4671858199406664,-0.7101462774680584,-0.7166991366228267
GSK3B,-0.07668922538536188,0.008898880624134579,-0.08360917454990204,-0.08256648859400327,-0.1409041828990602,0.03044182648734412,0.15742242841649495,-0.10218538891070392,-0.20301654032475208,0.023009078365598068,-0.5849256213233789,-0.019559475714355228,-0.10571665685398783,-0.06546319500906107,-0.8206035037458635
DPD,-0.2536429535448507,0.41793301770181857,1.7202823880946354,-0.6163841809881153,1.348613861842572,1.2329103771290915,1.2174878500851196,1.1387144264341684,0.19141772007629815,-0.5035032197485114,-0.815852100150915,0.08807372362621901,-0.8057296746789511,-0.6045264915156379,-0.5745993008232086
