,LY364947,EGF,BIBF 1120,PD 0325901,NVP-BEZ235,Torin 1,PKC 412,Doramapimod,SP 600125,Phthalazinone Pyrazole,Necrostatin-5,CAY10657,Ruxolitinib,CHIR99021
TGFBR1,-0.9961154998515084,-0.6666666666666666,-0.4586958925673319,-0.5942687048266769,0.06382120504649684,0.20101500792488433,-0.018836412410919424,-0.06768586697531663,-0.14495053999403698,-0.34658614023528805,-0.9154624518795607,-0.034613072869450395,-0.2423253984905044,-0.24888903895232592
EGFR,-0.5987749304903043,-0.6,-0.6462591652939541,-0.485189518803112,-0.3040662246565756,0.06917862609705663,-0.5766678166844584,-0.175098658092551,0.039037131733688654,-0.23813511529639503,-0.24825125026842584,-0.13075373726013081,0.1600533778564093,0.4053490075956706
VGFR/PDGFR/FGFR,-0.9307576926381291,-0.7142857142857143,-1.0673720280256302,-0.9400605145664339,-0.38153826942653696,-0.14868637932281117,0.022425850740828684,-0.1565111298027073,-0.2196228856144508,0.30929830927024726,-1.1378028394635598,-0.1034302381991947,0.2880432173962055,0.06693073931723395
MEK/ERK,-0.7011397513302116,-0.5769230769230769,-0.4466136796639413,-0.9620627227909094,-0.11262424641394338,-0.1478784428363537,0.030188561954396474,-0.1919352937546263,-0.1426134367246142,-0.23853391731415352,-0.65070843328117,-0.096258151599545,-0.03483974611822126,-0.16466494667992293
PI3K/mTOR,0.10816721498588283,0.21311475409836064,-0.06843984581049808,-0.06085923519920891,-0.915469668683809,-0.18509018726817306,-0.11021256679347999,-0.009601074913115609,0.01443458604788934,-0.08969589515197221,0.2188087678827314,-0.27938302358484546,0.06752494067442617,0.06786584086294078
PKC,0.06381741179112503,0.19148936170212766,-0.12264500248575483,0.020059590474361236,-0.06564015358196869,-0.3905931221542718,-0.8980362394001824,0.07216953756072846,0.0658128055476773,-0.34419668367256784,0.20679389654250754,-0.12925585232170836,0.06616186641578779,0.09270652127401255
p38,-0.35390876846033575,-0.3157894736842105,-0.46871656582294613,-0.3593456702531162,-0.03226579048311533,-0.39150705667316377,-0.03552749917301902,-0.5822215937525808,-0.2625942757063578,-0.3611777218872792,-0.44247090905845465,0.05309961263627935,-0.17067643932877877,-0.14148694480201315
JNK,-0.3457579626191694,0.1111111111111111,-0.2693998221411775,0.03229942709601833,0.47787578068206876,0.0944723355701592,0.3758580431428486,-0.34156228615266626,-0.861097970339904,-0.1884893119006329,-0.2954605534106321,0.3324837640332954,0.16963847497360296,-0.4804308872028661
Aurora-A,-0.29261005217640107,0.0,-0.5817919100331695,-0.47054317447211513,-0.58680102308892,-0.5034027542619021,0.21810213696497546,-0.10565768892120522,-0.18727429965725653,-0.8351480844279962,-0.3296556480594924,-0.47884073728813137,-0.15416426088394078,0.2893396565965273
RIPK1,-0.9365009595841787,-1.0,-0.930862947885507,-0.6886280330872114,-0.0019577006190662606,-0.1838771639207465,-0.04613466169412157,0.295767343574021,-0.28045346589396725,0.6146908916719196,-1.2788472882328619,-0.6595537528391479,-0.14621427182680613,0.07648869970259335
IKK2,0.0010062608621537307,0.3333333333333333,-0.4247307394031384,0.1452548550489239,-0.5490501378049406,-0.28061343751997325,-0.10943781663931736,0.344900348448813,-0.43391660108546265,-0.203856485451098,-0.005014566716374174,-0.7601873804860496,-0.021683050103896997,0.3611395886273849
JAK,0.7494769822793148,1.0,0.8220526709811966,1.1774820634595817,0.2250238279876826,-0.40464138457020954,0.3346256349262663,0.48918705548257413,0.360648791194688,0.5125344818266075,0.8223704276494386,0.9741796087322618,-0.36264330372450826,-0.3897674076209054
GSK3B,-0.11198611211471442,0.2222222222222222,-0.20797471376410814,-0.06092999111956216,-0.16848447898297333,-0.1218595780249834,0.13040646020046762,-0.03053664192721974,-0.017972162933222048,-0.3324816668578301,-0.07197618274503412,-0.23442070381398988,-0.10818318204093333,-0.8390522472546835
DPD,-0.33584176972687907,0.07060383684273083,0.5364304384866281,-0.01250909954657177,1.3817914114660732,1.6258965263151242,1.414976251897951,-0.03412397658336961,-0.013908468322441796,1.4225368019774811,-0.09611786336957534,1.433742033041866,0.10139720973020729,1.7923423207725364
