,LY364947,Erlotinib,Gefitinib,BIBF 1120,PD 0325901,NVP-BEZ235,Torin 1,PKC 412,Doramapimod,SP 600125,Phthalazinone Pyrazole,Necrostatin-5,CAY10657,Ruxolitinib,CHIR99021
TGFBR1,-1.0550526938081395,-0.06468030291805381,-0.1900090031549447,0.12894308733600932,-0.665073156287925,,,-0.6878034898336448,-0.38137361382306517,-0.2862984616672924,,-0.6491513714311902,,-0.04123485311214115,-0.5203332026649138
EGFR,-0.25979200590001245,-0.9559449999446507,-0.7683944483420053,-0.28841185991636314,-0.4639751757726674,,,-0.09151621919117023,-0.14542474811269707,-0.6012373580974997,,-0.25324155414354366,,-0.41933254202264203,-0.04214962181064206
VGFR/PDGFR/FGFR,-1.067604369455685,-0.4746514811890287,0.007471793574867032,-0.9829658599369926,-1.01321074634382,,,-0.037703140277520295,-0.9449948612004586,-0.6547852599815507,,-0.7207012134684222,,-0.15161016238534605,-0.1525248522378173
MEK/ERK,-0.6931508264201132,-0.11020381832936714,-0.2659268345637949,-0.17535933879819401,-1.0148438220150884,,,-0.314761526857617,-0.22096890695741342,-0.19761465052625862,,-0.5294222235101557,,-0.15191543519521578,-0.3037567782433051
PI3K/mTOR,0.215124727107489,0.07105278726433636,-0.03877279567529256,-0.24199437515999156,-0.0732716438712793,,,0.014559144419675823,-0.20138263836263814,0.014658812465003047,,0.0779670280398406,,0.028846692200511587,-0.09720144446887247
PKC,-0.016468348564878825,-0.20093427428198826,-0.12816926931038244,-0.14187526534134806,0.043584807932462076,,,-0.8805220901420072,-0.2136745611184014,-0.08555708965176116,,-0.0698694935634469,,-0.23849891052935462,-0.5147908871670863
p38,-0.42622467085586235,-0.08726584279263276,-0.17235549484099624,-0.1228942769175274,-0.2725236592463906,,,-0.22916626209273802,-0.7559587027460288,-0.2226388161463215,,-0.1371028105148909,,0.05111522871103416,-0.21052754127375528
JNK,-0.5952365057133456,-0.005299782889920872,-0.26717429116393654,0.10565757975000951,-0.08439276197017524,,,0.15447540654484185,0.15844057743367254,-0.6529467361413249,,0.5052596265872416,,-0.09769162707645011,-0.40498135328080315
Aurora-A,0.052516009937756306,0.06355540633403298,-0.29945612489961015,0.2613278449717969,0.17743542821435448,,,-0.24950967816508854,-0.08822178162158634,-0.09794347910470529,,0.14778285774546368,,0.19790705857989194,-0.1389496813020934
RIPK1,-1.038008261858534,-0.0625001392362948,0.2911540885625012,-0.7785482651593234,-0.8723201926191374,,,-0.07028240665179704,0.24915504628349563,-0.20140372172466084,,-0.7833969929683026,,-0.24777355297414766,-0.04507432879184268
IKK2,-0.22289524219991025,-0.36878181178576247,-0.5782571727272692,-0.43181344144797734,-0.18368192710972342,,,-0.7021336799229881,-0.8187543742400203,-0.32568862976304636,,-0.6176802330935852,,-0.12179025305448787,-0.3029062540348161
JAK,-0.05903691248539478,1.3256751233590336,1.0254931351200374,1.3992525644018983,-0.5483646592858774,,,0.33663475318844616,0.510756943543945,-0.28635583526709507,,0.19779585483064777,,-0.5589869118391394,0.15982971113376032
GSK3B,-0.031358877460384335,-0.13173302436005055,-0.13233469905128714,-0.015009180803387867,-0.159050718378593,,,-0.3023977541876074,-0.2823873843653172,-0.02982185265670804,,-0.11903035719940228,,-0.1676136296813295,-0.9189447834388196
DPD,-1.666846136751552,0.08095800960410862,-0.5018793201122581,0.7324061299499255,-1.9686303100846716,,,0.6938419167591355,-0.16602012454067386,-0.147268614567106,,-1.8727497462590572,,0.20286516910094526,0.6462247478123694
