,LY364947,Erlotinib,Gefitinib,BIBF 1120,PD 0325901,NVP-BEZ235,Torin 1,PKC 412,Doramapimod,SP 600125,Phthalazinone Pyrazole,Necrostatin-5,CAY10657,Ruxolitinib,CHIR99021
TGFBR1,-0.95110685324538,-0.192742960466274,0.020766111725513427,-0.39522475771284454,-0.33150824399777074,,,,0.030678074830975646,-0.0009560617734097471,-0.6814609704859348,-0.5731789366816015,-0.05441661593388339,-0.024216252414814173,-0.7040478320325231
EGFR,-0.054753105013410575,-0.6026229389949704,-0.3533578138822861,-0.37376520739674873,-0.474166792828869,,,,-0.1364259203666579,-0.36692013729888984,-0.15745868262766338,-0.34127115833826427,-0.2850735862491906,-0.4040537693993368,0.2972903903749171
VGFR/PDGFR/FGFR,-1.2129625906820303,-0.2645757257670821,-0.18779088421095144,-1.025120303767846,-0.5875594651770061,,,,-0.3963414576149504,-0.2982673786906971,0.14571070900821287,-1.0236005220677542,-0.6305477322648565,-0.2795688321647721,-0.20914527061900312
MEK/ERK,-0.7044896313111136,-0.29750480077704705,-0.1615728115783506,-0.24692599754906386,-0.8526007572446684,,,,-0.09953321114706191,-0.14329835444799988,-0.4203521821968904,-0.6511451744630945,-0.5045512868376458,-0.2171278521339962,-0.395048004600888
PI3K/mTOR,-0.08504720692116524,-0.11235143619617656,-0.15628434764537816,-0.1741373285273611,-0.0461300808585866,,,,-0.08618698615680405,0.013818895184786184,-0.3158495556027748,0.10772310613746806,-0.18348049152014548,-0.12716606167046124,-0.1904227615875821
PKC,0.07479423477202793,-0.019334941535451074,-0.06895132865473334,-0.1309129818671787,0.014102935752553286,,,,-0.16484960449476574,0.11904989175441606,-0.1083687702209577,-0.048410025207149744,-0.17574969976436597,0.03722336673948081,-0.06926577011629981
p38,-0.49646173029984636,-0.21112092204889543,-0.17250429105251278,-0.0298676410517193,-0.5131702431396906,,,,-0.8304819081636128,-0.46347368473569334,-0.3322965569514779,-0.49707175085925376,-0.35464230739328584,-0.25025122861639293,-0.4805714493873026
JNK,-0.5355457922651918,-0.17435161935967727,-0.12945334497926192,-0.32783614926086524,-0.4998477382586558,,,,-0.4110238143582227,-0.7124633786370214,-0.48464124745402476,-0.5921051922006423,0.5747894105679285,-0.36776934202375106,-0.9267625237623187
Aurora-A,0.18391082606881046,-0.009959437548214767,0.15612203321038878,-0.42558304063739405,-0.18064389422436855,,,,0.12315569080727398,0.007057803506082837,-0.6927223437709924,0.05495829028286582,0.04195263491801701,0.013507848291027968,-0.05180838372150301
RIPK1,-0.9032094455634333,-0.19460239607911783,0.05412683928124469,-0.24917360064912505,-0.9843874369261352,,,,0.15950705687886874,-0.39536282723752403,-0.15018129131425778,-0.9180922470765596,-0.7099452754786826,-0.26445987267840787,-0.5151310857473653
IKK2,0.4201763234766158,-0.3190124018810025,0.05065861899289072,-0.31786400425382577,-0.10877155928441626,,,,-0.13662428021322093,-0.09832748894094705,-0.4302677395184536,0.17703469767140703,-0.5712020656628046,0.23891642715172898,-0.7394167092923524
JAK,-0.07437768560807584,0.8521290073519553,1.251104344719477,-0.004084719474753862,0.7090723199359052,,,,1.197679057032453,0.3132006974309623,-0.08603753551969107,-0.8038289062896344,0.0644266179652514,-0.11730435803392847,-0.06781189224568768
GSK3B,-0.0365680533691692,0.00916479882873624,-0.1770317349528889,-0.12942448165549406,-0.2703738721548626,,,,-0.17255517845339188,-0.03423258055300988,-0.36113826663930415,-0.12199004710988347,-0.11653284245133995,-0.08508407508553548,-0.8389225356372665
DPD,-1.1366572866650333,0.6621643415283858,0.7926795601027808,0.8479955503018611,0.30184767036036353,,,,0.5848427193578164,-1.8712604060823153,0.8706362531754128,-1.1526544529392233,0.9183743832454893,-1.4627639080432793,0.9048930517325013
