,LY364947,Erlotinib,Gefitinib,BIBF 1120,PD 0325901,NVP-BEZ235,Torin 1,PKC 412,Doramapimod,SP 600125,Phthalazinone Pyrazole,Necrostatin-5,CAY10657,Ruxolitinib,CHIR99021
TGFBR1,-0.7405901449013561,-0.4055692612110747,-0.08130740142839768,-0.6004782234814328,-0.22272658206571178,-0.5259891469316134,-0.512400085302183,-0.8002146986240835,-0.46643411236672366,-0.44851220763799377,-0.4397233875939377,-0.5512341851821267,-0.6496684787290742,-0.5142232126845065,-0.5006995037810366
EGFR,-0.09488014346458244,-0.8514218122989847,-0.5223983919482408,-0.09453015972183049,-0.23759325177166063,-0.14969739722631353,-0.2826008866796572,-0.3491907319250122,-0.26805160148308077,-0.14396136247379415,-0.05530443828997609,-0.075135406885715,-0.18698834849491403,0.100308147258694,-0.1598290128393403
VGFR/PDGFR/FGFR,-0.2597108885397688,-0.3309486285791918,-0.14088032846028298,-0.18764343287379437,0.029342149424009367,0.016121864250818855,0.053738480873042706,-0.7876800843178908,-0.1263598463292612,0.09161370818089105,-0.12763138579124822,0.07787148861683077,0.21479636490839468,-0.0075445675020907365,-0.11724861626759579
MEK/ERK,-0.13388810478590754,-0.4540134419911776,-0.2100757192199788,-0.17729768912509092,-0.7121926539989976,-0.16030711968297492,-0.07040149011601293,-0.2702161011749763,-0.09305343476349655,-0.04476756854310234,-0.1785338342520515,-0.11353092639633462,-0.185064805089339,0.053612770147274454,-0.0709632482816828
PI3K/mTOR,0.3539852085738154,-0.21422150718609498,-0.24629388142114905,-0.12621951161188255,-0.0518165705723935,-0.7581212900412374,-0.28982209270468956,-0.25753997134269685,0.17800405595493665,-0.0716096709159193,0.05019001786009751,0.13013472921105082,-0.12804250188943692,-0.12101486796305597,0.2701001874205343
PKC,-0.27909361523737164,-0.2569725152131105,-0.2028517369929307,-0.1784666028416316,-0.1169129949317191,-0.24767279975686587,-0.2505734022485074,-0.8754073661309826,-0.23791775247920866,-0.41168010200302935,-0.2445178329079111,-0.24869446464844883,-0.2480278630231614,-0.23758351940120198,-0.28215601187068085
p38,-0.616567316373903,-0.4589145778244643,-0.21679335717144885,-0.28225405782982615,-0.446465868706594,-0.2945855579706868,-0.21641994744313012,-0.310600545735938,-0.6328527356649242,-0.4006352649189132,-0.5186816782771126,-0.5470023717211273,-0.18747736036491083,-0.18583514730743825,-0.5815862572328738
JNK,-0.6651340259090718,-0.6468492674246712,-0.30441235496311264,-0.38906704972317385,-0.8515408452545383,-0.14284394338664944,-0.30612960722964155,-0.2974977467206278,-0.2932499562364781,-0.7312925837649179,-0.6836128502971787,-0.6924491691519131,-0.6203173574807477,-0.29438611217278615,-0.4614287151368903
Aurora-A,-0.9293117947586207,-1.716086657663824,0.5031826939639844,-0.6679344439395841,-1.716086657663824,-1.0667437608842214,-1.255190069095193,-0.43051070688453247,-1.4621932503066857,-1.716086657663824,-1.6083894975742612,-0.9768123131942283,-1.0106374477007545,-1.293865687762155,-1.5260433442348262
RIPK1,-0.6402833011956524,-1.5235596225381425,-0.6390497749481571,-0.6313910969958128,-0.46442576470082597,-1.0910495384184526,-0.8728144235515433,-0.35204966486458533,-0.6671223866413099,-0.7436456056957079,-0.7341338100801966,-0.9109252771215443,-1.0785513630586736,-1.058406974508593,-0.3995907101922651
IKK2,-0.6902199302119458,-0.6858336378198606,-0.6560472662926778,0.13850306122804568,-0.789056994578417,-0.647069289550217,-1.4653548523779345,0.44956831739907943,-1.1464324929226333,-0.5359246883397188,-0.6601236041289333,-1.3944368355510537,-0.6049341965727723,0.2746180699945867,0.08255888032788583
JAK,0.05099688556736576,-1.0162547789357967,-0.28761625249334094,0.508643748941727,-0.6289964595613107,0.8401855605172482,0.6551835270600679,-0.2896101136507296,-0.28764665120004473,0.38382365612761704,0.16473766902016931,0.27535504926912735,-0.6090382189784831,-0.7768396521939018,0.09019245148420652
GSK3B,-0.7341952276731213,-0.34209510564276185,-0.16099975841074107,-0.3901168415234266,-0.48921243510356244,-0.3009801284722433,-0.24872037222486015,-0.2755190710297589,-0.4835722636589866,-0.471142285011094,-0.5974494798708977,-0.5375314863161866,-0.2775132398466265,-0.2165078819467467,-0.8232163287472795
DPD,-1.1591986046731915,-0.24706627628636435,-0.9642103834205324,-0.5402491671317409,-0.3162216247954958,0.37441127907671,0.4387427123701731,0.028318747554203893,-0.5828525813551725,-0.4150586367735388,-0.4898061155132898,-0.892469650866806,-0.5295229489365101,-0.5073823702869701,-0.40534664378889296
