,LY364947,Erlotinib,Gefitinib,BIBF 1120,PD 0325901,NVP-BEZ235,Torin 1,PKC 412,Doramapimod,SP 600125,Phthalazinone Pyrazole,Necrostatin-5,CAY10657,Ruxolitinib,CHIR99021
TGFBR1,-1.0402197170606506,0.09065230351353397,-0.48863318930608735,-0.0746515011403875,0.10490970501801238,0.16801711437752984,-0.17691544046496904,-0.31184035611755445,-0.44605649735177444,-0.31883718849106835,-0.29483615098013544,-0.4564769363398685,-0.1901022844647574,-0.38314800671632165,-0.35759405902656594
EGFR,0.2586656795794953,-0.726038035840831,-0.3683718531726793,0.37021154526897576,-0.3407951679863298,-0.2484230878222294,-0.06708772960260899,-0.24092083628875596,0.14246687903865254,0.1648042993157697,0.21838616894093482,0.22725284270705792,0.2768937558781867,0.4517309511898879,0.45730219252112103
VGFR/PDGFR/FGFR,0.01965653355493432,-0.03442153576385628,-0.3679291658709096,-0.5045111828871253,-0.11873504445658158,0.3133232266064829,0.22877755177310752,-0.02319841473315339,0.10258453924411393,0.07371746123434822,0.09789187724529676,0.2756607182591588,0.19564694723618817,0.12917512912492204,0.26980691881637225
MEK/ERK,-0.007194752413370309,-0.40405709963627323,-0.5850562184928241,0.10903665250413305,-0.8694724188543944,-0.25523139259879885,-0.2615449324313255,0.04191815202611345,0.04310269474871979,0.07965134842556937,-0.2672603917260332,-0.133283496940863,-0.1620325889331728,0.08953346768184985,0.33943442220683145
PI3K/mTOR,0.3863452500228516,-0.230498614665234,-0.44374427208226347,0.2746149460190854,-0.4436442501198321,-1.006908438609452,-0.28741437268337156,-0.324808801463552,0.28320153021275296,-0.09851773647160358,-0.17133194206390545,0.10779730041856289,-0.4213716996854552,0.3694338363721361,0.4516831650178692
PKC,0.009024818906065499,0.1367625601913204,0.11983081847696826,0.06339218933012451,0.29272411112935093,-0.07065752560311178,-0.11804997285086924,-0.8390795632700149,0.16852068770782808,0.14298553812365125,0.07141204129310583,-0.0388594472605015,0.0637802166308977,0.16070716684624756,0.19072736924253428
p38,-0.601544595051702,-0.08005698093694626,-0.15453769918013902,-0.43612009441143473,-0.10238095677132872,0.07785839566897139,-0.05307754799619919,0.0539358856785399,-0.8343189844774367,-0.3999810626944833,-0.011387956660467734,-0.019551561420499165,-0.01447898126689887,-0.6151423536749759,-0.664234554611999
JNK,-0.15644345099505494,-0.11819196369980949,-0.14488162179212558,-0.2645871550464149,0.07551485877549736,0.09873372803332363,-0.439893257141804,0.3035387623849281,-0.2751726852488419,-0.42133850135167356,-0.19116746098179296,-0.4464470468561934,-0.3413701764753175,-0.4350118581765439,-0.2591882757856669
Aurora-A,-1.061927851999099,-1.14992847003595,-1.4125075210995661,0.8349888350307767,0.9118548908490627,0.9811300071587153,-1.1005117951601284,-1.1005117951601284,0.0958417128133101,-1.4734146091180436,-1.5388764306836098,-1.2552812316041078,0.8697320855988574,-1.1978599542282218,-1.5947903411090665
RIPK1,0.4745172822227565,-1.2223837851549961,-0.0909984996602064,0.7899596284845651,-0.630113099875661,-1.1452066567616654,-0.7608131157864522,-0.5971034836675687,0.5518191616532112,-0.040299296400800044,-0.3672476236056973,-1.1904994373483682,-0.19957638508621223,0.30335888466537375,0.035685640081456
IKK2,0.3522129794489864,-0.18045853411123114,-0.861498475151894,0.878737175805203,-0.5412210576741749,-1.1790659160079915,-0.3687314583888455,-0.15643823695768627,1.242782825149677,0.1033289593114522,-0.050875361772684854,0.8674600316478863,-1.1790659160079915,1.1051966944099099,0.798238025446399
JAK,-0.3317568098252554,-1.1923078232362072,-0.5454403038100154,-0.2515483444595568,-0.23478609972368691,0.20513634566682926,0.9816569110894083,0.7029453409746508,-0.29095409108133774,-0.004375437925643322,-0.7949409834221437,-0.36002636980302677,-0.07372953211749339,-0.6163693997052362,-0.6190300523133047
GSK3B,-0.3167724855729555,0.012044552238231948,0.04789065365296508,-0.30506331277329124,0.33598602459294674,0.26042050984068776,-0.030668294392908253,0.012805796249603754,-0.42708990084522225,-0.3337837896780996,-0.014314374891715012,0.10448879352570817,-0.04724363002002404,-0.5483176877601219,-0.8577543720683278
DPD,-0.36418604095213697,0.9987655820961717,-0.16674956606585128,0.1282047269507361,1.4255917458071512,1.1002518334473848,1.1615312308755523,1.295729393940788,0.8775939812751113,0.12114269796668886,-0.3310367220930321,1.298318534667474,0.02966470072591144,-0.06165816023830434,0.5719259529557312
