,transcr_targets
ROR1,ZNF281
CDK16,SMARCA4
MARK3,"SMARCA2,DDX17,DDB1,RAD21"
NEK4,SMARCA5
BMP2K,RUNX1
PKN2,MED14
MAPK15,"JUN,NFKBIA"
NEK3,"TOP2A,CDCA5"
PLK1,"TOP2A,RAD21,MYC,KDM1A,PLK1,CDK1,PTPN1,CHEK2,STAG2,FOXO3,NPM1,TP53BP1,CCNA2,PPP2R1A,BRCA1,HNRNPU,CCNT1,PIN1,YAP1,TP53,FANCD2,SMC3,MAP2K1,FZR1,AURKA,IKBKB,SMC1A,TOPBP1,ATAD2,SVIL,BRD4,SUZ12,XPO1,PSMC5,FOXM1,PTEN,YY1,CDKN1A"
LCK,"TP53,CBL,MAPK3,PRKCD,EGR1,PPP2CA,STAT1,MAPK1,PTEN,NFKBIA,KHDRBS1,IRF1"
CDK4,"PELP1,WDR77,SMAD2,MYC,RBL2,CCNH,PPP1CA,DNMT1,SUMO1,NFATC1,CEBPB,CHD8,SP1,TCF3,MDM4,STAT3,RFC1,TRRAP,PARP1,CCNA2,MAX,BRCA1,ATF2,TP53,CCND1,CDK2,SMAD3,SMC3,SKP2,RB1,JUN,CDK6,FOXO1,FOXM1,RBL1,HSPA8,CDK7,CCNE1,TFDP1,HSP90AA1,CDKN1A"
MAP3K6,MAPK8
FGFR2,PTEN
CDK17,
LATS2,"CDKN1A,SNAI1,YAP1"
CAMKK1,AKT1
NEK9,SVIL
MARK4,"GSK3A,SMARCA4,MAPK11"
MERTK,"AKT1,STAT3"
IKBKB,"RELA,RPS3,FOS,BCL3,NFKB1,IKBKE,FOXO3,CALM1,HSPA1A,RELB,NFKBIA,HSPA8,IKBKB,PARP1,TUBB,SMARCC1,HNRNPU"
MOK,"JUN,MYC,NFKB1"
CDK5,"CDK16,HDAC5,MYC,PPARG,PPP1CA,DNMT1,ATM,STAT3,NFE2L2,CCNA2,PPP2R1A,BRCA1,TP53,MAP2K1,HTT,FZR1,CCAR2,HIF1A,RB1,GSK3B,NR3C1,FOXO1,CDK7,STUB1,CDKN1A"
MAPK7,"PPP2R1A,PML,MAPK7,FOS"
CDK8,"SMARCA5,STAT3,SMAD3,SMAD1,STAT1,CCNH,HIST1H3A,E2F1,TOPBP1"
PKDCC,
ALPK1,IKBKE
MAP4K5,GSK3B
EIF2AK2,"RUNX1,HTT,IKBKB,CHUK,CDK1,TP53"
MAPK3,"MAPK3,TOP2A,IER3,SMAD2,MYC,STAT1,PPARG,MED14,NFATC1,GADD45A,SP3,CDK1,CEBPB,ERBB2,SP1,STAT3,RXRA,RUNX1,SREBF1,FOXO3,PRKCA,BHLHE40,CHUK,POLR2A,NCOA2,ATF2,CDCA5,RPS6KA1,TP53,CCND1,CDK2,RPS3,ATF3,SMAD3,CAV1,EGR1,MAP2K1,PML,KLF4,FBXW7,ELK1,MAPKAPK2,E2F4,NFKBIA,GSK3B,MAPK7,NR3C1,NCOA1,SMAD7,MED1,BCL6,FOSL2,JUN,ETV6,FOS,MAPK8,BANP,FOXO1,CDH1,AKT1,EGFR,GTF2I,SMAD4,PTEN,STUB1,JUNB,JUND,CDKN1A"
JNK3,"JUN,TP53"
DYRK3,"H3F3A,CREB1,SIRT1"
SLK,"CAV1,CBL,SVIL,KHDRBS1"
PDGFRBETA,"CBL,LYN,PRKCD,STAT3,EGFR,PTEN,MAX,PTPN1"
AURORAB,"TOP2A,RB1,XPO1,FZR1,NPM1,AURKA,FOXM1,PLK1,CDK1"
