,norm_vec,s_vec
TRIM16,-0.013158267350780233,-0.016737153914713306
AC006058.1,-0.01111283616503133,-0.005275715679638351
PTPN21,-0.0013438517726313318,0.004348034145279315
RPS25,0.004110908123829607,-0.0006136352971338126
VPS33A,-0.001227295923698418,5.084752242715548e-05
BIRC7,-0.00020556014874100563,-0.0003202168787003393
TM4SF1,-0.03701400930647991,-0.013058136200062305
RALGDS,0.0029565295486323083,0.007756181665015211
TMEM206,0.0006918089855024668,0.0013105761041505408
UAP1,0.0029664353938723587,0.004728918550753512
BAG2,0.008147335435554511,-0.009399639550542667
UMAD1,0.0012266667543391029,-0.001785683302143158
EXOSC6,0.0048238548228805205,0.0013840541004972538
PPT1,4.523983400175256e-05,0.00010946644046232259
LONRF1,0.0007347193616899374,0.00014334760467305446
C20orf27,0.01368091104115006,-0.006857793435426106
CBY1,-0.0020699642212982958,-0.0027230360601442558
JRK,0.0011947996454514506,0.001267504135235493
HOXC13-AS,-0.000639852261636102,-0.0010165632410140976
DEGS1,-0.005895364813344139,0.0007773434578704657
WRN,0.01102198879750693,0.0030422906755127516
SNX8,-0.004849566519657399,-0.0011216029827289488
GOLGA1,0.01233859377636639,0.008872559601700108
SCX,-0.0012629939103151494,7.241929783060783e-05
CCNT2-AS1,-0.0007882857556315467,-0.000664920918080055
ZEB1,0.010577294902723144,0.012497191922657754
RBPMS2,-0.0005128159889338676,-0.001378309096360061
SCD,-0.005568249875987115,-0.007300259793998283
SLC35F6,0.0047785270903404325,-6.57261966654968e-05
PPP1CA,0.019149178450388504,0.011092555304546106
ADCY9,-0.002148002751726627,-0.002416977307425024
SRXN1,0.00027217685256171394,-6.221637415428991e-05
TRAF3IP2-AS1,-4.568692936741287e-05,-0.0013755124856319695
TMEM147-AS1,-0.0030751425571909994,0.002776724043594158
DIAPH1,0.006687877829662487,-0.002640706390819316
CACNA1G,-0.0027042822504007697,-0.0012717413487304385
CNOT2,0.010785360630968986,0.0068814187935876455
AGBL5,-0.0006454264050720806,-0.0015622393678027472
OTULINL,0.0017196007739910743,0.0020148150309344873
LRRCC1,0.006378119172561208,0.0029101015084073323
RAD54L2,0.0010625931700817112,-0.0007128248034629874
AC092378.1,-0.0016839972703033231,0.0010460685805561633
FANK1,0.0008759930227491459,5.6876504585589914e-05
ABTB2,-0.002177443670916594,-0.0015019798155652714
ATP13A1,-0.0017171977221386787,-0.0007848488035674144
MYLIP,0.0017698617227185224,0.00150785004045559
FDXACB1,0.006424465657657548,7.052376880916312e-05
GPAA1,-0.008847334406924636,-0.0015803379154606721
FEM1B,-0.0022730459068525735,0.002279153322926512
NUP153,-0.011269382727413312,-0.008078102351115439
ABHD18,-0.0017752946751570262,0.0017949243384204835
ZNF512,-0.0031064013473390824,0.0002617518534009034
SMN1,0.000785207903121336,0.0004968196869804163
PPP1R26,-0.002387030093300974,-0.003516316919764643
SEPT1,0.007191717869060815,0.003969246571038376
LRBA,-0.0008204631732785108,-0.0009513818026878943
POP5,-0.0007501382361331865,-0.009603435216850703
KCTD13,0.004124473092773013,0.002037200925275149
ANGEL2,0.01718001244529828,0.007194400455480393
TRAFD1,0.0038780504113755305,0.0002643074283182765
SLC23A2,0.004016358605534514,-0.0018038440578693432
TMOD1,-4.287211028596659e-06,0.00033203842958977813
USP54,-0.0022023793633252193,-0.0008468093013005438
EIF3C,0.01031346596499721,0.0013916444106797919
IFT74,-0.004480500105396976,-0.003456692540633296
HOXA2,-0.000745484969436204,0.00040708385260172076
C1R,-0.0011072208867110858,0.0016488925637080734
SPIN2B,-0.004943826529357463,-0.0008163010476923401
CD46,-0.0013176854199019265,-0.0029966458437928343
BLOC1S3,0.0032784621213223235,0.0009745606009597304
AGO4,-0.0006980213667189147,-0.0010479476893437167
PYCR2,0.0017478727698461256,-0.0041872097115973955
PFN2,0.003076416056176645,-0.004083400800237119
AP1S1,-0.0025538940241490735,0.0014961336937541132
LAMB1,-0.0010749766515997722,-0.00014040377657594953
AFAP1L1,-0.0012129066808747784,-0.00011709523024539414
CSRP1,-0.03182900961227163,0.0007945383529188966
SLITRK5,0.00042551512507477666,-0.00013441096204932427
WDR46,0.0009331060970361826,-0.004346981287088353
RAVER2,0.005125794883530543,0.00030911882544487347
ARL13B,-0.006909918402800126,-0.0046735479768438715
PCBD2,-0.002557347876710272,-0.0037494190992754584
SUPV3L1,-0.0012932627949938545,-0.0013226835719470217
EIF2B1,-0.004997613469184907,-0.002104787394825372
HASPIN,-0.004096974842066325,-0.0007386240550825771
KIF24,-0.004976210503043781,-0.002169954991799834
PMVK,0.008215057126026487,-0.005374854128092806
PLS3,-0.03416521747912916,-0.02460574421833224
NAAA,-0.003209634095279016,-0.006704745449151161
TAZ,-0.009977253828583776,-0.003914900042057349
TPM3,0.010516295791310212,0.007009421216442743
MIA3,-0.0006022811324448319,-0.0003533529726814021
