,norm_vec,s_vec
SLC29A1,-0.0016953668464561094,0.0019017640264276103
MLLT1,0.001476514656715912,0.00041128001087265437
SNORC,1.7767843318235124e-05,0.0008886151040007241
GNPNAT1,0.014971898206020271,0.004761705516345569
B4GALNT4,-0.0005771169289468553,0.00015630634846736574
PNP,0.018436591270919053,0.01134354169550335
BRAF,-0.003684989586334896,0.002974762706770696
DAZAP1,-0.017018805010184344,-0.009292430763316753
DHX32,-0.007821222896167726,0.004849813898831846
MEX3D,0.004790673956714877,0.0012198452465213615
ACAD8,-0.0028040950153343978,-0.001983582613201122
AC003102.1,0.00036346016120173633,0.0007603690826478435
GSR,0.015513462354981716,-2.927488813197063e-05
ARHGAP44,0.000995914890366386,0.0006100970204555004
HLA-C,0.019766008445568375,0.02081005117083878
PDGFB,0.006428521212432719,0.0029783047228243115
TRAM1,0.006972188110864653,0.03197863867541965
RASSF3,-0.006669074726724109,-0.0016500156856089554
COX5B,-0.010843295366677295,-0.007520783218805858
AL731569.1,-0.0006532947721893493,0.0016142641975740565
PAXX,0.006698371873974682,-0.013993450340916697
ITPKC,-0.003807052996432143,-0.0022470143687921256
TMEM205,-0.0014283018360083442,-0.008152339038678673
OGFRL1,-0.02071527890640077,-0.016372086416724566
FAM69A,0.0012018403855019414,0.002229859015008292
STRADA,0.000430490431093131,0.0008608473666285993
ZNF85,0.00349559991803926,-8.936489278435116e-05
DOCK7,-0.0011216177693601165,0.003039667346753338
MRRF,-0.00862305144560353,-0.001767700076385741
KRTCAP3,8.15193645461545e-05,-0.0017143567862067542
CAVIN3,-0.00019978663352992107,0.010210085677185055
MGA,0.010954356881453917,0.00570271408489705
RNF121,0.01337682316326111,0.017007779399008147
JMY,-0.010447305938022384,-0.004439372498337248
AREL1,0.008516552858048965,0.006075726322412848
MAST2,0.002089774586849527,0.003904296626010405
RASGRP1,0.0026545788125708395,0.0042660112830981076
AC002401.4,-0.003423392438829765,0.0001823487244256549
ABCF3,-0.006825595564164632,-0.0008083993471138171
ANP32E,0.001357767261430922,0.004084004515203443
PPM1E,-0.002682370443776917,-0.0007293654104711804
CTNND1,0.0020046287861623492,0.0021880890425303723
CDIPT,-0.001957592348758748,-0.004233058039809621
PPP2R5B,0.0014098103714682319,0.0022397064200194174
IST1,-0.00771407016384095,0.0018744077605546065
SF3A1,-0.015219728345237438,-0.008551098652476791
ASTE1,0.0021290158200352755,0.003196642339028798
ARID4A,0.014539349301082034,0.0058556924268191
DENND5A,0.005113667389357697,0.0014777249154754792
AC108463.3,-0.0009168233820706444,0.0006121034967856118
GNL3,0.009518034411999866,-0.016088859860646756
ZNF236,0.003571266170325305,0.00045628855398138584
ADPRH,0.001122094795271353,0.0003607728017016207
RNASET2,-0.00027525980348372885,-0.0018474775895677492
PIAS2,-0.0017867785755353663,-0.00025203142455290173
PAIP2,0.005302040955507459,0.004296749256605504
EEF2K,8.395287607729236e-05,0.0008441254743165494
AGO4,-0.0017423301672196449,0.0003819181393176714
TRIM68,-0.0027966678711373824,-0.0004621928777107852
PLEKHG3,-0.010979634267792113,-0.004015566234698367
NOB1,0.005696794454845618,-0.01813216834661527
MRPL10,0.00780578146933963,0.0019631759313872552
TMEM107,0.005813173553016062,0.0024128267636627366
SLC8B1,3.41002113297789e-05,-0.0007238087401774593
ZNF761,0.0029433795138347468,-0.00041432134613492985
CEP95,-0.0020546163467644496,-0.001139351629040523
NEIL2,-0.0029338171567536674,-0.005485396871819089
RABGEF1,-0.00259460742717564,-0.00033001178319950857
TCF7L1,-0.00569593927662427,0.0021380075931934847
GMIP,-0.0003225811296429346,0.00014142037992087987
SMKR1,-0.004710492626206728,-0.003753405032746784
CRNDE,-0.01522339585404675,-0.005373404263447574
GSPT2,0.004509257896928978,0.0028780704766480764
SERPINA1,-0.01049118999150048,-0.005395113549644145
DDRGK1,-0.01811244464238165,-0.008731754826089061
DNAJC3-DT,-0.005568872853121437,-0.0007942664567693915
ZNF438,-0.001949993387621094,-0.0021636533693380226
RAD18,0.0014242701782921706,-0.0029294450766844528
NFATC2,-0.0034862878220723453,-0.001715570307336513
CLN3,-0.0008622555965803702,0.0002968498258481661
UBE2S,-0.015348717634613847,-0.022552908138519723
MSI2,0.010716285613040782,-0.002234037219520784
MT1G,-0.0004783151035407568,0.0024190965628349795
DNAAF2,0.01719925495976095,-0.000725260977631907
AC009501.1,0.0025926478009586774,0.001297619227203847
DEPDC4,-0.0008598316109872306,0.0004479262005030489
AL024507.2,-0.00308165736805547,-0.0027601574629465245
ADA,0.003339527538556969,-0.0005834497302273577
NUTM2B-AS1,-0.011837488479019073,-0.001294384537085338
DPCD,0.011008138201508762,0.005692910574621186
WWP1,0.0006560750530812932,0.010454662926531308
CD99,-0.003395730113302742,0.013037535706087209
FANCE,-0.0025016657733533416,-0.0022566164665831466
THYN1,0.02110580201107154,0.00734515474928711
YBX3,0.00838621364181251,-0.01733399901270449
MTX1,0.001302393850582893,-0.012608872263444768
SRP54,-0.004581843067945357,-0.0010306282495516639
N6AMT1,0.005272768554222416,0.00047047668839906816
POLR2I,-0.0032832017511060653,-0.01169492736089751
ASAH1,-0.0012072231245834014,-0.001507861788900987
MAP4K3,-0.019575300271237456,-0.00915738295531152
EID3,0.018570042492225262,-0.0018913051086510908
NFKBID,-0.0030053417089838962,-0.0014359298806788645
TMPO,0.00798218104983569,0.00094166775069861
VPS8,0.008791704873410282,0.005410327502080271
GLB1,0.004812487838170613,0.004595912709301635
PELP1,-0.011538057098535514,-0.018829776305673153
TMEM105,0.00047776170561927703,6.904825815916032e-05
SIX4,-0.0013958889276161031,-0.00040022029268015237
GAS2L3,0.004303283482111169,-0.0026718569543666996
AC100830.1,0.0017547237118111208,0.00011269281942516043
BICRAL,0.0025782513724177574,0.000982819929629155
TMUB2,0.000624990477785761,0.0014390024485731578
ENOSF1,0.006909564588221724,0.006907486888869189
LGMN,-0.00691122629499602,0.005479934746073794
NRBP2,0.007571217397329763,0.005205957670549075
HHIPL2,-0.0020007981668689724,-0.0008281785600560279
ZSCAN29,0.0020092305970422168,-0.0014811251735498587
TCAF1,-0.0006574523172684953,0.004063832030851555
SYNC,-0.0019300951229780858,-0.00010537541827168812
HBEGF,0.0076463764080846085,0.016172543649494497
HEATR6,-0.004124458403437171,-0.0024975788745777226
BNIP2,-0.003896352245886234,0.004554934092496023
STRIP2,-0.0013134357389513376,-0.0007202890747453701
SH3BGRL,0.007131933166590521,0.007428349373972489
MEIOC,0.0004883053042615389,-0.0019776272427183637
ECD,-0.0007108789736515442,-0.0024644526055749077
ECPAS,-0.0037396698083078926,-0.008373004775896137
CDON,-0.0030859638022406126,-0.0008999661067173582
RGL3,-0.002989597756747706,-0.002360446577910156
TMCC2,0.0010767008771702547,0.0011154020593627586
AFDN,0.005184884746398164,-0.0038900447285068647
RPP25L,-0.007046549839717222,-0.014500876212508748
NSMCE2,-0.01288970597942788,-0.0037897884671166003
SCP2,0.003201211641867355,0.0007446042403825801
AC079305.1,0.004372752614071479,0.0031703370252576897
PKP2,0.0005789297727198437,0.0009451090793950192
ZNF467,-0.0029797125490179143,0.0008289901700048109
HMCES,-0.0004033410952592871,-0.00013251664735728288
MRPS14,-0.00864991245529277,-0.0026459505850175203
SLC23A2,0.0014609505422255567,0.0004846285391576283
TAMM41,-0.005106831500917679,-0.003563334933935736
SLC44A2,1.9873505541088488e-05,0.0011642059215205701
MT-ND4L,-0.015335720422035813,-0.004909417541013005
PSMG1,0.007218026606332407,-0.0012835890316523235
PLEKHA3,0.004144350971338575,0.010084804928849523
SELENOH,0.0031898129810704057,0.009296910069538327
ASMTL,0.0024230193373967275,0.0012023868200661872
BRK1,0.00022919790112054455,-0.006212799101579835
GSTA4,0.0013644017027323577,0.00036662444545923717
LRSAM1,0.005848577340719185,-2.7855810563137206e-05
PRIM1,0.0030405455566033224,-0.003561583341649115
SIKE1,-0.006888965349754634,-0.009045219458657994
ZC3H3,-0.005124713081948361,0.0010240752162282462
THUMPD1,0.0026114534878870646,-0.003311928337061963
KIRREL1,0.019126799644512502,0.011620964229955965
OPA1,-0.013828371524596298,-0.006829503715351769
AFAP1L1,-0.0018069912026508232,-0.0016917422325826493
MUM1,-0.010969899659814302,-0.005163283916332002
ME1,-0.0056069817167530905,0.009015091789058328
GMPR,-0.00316218173390562,-0.001484720695032612
MAEA,0.022405815728825818,0.008427482814425843
CALB2,0.0008821789242102493,-8.004661163294333e-05
TSPAN12,0.00092471162843501,0.003146552586672473
SDCBP,0.004435497919994593,0.0038378812457598435
EIF3G,-0.007638646680184304,-0.0203506616422386
GPR89A,-0.00223598142821949,0.0013993805571999652
PSMD9,0.005647006254285683,0.0005636236734345247
LPAR2,-0.002096609923406079,-0.0048907928735708525
LMO4,-0.0023581805781357867,0.019592147975388274
GNA11,-0.01150838885995801,-0.008719106858820238
ZGRF1,0.0035688753821153545,0.0033689340974209694
HINT3,0.0014338559868427804,6.355767615932151e-05
TSPYL1,-0.0020198967044589315,-0.00045592009762529095
PAQR7,0.0010095768284560198,-0.0034583931267321124
GAREM1,0.0017911454814027326,0.0044414393635532606
NCBP2-AS2,-0.011195488863808445,-0.01383981588352017
EFNA5,-0.00200860734935927,0.0002776250239224353
AHSA1,0.010721533575366766,-0.006545564687678769
AC010595.1,-0.0018420649096608202,-0.001933204447543687
SSH2,0.008511834348966638,0.0047253808741714275
PGAM1,0.0008248889857841084,-0.0035198229481397353
CCDC97,-0.00036360253223285325,-0.0022928989035834
ZBED6,0.005599993037895658,0.0017000769513004401
LRRC37B,0.004569364833772866,0.0017566384981593864
UBP1,-0.001215612483183555,-0.007129737717504529
CMAS,0.004441879931295501,-0.0024026234996218387
AL031058.1,0.001609195989471528,0.00038397189408086494
LPIN1,-0.014172062993983896,-0.008792926115088534
TIMM44,0.006154823528777537,-0.008004722941656618
GGNBP2,-0.016173603285575138,0.0030225572972316945
FGFR1,-0.004998410371391954,-0.003296278676937962
PWWP2A,0.021496152154485918,0.018279417439817834
NAXD,0.0052845384480952745,0.002491540960396262
ANKRD17,-0.010287324284574625,0.0011517248130277124
PRTFDC1,-0.0013898411784040523,-0.0016897526272203636
COMMD8,0.003360393428750481,0.00051496741440492
TTLL7,0.004080803033911087,0.002855150658285262
YTHDC2,-0.007111347635704576,-0.005545616706779657
SLC35A2,0.0005882363772580869,0.0028805447264521394
SHMT2,0.012656535570262542,0.0009533013789911488
AL359513.1,0.0024045700186034343,0.0014374871338441461
RPF1,0.006722637437182438,0.0013854140890181635
CBLC,-0.002969756013299281,-0.002274504647406638
THAP9-AS1,0.005598771351569307,-0.00022279306678441209
TAL2,-0.000259033268557971,-0.000610919995979235
ETV5,0.016342316160671225,0.007784429145357951
ZFYVE1,-0.0034251337676316387,-0.002877370624690563
SMYD2,-0.0042796206266897995,0.002234304234320343
SEC62,0.019108885882012257,0.013425717748804054
ALG13,0.0006999387519697244,0.000639074784770224
CCDC117,0.008719915781787466,0.0014653730218793025
DYNLL2,0.006924265284045316,-0.003711387610450177
TFAP2A-AS1,-0.0023054436124614872,0.001237008303834386
ZNRF3,-0.0014344259388428295,-0.0023704005060755876
PIGX,0.002950239585875558,0.0003143252540351557
HSP90B1,0.005394996138967769,0.014192035101624648
PIGP,0.023436497875895298,0.011070431948968418
PKP1,0.0011619503455930287,0.003067388593504994
AC084018.2,0.0013803082677412682,-0.0008814523841037404
ZC3H4,-0.0033338432035150117,-0.0018005598636978144
HLA-DRB1,-2.2251558465575817e-05,0.0037395911351759004
