,norm_vec,s_vec
CASP8,0.003359482766995482,-0.00038726237296000834
ATP7A,0.006747109394632712,0.006768776269865212
CLSTN3,-0.005597990873408121,-0.0005713636759838801
ISOC2,-0.02594598611146184,-0.025573618022586404
ZPR1,-0.006410366550078082,-0.007338428759780744
RECQL5,-0.012078369276607536,-0.004049393931534907
C1orf50,0.000741499900997737,0.0007169311572693306
SMNDC1,-0.00039311451901130227,-0.006786003530601609
ADSL,-0.0017274061001159666,0.0006302495896994126
CEP128,-0.007075861782215961,-0.006635752188853054
DARS,0.018108198264830712,0.010094363689301014
ASAP2,-0.021410660221001007,-0.003643537656227354
FAM160A2,-0.003119101311093362,-0.0019502456136099595
RASSF7,0.0015092794228999476,-0.0009103869476358397
FZD5,-0.005309916052011517,0.00034803718701297785
CENPU,-0.021521183858462887,-0.025161812356422317
PXK,-0.002875848381384032,-0.0013167052079864994
RPL37A,0.014967016301814956,0.028392678005947164
ARHGAP30,0.0024821271167225004,0.0016185686956296974
PLEKHH2,2.2533028418302744e-05,0.00399365285521191
C1orf56,-0.004641255529035853,-0.00260044976368698
PIGP,-0.0036788511522068807,0.0029922658655893047
PORCN,-0.00198882528931889,-0.0005259572837021961
CPSF3,0.001625811878067593,-0.0094763310175168
MCUB,-0.01492689675640652,-0.014180533737983968
LINC01137,-0.0026396383649663997,-0.0002677285427352342
SAFB2,0.007433491619094601,-0.0002467650378498832
TSTA3,-0.0074023789118046815,-0.0010791934831785527
KPNA1,-0.005188420027122818,-0.003392772086038609
SLC33A1,-0.002882748508645379,-0.0006400247269782081
VEZF1,0.034263977633473316,0.01987658861086708
RAB9B,0.0024143246178848048,0.001357758626693891
GABRP,0.002641468356403584,0.0060237262809663995
MIR4713HG,-0.0045674149042104,0.00048812152313648335
AC079354.3,0.0011122804684728274,0.0007993075323794222
CCZ1,0.008802522397993373,0.006566767023555873
AL031058.1,0.00719338314417424,0.004053109834404424
CHD6,0.010776392286009445,0.014763488950373488
NAGK,-0.0021492903345763374,0.0051664077377823634
MTAP,-0.0027347684937927613,0.00044281758543195386
JRKL,0.0032091804275576658,0.001634826416137135
FHOD1,-0.005640791988473031,-0.004663471219396628
MSANTD3,0.0036787212696752923,0.000977500299365502
RCE1,0.0008249500206583839,-0.0014928788379822925
NEDD1,0.014812065777030547,-0.0014332921333388465
ZBTB8B,0.0006013200637980338,0.00025742777508396816
NOL3,-0.021726189369976185,-0.014338888263859123
LINC00665,0.006950372466690491,0.0028008627816572818
ANKFY1,0.01149226988648844,0.004912665141241228
ZNF799,-0.000910787902951445,-0.001188416566434892
SIRT3,0.00520028116384338,0.0036861728063479924
AC104667.2,0.007484941815540771,0.004047242238769642
SLC35E1,0.016105394280842417,0.012674554056898935
NIPAL1,-0.0011739339774779203,-0.003029608828686898
AC093249.6,-0.0015548811182894238,-0.00037803845115426556
S100A4,-0.005944078869950861,0.002017607993670069
IL10RB-DT,-0.0002554558301364656,0.00029462055875223686
BRD8,0.009441541811753539,-0.004891925382141914
SMG7,-0.0075104814643891455,-0.0025228692871275605
AC073332.1,0.005760359790549006,3.848548017891684e-05
PRPF3,0.004451444270506319,-0.002392015042946831
TP53RK,-0.010505317526247851,-0.004171890416940973
KBTBD7,0.0060709940709994265,0.004818039508412835
GPT2,-0.006966326302848771,-0.003967450366630573
MOSPD1,-0.007287403623754764,-0.0026033400898036597
ARL4A,0.0059308068334160855,0.016782303207293504
TRIOBP,-0.010696260621533954,-0.0036898603660306013
AK3,0.012400333205360685,0.002239622662886194
LUC7L,-0.002789552957089567,-0.0025787659036656985
AC009961.1,-0.0012638801665150762,-0.0014589245382007263
HLF,0.0015178238749457833,0.0005594525737255298
AC092115.3,0.00041661330582059414,-0.00028788236914334766
RBM26-AS1,0.006212792010586514,0.002158770866712548
CHD5,0.002753874156754552,0.0025194934976465536
SLC16A6,-0.009756280836318125,-0.00843914226400024
ZNF74,0.002868244729097912,0.0018681298151876622
AC040970.1,-3.4531493390913295e-05,0.000740893308493577
ARHGAP10,0.0028022491672713297,0.0016574095833730225
CCSER2,-0.0065443802146426255,6.923745497692799e-05
SCNM1,-0.0038661163309603626,0.005658506367187804
DNAJC11,-0.002899559692018016,-0.001747725055870171
NEK8,-0.005163825240216553,-0.0031588699798189733
PAN3,-0.006260019344910404,-0.005360675379431755
AC010809.2,-0.0014158199302053542,-0.0005908045782033198
HIST1H3F,0.003783713032518104,-0.00378526522936307
RIC8B,0.004908730180074304,-0.0007382557037554339
SLC12A6,-0.0007048037151578502,0.00018916389186927996
CCNE1,0.014459945961371512,0.0032914400290837173
PRELID1,-0.020223201021121233,-0.044882807150124195
ZNF805,-0.006045962746207296,-0.0014117964811712722
IRF7,0.0024405333209946557,0.00039406055122645186
GSAP,-0.0018875436750871023,-0.0018278695492648161
PLEKHF1,0.00176848280312111,0.00022111157154920444
CTPS2,-0.012097641066852405,-0.00505494377836436
TRMT10A,0.0026736340995464985,0.0025827885386944032
SEC14L1,-0.0019646276709528628,-0.004520984236009453
NFE2L2,0.0067718802765752975,0.00638868909354846
BTN2A2,0.001306220134831143,0.0006993211765974556
MORN1,0.0005349626868477054,-0.00022797894456705437
FAM171A1,-0.0019156251965100296,-7.093666410005866e-05
CCDC180,0.002205639935333866,0.000838582767560957
JUND,-0.0291470064647508,-0.020048237287244034
SP2-AS1,0.003354393142841298,0.0007248295502537452
UTP23,-0.009649198678617268,-0.0026376839835266473
CRYZL1,0.00844012069916102,0.0023615765759733036
SHANK2-AS1,-0.004074728411446405,-0.0018544467489266872
TRAF3,0.001964780082848664,0.00012147331177811833
UGT2B15,-5.814262653356047e-20,-0.00028528641659149415
PIH1D1,0.004164674600081293,-0.0006852860243858601
HSD17B11,0.0043203760040101645,0.005671044481396845
ZMYM3,0.004561140971363864,0.001150958756478967
FLYWCH2,-0.001732207805840368,-0.014705827174971375
HSPBP1,-0.007234957112713014,-0.002164983466323136
RPL27,0.011480970478160128,0.02474827596164238
TARS,-0.007502252145452243,-0.007922833338638231
PQBP1,0.0013239415898389324,0.005194021492840589
ST3GAL5,-0.018148004369070415,-0.0036569360736177967
AC024060.1,-0.0040678289725702595,-0.000468079960264977
ZGPAT,0.0014933309112756539,0.0005438077150972401
TRIM73,0.0004985000827574996,-0.00032576031228998144
C1orf112,0.007779959097882359,-0.0014540865637826213
ATP9A,0.017864902504408215,0.01457162765928434
IQCE,0.000419039409542581,-0.0017747919047152669
MIER1,0.0033254050876340303,0.0009953490608741523
AL118516.1,0.0008983959826232134,0.002503897099362539
DNAH7,0.001311866801552501,0.000919612869055022
HID1,0.0034853420141301348,-0.0037886290811007337
TAOK3,0.010176090367623665,0.005261553908327385
YPEL5,0.0006905974555892488,0.017195795817249136
ADRM1,-0.0012664164784807331,-0.015057096297928665
RHOBTB1,0.0011352021059520083,0.00135075570076194
NUTM2B-AS1,0.00408589290420378,0.007287490126595416
SELENOH,-0.00686260613830203,0.004047590713070087
HNRNPA1,0.015259928622108215,0.011889317820039135
LINC01184,0.003752327652418919,0.0034257660459053453
AC040162.1,0.002467575712615776,0.0011150054135718127
ARHGEF37,0.0023315660272454886,0.0019741885896681823
UFSP2,-0.0010162875888993395,0.002273420123523165
DLD,-0.002760770294197366,-0.00859541158408484
SPNS1,-0.010453398432156457,0.0006543595343747525
ADAT1,-0.007819301014555486,-0.007378133029684054
MMS19,-0.012438886513184021,-0.00614635423743165
CCDC80,0.0015647272326004436,-0.0010122651533182518
ZNF554,0.0018774520726227374,-0.00017973533572086345
BDP1,0.007473440007620837,-0.0002649690160397703
ZNF691,-0.000821461990886411,-0.0018421688623124469
MAMSTR,0.001603618518221749,0.0006815604312403093
ERVK3-1,0.0037943893831393406,0.002987038266158058
CDC73,-0.010779650141330777,-0.004170875606542653
TMCC1,0.003133158744929062,-0.001035981738040781
MEIS3,0.015777113655417577,0.011412670184878041
PCDHA11,0.0025353883005859394,0.0007913243271404243
TOB1,-0.016945235215081605,-0.030657341540593755
CBX6,-0.007859205456749683,-0.0038987613974782818
UBR2,-0.0019474887582383081,-0.0008199674986031842
UBAP2,0.0017595846866803057,0.0004948645006811196
NCOA1,0.0032108523316811965,0.003886125040077985
SEPT2,-0.024921646880020226,-0.01601226465276505
MTHFD1L,0.01604575295594147,0.002071258595707339
HS1BP3,0.003097056643362786,0.003186075139900078
ZNF395,-0.0003975540926511577,-0.000822157125795822
NFKB1,-0.007397453176230541,-0.005161201380175874
APLP2,-0.04772665399854869,-0.030300929063277755
HMGN3-AS1,-0.004242935604735101,-0.00022783960900045884
OSBPL10,0.004174426313488154,0.0012754289444641893
STK19,0.004260834180755893,0.0036828891976564897
ADGRE5,-0.005189017140521892,-0.0015306923372759252
CDK1,-0.011676047327704506,-0.02890746891294786
FBXO5,-0.008427343860227154,-0.018925383313584072
WAS,-0.00035256482100881327,-0.00023072514112424636
MIEF2,0.0020074528849628455,-0.0010729049921570782
ABHD8,-0.0027851093531844054,-0.00016233704377985496
C7orf50,0.01368156970977086,-0.008427704956337238
GRPEL1,0.0024565475121672824,-0.003651755112536162
AC144652.1,0.008851212068977696,0.002428424875879254
ZMYND11,-0.02288501037764967,-0.012487709384120079
ARMC6,-0.01005930812136479,-0.002236350054793306
MICB,-0.00038127540560305926,-0.001780815249404945
SELENOO,0.00666136263090954,0.0015741350093675369
PPP2R2D,0.0024021612724762645,-0.007097489598734133
LRP12,0.0097040981971169,0.004299306892183668
CUX1,-0.012518303669411108,0.0037587691922470563
TSC2,0.010828914812751955,0.006457680327541578
TIMM22,-0.002866279262858098,-0.005635222842981727
EIPR1,-0.01959956102936228,-0.007073573244636884
NUDT7,0.003315716013299364,0.0012382016616862878
SHISA2,0.0021295743257091202,0.009145189737821195
FBXO22,0.005188863705238471,-0.0039758822163880716
LAMP1,0.023308694840190675,0.012356463802379937
FBXL2,-0.00032190188928309907,0.0007480008527005498
AP003392.4,0.0010471564248522476,-0.00029618252011234103
FEM1C,0.007361352217581786,0.0035144129739146375
PRPF4B,-0.001682335395343553,-0.008824339556682676
RBPMS2,-0.002705192060931812,-0.0008660772250039387
EAF2,-0.002602593225460501,-0.0022642272595195974
TCP11L2,0.004781147249136701,0.004951582831038296
MBD2,-0.010133301923455181,-0.0032796056865736774
SNX16,-0.006980077176827668,-0.0010576858036140412
B3GNTL1,0.005799847758827156,0.0023369772464220504
ZFYVE28,0.0031916678491854893,-0.0001972144834442797
DKC1,0.02339925738712226,-0.0032153074136798414
E2F5,-0.0006351777309450441,0.00799536201214092
RPS24,0.0025677355038127925,0.019918916629060462
DNTTIP2,0.026994121770570804,0.007737738160028863
NAT14,-0.0008966127116182318,0.0002124158914671895
USP2,0.002613454408865496,0.0017320184905392415
BORCS7,-0.0003972565072817272,0.007698993862522954
WDR73,-0.006735264697344462,0.005782506569850379
U73166.1,0.000695727955979367,0.00113093337573369
NOP58,-0.0007881099621522935,-0.00842717422195496
NECAP1,-0.003153296105052336,-0.003916111164138093
TUBGCP4,0.0008472642021673895,-0.0005021972150516617
SYNE2,0.006613559074078394,-0.0076679325947495176
ITM2C,0.006431219399890958,0.006574709495526835
C1GALT1C1,0.003165747751431078,-0.0049138294829411166
ZRANB3,-0.009968561689922743,-0.00411732292521882
PUDP,-0.0014070404538677626,-0.003242211756264608
TMEM128,0.004899014477031274,-0.0015495320520310452
GOLGA2,0.00765267240282577,0.007590024960529145
SIVA1,-0.004335107172908631,-0.02359541809439312
ST3GAL3,-0.0010325883734130844,-6.368749959387319e-05
SLC22A4,-0.0002082685848942316,-0.0006753600952803616
ASRGL1,4.582118839242905e-05,-0.010155494932881712
TRIP10,0.004536419247236283,0.003923628913252874
PGBD2,0.0015158570025694286,0.002600152692643171
FAM104B,-0.002023280631350357,0.00034587135852710095
ATL1,-0.0005101825154931288,-0.0001276757279652512
ZSWIM3,0.0013504455088917682,-0.0003637923448240457
AL117329.1,-0.0012863089617298833,0.0004084851023163203
SRI,0.011790558976020205,0.012166255222437658
FOXK2,-0.011664449803195257,-0.009447607305700616
NEDD4,-0.01663317459723589,-0.010862543891791712
RPL36,0.012763933129256215,0.00927984056868121
DEPDC1B,-0.007639557142204248,-0.00987288827230708
DDB2,0.0003947035651159625,-0.00801344816872022
HMOX2,-0.01245710299448724,-0.006131961894411835
PKIB,-0.014224532279074869,-0.06054529494223063
AL035078.1,-0.0009634680036436058,0.00022088976747643507
FAM167A,0.0,0.0
ZNF486,-0.004137604088557832,-0.0022988843499727085
LRRC56,0.0003859192746483423,0.0006895893965978987
ORC6,0.009637264109305701,-0.004578023749593807
ILF2,0.013300460436363133,-0.0006167054833752514
BRI3BP,-0.009898485793589474,-0.031587214964662096
HELZ,0.0024031763175277054,0.006971089471930463
SEH1L,0.0015495037626266756,-0.005498035868559986
PFKL,0.0024595842077099273,-0.004567228752252515
TEAD2,0.0016447637663400295,0.003387166725832406
SRSF11,-0.008241270851822097,-0.011298161107905566
ZNF624,0.006715028763975865,0.0020025425006037997
DCAF6,-0.010690297453263824,-0.006315105441884497
FANCE,-0.006816650640286713,-0.00321333965380222
CREBL2,-0.010124811154959213,-0.005745820033244381
SRSF9,-0.004901543401303257,-0.00855727731157091
DESI1,-0.010242668549643296,-0.008281043915506853
ATP6AP1L,-0.00035828018835928226,-0.0013370451554719563
TMEM26,0.002504216138650167,0.001242475842270433
HYLS1,0.0023428236324328122,-0.004027974355530852
RXRB,-0.004328376266381259,-0.0011880630266230979
SYNE1,-0.0017745161393112716,0.00016488361947052287
PPID,-0.004229632624773447,-0.009941099525054623
CPD,-0.00323403660446948,-0.0013848585818221734
ENAH,-0.013422908109974872,-0.008503032166708963
LSM1,-0.006948494006111022,-0.0065328753268444565
UST,0.0015844489777061296,-0.00036282017784738924
KCTD13,0.0014555518084775113,4.273566779025923e-05
CTNND1,-0.0009445804643994306,-0.0016874400771671682
SSRP1,0.01885428560312129,-0.005643482858571184
TMSB15B-AS1,0.0019570393881332645,0.0005338545815371254
UPF3B,0.006295955324746348,-0.00970783033632755
CTNS,-0.005186883870304193,-0.0017888218646670612
MRPL54,0.007012649749964181,0.010889054648719105
ADAMTS19-AS1,-0.0033006339313720913,-0.00045377032484661287
CENPC,-0.021251067357262683,-0.0058155482138309645
HUNK,-0.002185465650103869,-0.000729807364114133
UCKL1,-0.0003510339751249755,-0.00021282043437733964
SLC23A2,-0.0006946258109129539,-0.0007325507575040246
PSMF1,-0.004253264697126299,-0.0019173799740888826
BSG,-0.02395341482270314,-0.02106368501025042
YIPF4,-0.005273545445288924,0.006302005193588902
TPR,0.010269280170753058,0.007884145961251051
DNAJB2,0.0057997423025720855,0.004506055931035946
NDUFV3,0.004029435263702,-0.00557794773993521
PARN,0.009264931773401621,0.0070411534370335
CALD1,-0.001385951433586211,0.0029375377830609677
TDG,-0.0008617356212401911,-0.0019641503688285905
AC106707.1,0.004182334665548766,0.0013727805286992234
ARHGAP32,0.00843218034612826,0.004998284924858354
NOP9,0.003603425815459677,0.0028468254925650086
SYNJ2BP,0.0024144704046292166,0.0007011427708442096
RPS15,-0.0011719078691741888,0.003672736622909656
ORMDL1,-0.0007901969435543393,-0.0067188878838220474
STAT6,-0.007875386365698527,-0.002242621242308762
SLC44A1,0.014961956662464459,0.014192474956424108
AC245060.6,-0.00534401774661994,-0.003366618935720965
FNDC5,-0.0009330169335398412,-0.0005802015780277396
