,norm_vec,s_vec
RBM43,-0.0007132185449542277,-0.0012801971724298452
KIF13A,-0.0004457623771834158,0.004683309179026006
CLCC1,-0.004476246985842577,-0.0009458640260821789
RERG,-0.006138876349003966,-0.004579556372193077
USP2-AS1,-0.0004583520770500079,-0.000727388029017685
MAN2C1,-0.0022392005100798063,-0.00038538311276364667
BTBD1,0.00033659622170484224,0.0033481589563946258
EME2,0.008904313345803877,0.005391893423985343
SETD5,0.0026700672951257796,0.007278838368566292
ECD,2.00656468779166e-05,-0.001989552024082079
PDS5B,0.0008413543613139372,-0.004953341454653606
POLR2D,0.001888430789570626,0.001487818704849794
YAP1,-0.0006339136688553767,0.004556057985686336
KNL1,-0.009461509402470222,-0.010073290197766694
DSN1,-0.0060832286745451285,-0.011465900778213885
HSP90B1,-0.006063343615443448,-0.0006266555643456809
EPC1,-0.0069152126973128225,-0.0009141111063113869
SLC7A7,0.0031167372322043006,0.0006914437410979094
AC145207.2,-0.00026832115438357284,-0.0006932240674396292
IGSF10,-2.910227721994685e-20,-0.00025437553470532964
CDKAL1,0.005740443490751024,0.006349110490758944
PRC1,-0.0021439871079507854,-0.008852078631447281
SF3A1,-0.013634491043981628,-0.0062886106175873095
PUM3,-0.004150104525799614,-0.010776613815860245
RPL36A,0.0014045431008023318,-0.002171361128425859
NEK1,0.009141550602263859,0.005165155884006953
SMG7,-0.004418406509876527,-0.00482138508609415
HIST2H2AC,-0.00023228591769040762,-0.010579368606655983
TRAM1,0.00676450934804742,0.01010519188601146
YTHDC2,0.006284676075403594,0.0036093313785191994
RFX1,0.0017789080242306533,8.724516521258131e-05
GSPT2,0.0,0.0
C2CD5,-0.0055727935142349866,-0.004711282620078982
MIER2,5.82045544398937e-20,-0.0006506560691799076
ZNF420,-0.004636010354353199,-0.0016243803927334793
C1orf226,0.0,0.0
ZBTB10,0.0033581844835636576,0.005632134320146889
ARFGAP2,0.006309700880849593,-0.001995398605814652
SLC2A1,-0.024059039603319753,-0.010398208863065021
PBLD,-0.002014262332492183,-0.0003130400810779904
SDHC,-0.006046665719045824,-0.002211769720135543
CETN3,-0.000822072732183735,0.0009282113046215302
ACTR3C,0.008800033748930155,0.0025248487539004023
TMEM65,0.007610359109708394,0.0017816041596439892
IMPAD1,-0.0064438891922921175,-0.0012507922393818255
TTLL12,-0.004591074396840124,-0.005333563881078197
RAF1,-0.0007712496336301214,-0.005623823623184883
TNFRSF1A,-0.0024712116883834224,-0.00033143429852742053
RPL6,0.01321537692620839,0.010864355909277262
PRDX5,-0.004672361311661064,0.010911212220222885
ASH1L,-0.016828912037441288,-0.01031524747918485
HDAC9,0.006340381866597899,0.00619200739289606
RIPK2,-0.01851398333278511,-0.020475611129115077
XPO1,0.013190605006969789,-0.005508918980044286
DCP1A,0.002089537078312553,-0.0029962602058371435
COMMD2,0.005664407124349711,0.002620927575572131
MLEC,-0.029671229268482688,-0.029795191378961285
SPRR3,-0.006271213556937872,-0.001786350511194137
ICK,-0.0006139667018277247,-0.005676530365808562
SLC2A12,0.00036027831681439477,0.001435558804317704
XRCC6,-0.02316932314406538,-0.02611214385682731
SMIM27,0.005268290785077868,0.0006498622359000798
ZNF169,0.002614507619953303,6.691348719095959e-05
GLI2,0.0,0.0
AC087500.1,-0.002780579443877313,-0.00016866946597378805
RAP2B,-0.012095554946228364,-0.00019961025534902978
ECE1,0.004314485356708375,0.005420586464692216
MCM8,-0.007122392024361293,-0.010715319006182117
SULT1A2,0.005291650844950061,0.0022955474401681743
LOXL4,0.001840781859300097,0.004675530995992388
ZNF620,-0.007491559467698041,-0.006509796891563444
ANKMY2,0.004013280844983381,0.0038292260252355682
CBX5,-0.0007391725218123717,-0.004217182713908865
XRCC1,-0.006153502731488019,-0.004084119710835925
MTMR8,0.0,-0.000461837137489208
PDCD6IP,-0.001970316715166612,0.005974919296638874
DTL,-0.006477129715821736,-0.011429520639225709
USP46,0.015574432622228436,0.010815048380008638
STAT5B,0.0027347779180642386,0.003673528611742967
RPRM,0.0,0.0
RAC1,0.012335930484815218,0.01487166919623748
AARS,-0.0014715305541334175,-0.0038046315232400877
SPR,-0.0061271027642490795,-0.013875956345601981
MRPS21,0.00841040374095555,0.007976918402440095
LNX1,-0.00018842423488131063,-0.00039883566257463074
IL1RN,0.019913631661704744,0.018093796350749546
PARP8,-0.003888893155418877,-0.002671909154216111
AAED1,0.004842190871817919,0.0034589753757449855
CRYBG3,-0.005607367043634484,0.001164618604994205
KLHL36,0.017485552970422386,0.017863002775399844
ZCCHC17,-0.0143748200654497,-0.00904261775040098
RABAC1,0.02591448328096722,0.02599399810757217
H2AFZ,-0.019193165043732415,-0.040393962530426826
BAZ1A,0.00776891598683166,0.005860018796225705
ANKRD33B,0.0,0.0
RHOT1,-0.00241682158675939,0.0003871899076060945
GOSR2,-0.0009621994343748282,0.0002556711241763662
SYTL4,0.0,-0.0003704954144395687
AC023509.2,1.4551138609973426e-20,-0.0002298008339433155
SNW1,-0.0055466370375305005,-0.011626745845295156
SSH3,-0.003215649553179045,0.0007228438221913158
GDAP1,0.017385831390487626,0.006375483422949326
PI16,0.0,0.0
TMEM141,-0.030274827556653897,-0.03243087765813212
MEAF6,0.0007111749915325764,-0.003173613603181646
NAGA,0.0,-0.0005370456559673751
BCKDHB,-0.0001356029945425443,-0.004224900845269107
FBXO22,0.00847723141958539,-0.0007122934074749111
SLC35E2A,-0.003904464867339885,-0.0012535139730949292
ERGIC1,0.005664336106645997,0.005390487156519958
APAF1,0.0002610602442723546,0.0018146149098400104
PTGES3,-0.008424782400797817,-0.019347479991613348
UTP20,-0.01077492301312805,-0.014116755570158684
PRIM2,0.005321263867389004,-0.0007656958825850627
EPS8L2,0.005341314069483162,0.008460562354693803
ZBED4,-0.00046912944163646014,0.0017352794628779607
APEX2,-0.0017217796825225167,-0.004894403539540518
NRF1,-0.0016644390204528104,-0.0013808047090052092
PDP1,0.007672986575651642,0.0061354834777411745
WDR24,-0.001098467882873594,-0.002504221391746206
WNT3,0.0003337714081466773,0.0031874629184804847
EML2,-0.0034483361092282772,0.003890663692686595
FOCAD,-0.0018950758535105075,0.00017743318899078795
ARMH3,0.010185857470926946,0.005569935360492852
WTAP,0.004164923822022235,0.0008615324744113359
RIPOR1,0.011083400037505959,0.011295100374164117
