Antibodies,TrkA_DMSO_10_r1,TrkA_DMSO_10_r2,TrkA_DMSO_10_r3,TrkA_DMSO_45_r1,TrkA_DMSO_45_r2,TrkA_DMSO_45_r3,TrkB_DMSO_10_r1,TrkB_DMSO_10_r2,TrkB_DMSO_10_r3,TrkB_DMSO_45_r1,TrkB_DMSO_45_r2,TrkB_DMSO_45_r3,TrkA_DMSO_10_r4,TrkA_DMSO_10_r5,TrkA_DMSO_10_r6,TrkA_DMSO_45_r4,TrkA_DMSO_45_r5,TrkA_DMSO_45_r6,TrkB_DMSO_10_r4,TrkB_DMSO_10_r5,TrkB_DMSO_10_r6,TrkB_DMSO_45_r4,TrkB_DMSO_45_r5,TrkB_DMSO_45_r6
Bad P Ser136,1.1952136625741554,1.0242463233834953,1.2609075875608504,1.1959221752169398,0.8657551427567878,1.2140006211776868,1.1441360331576589,0.7064899424657746,0.8672795204608759,1.0414947624705655,0.6954687885460671,0.667933632670589,0.9407673601711299,2.751690439218317,0.993708089250789,0.6626781980164755,0.6766632443403855,1.153764048708456,0.9116011304965356,1.0921880217406306,0.857804530755076,0.5047855689554939,0.4565163691059738,0.8772746234244392
Bad P Ser112,1.5012390200763779,0.8790891511397216,1.1469811290005607,1.5597648190887885,1.306903576822539,1.1354254498897813,1.6608791280807544,1.2679734570986994,1.1515403964072124,2.2012932788308497,1.4209945199948961,1.3791872291510416,1.2982333156902441,0.8678710926246727,1.0677981220776134,1.0143442656870332,0.8686979800654369,1.1689787468024295,1.2661075681664717,0.9586681879327439,1.2308267765874783,1.0931564504886662,1.2302542760672621,1.8126808929127658
Bak,1.2917208222077317,1.0794946187241383,1.2827902814607204,1.357286057085094,1.1658384367681556,1.193005609591716,1.2773828114441208,1.0628554266632202,0.904617337452173,1.0625961259255718,0.9354545401208674,0.8770012595524243,1.225839063763345,0.7524073679253319,1.0951515089165862,0.7311565905016048,0.695485498776958,0.9453221164553274,1.4809976488655034,1.4032733887210231,0.9839287097661673,0.9018729653195762,0.7538220511238821,0.8165918400517629
CrkL P Tyr207,1.3388882894865985,0.9772761885356192,1.2701551793904533,1.3275610919993577,1.0828448503834156,1.3605431466852675,3.0050669059776527,2.2884062863310155,2.117516313454781,2.8387283835984825,1.926663955292323,1.9063063104833393,1.1858549770667661,1.14820574092808,0.9347630788334965,1.4911676086759054,0.8290430022535074,1.071354596629021,1.4967030768159515,2.282126120377551,1.9653686200972065,1.3089218820361883,1.878023979795445,2.8695460164159465
HSP27 (HSPB1) P Ser78,1.0795919665848777,1.2072018204461608,1.41530464933963,1.1636092935366078,1.182374578297182,1.090034456676032,0.9479868257124183,0.9479147399803435,0.7941657299686117,1.4366342605853328,1.2117668384260787,1.0970657348712631,1.0891399798024959,1.9751481825660477,0.7770252608599654,1.011702627796544,1.2557800233525394,0.8036266473325986,6.373076194083106,4.754273089645143,3.391033481865481,3.1352290087652506,3.2513769727599384,3.228579034623664
JAK1,1.174981865671206,1.5777143378787524,1.642179654762365,1.297286871780858,0.84614016397764,1.3877819252896235,1.330527417189411,1.1493890903943353,1.2223572032524952,1.0479246766363064,0.9878028634005702,1.0814213093255667,0.5629731308867001,1.2791471637656846,0.6068620993187441,0.8979637539716547,1.3591624185164257,0.4061123209202801,1.3934033275058755,1.3105297492326278,0.9541165951138164,1.1960351478810844,1.0898956389402916,0.8384645444247324
MEK1/2 P Ser217/221,1.9565133482280874,1.7863300672999363,1.8810003395053114,1.8868828664228472,1.5801163600190056,1.3473292514689346,2.5530666994330744,2.0726183218752072,2.362468013355263,2.172282967983857,1.703801001256193,2.0096215074640993,1.9296689616519096,2.1565258452649188,1.8503091272524501,1.339796636760633,1.6825866073570395,1.4955951907532232,8.46702210836571,6.737724698059066,5.9921489698526536,6.151833075332528,6.9156133827231665,7.916845023071748
Met P Tyr1234,1.2688046654467113,1.0369055976435364,1.5130456166737374,1.3101174174962276,1.1567749231127948,1.3164700248937093,1.7013173525382939,1.380532826851113,1.4786477733156382,1.2625912833745185,1.0453772390099396,1.248701920679047,1.2204037831122658,1.0013156684205402,0.9664642959808254,0.884164371242762,1.0232670250817748,1.085244302278091,1.5648585830375654,1.4587120572636387,1.2512269544900476,1.0812424910542884,1.3579664158993947,1.6116354515696618
PI3 Kinase p110-alpha,1.1799368944538942,1.0646860544833456,1.310673727981472,1.17578841959717,1.0954587136959726,1.2196066029545112,1.237268288300565,0.9310367917218488,1.055208941579916,0.9895671181083306,0.7659608365298197,0.8389679525052832,0.9968991597793405,0.9239150367509444,0.8898897930064857,0.924604695592634,1.0178695918783078,0.9730085759744413,1.2093047477179366,1.0594836510974244,0.8960859267334437,0.8752132017319706,0.9427218262276585,0.9871912867082013
PKA RII P Ser96,1.2885028896689203,0.9428369550434537,1.1137807125788697,1.1365787336471815,0.904591762190754,1.0804718421674633,1.2990763046658624,1.2379325135226653,0.9283245708426316,1.0675373682903393,0.8831856809406962,0.6925061839771178,1.1719595847122442,0.9823064797020541,0.8535843305647085,0.9750592553107534,1.072322751685073,0.7094030949559154,1.4849369010291242,1.0724499103201486,0.8311683214091188,1.2562917946550305,0.9024075502535529,1.1172256478204918
